SampleID,Year,Species,Sample_type,Tag_num,SCTLD_status
072023_Carolina_2023_Baya_053_MCAV_S3,2023,MCAV,DT,MCAV-3,disease
072023_Carolina_2023_Baya_055_MCAV_S4,2023,MCAV,DM,MCAV-3,disease
122021_Coralina_2021_Baya_003_MCAV_S27,2021,MCAV,H,MCAV-2,healthy
122021_Coralina_2021_Baya_005_MCAV_S28,2021,MCAV,H,MCAV-3,healthy
122021_Coralina_2021_Baya_007_MCAV_S29,2021,MCAV,H,MCAV-4,healthy
122021_Coralina_2021_Baya_017_MCAV_S30,2021,MCAV,H,MCAV-9,healthy
122021_Coralina_2021_Baya_023_MCAV_S31,2021,MCAV,H,MCAV-0,healthy
072023_Carolina_2023_Baya_052_DCYL_S9,2023,DCYL,DM,DCYL-5,disease
072023_Carolina_2023_Baya_065_DCYL_S1,2023,DCYL,DT,DCYL-1,disease
072023_Carolina_2023_Baya_066_DCYL_S2,2023,DCYL,DM,DCYL-1,disease
122021_Coralina_2021_Baya_001_DCYL_S24,2021,DCYL,H,DCYL-1,healthy
122021_Coralina_2021_Baya_009_DCYL_S25,2021,DCYL,H,DCYL-5,healthy
122021_Coralina_2021_Baya_010_DCYL_S26,2021,DCYL,H,DCYL-6,healthy
122021_Coralina_2021_Baya_025_MMEA_S22,2021,MMEA,H,MMEA-3,healthy
122021_Coralina_2021_Baya_029_MMEA_S23,2021,MMEA,H,MMEA-5,healthy
122021_Coralina_2021_Baya_031_MMEA_S45,2021,MMEA,H,MMEA-6,healthy
072023_Carolina_2023_Baya_057_SSID_S7,2023,SSID,DT,SSID-2,disease
072023_Carolina_2023_Baya_059_SSID_S8,2023,SSID,DM,SSID-2,disease
072023_Carolina_2023_Baya_061_SSID_S5,2023,SSID,DT,SSID-1,disease
072023_Carolina_2023_Baya_063_SSID_S6,2023,SSID,DM,SSID-1,disease
122021_Coralina_2021_Baya_019_SSID1_S46,2021,SSID,H,SSID-1,healthy
122021_Coralina_2021_Baya_021_SSID2_S36,2021,SSID,H,SSID-2,healthy
122021_Coralina_2021_Baya_027_PSTR4_S34,2021,PSTR,H,PSTR-4,healthy
122021_Coralina_2021_Baya_033_PSTR7_S35,2021,PSTR,H,PSTR-7,healthy
122021_Coralina_2021_Baya_035_PSTR_S32,2021,PSTR,H,PSTR-8,healthy
122021_Coralina_2021_Baya_037_PSTR_S33,2021,PSTR,H,PSTR-9,healthy
122021_Coralina_2021_Baya_013_DLAB_S43,2021,DLAB,H,DLAB-7,healthy
122021_Coralina_2021_Baya_015_DLAB_S44,2021,DLAB,H,DLAB-8,healthy
