,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,enriched,species
2093780,179.5743068,-24.81915378,4.141136774,-5.993319016,2.05600957809592e-09,2.34742114791735e-06,Disease_margin,Podospora pseudopauciseta
1014,71.5034333,-22.20393564,3.803409807,-5.837902504,5.28620736126951e-09,4.62392109615046e-06,Disease_margin,Weeksella virosa
374106,100.9840583,-21.286124,3.542814599,-6.00825231,1.87533840429508e-09,2.34742114791735e-06,Disease_margin,Campylobacter cuniculorum
435912,136.164824,-25.87054507,4.545748453,-5.691151929,1.26185166555745e-08,7.35839785543645e-06,Disease_margin,Vibrio porteresiae
1642646,157.3657451,-22.7183643,3.951492954,-5.749311606,8.96075368391975e-09,6.45490527136949e-06,Disease_margin,Petrimonas mucosa
1844006,133.8757016,-25.07276589,4.164122832,-6.021139841,1.73193040144084e-09,2.34742114791735e-06,Disease_margin,Phaeobacter porticola
28449,106.571885,-23.76107457,3.870739497,-6.138639551,8.32311782634159e-10,2.03849801802758e-06,Disease_margin,Neisseria subflava
1888890,88.3469373,-23.99706683,3.804002538,-6.308372982,2.81984009061975e-10,1.72658808748647e-06,Disease_margin,Cellulophaga omnivescoria
28171,69.40709495,-23.35170728,3.803014896,-6.140314442,8.2358289672814e-10,2.03849801802758e-06,Disease_margin,Vibrio aestuarianus
3070815,64.44193006,-22.80398525,3.586365581,-6.358522223,2.03703918037288e-10,1.72658808748647e-06,Disease_margin,Pleionea litopenaei
1336795,72.69666453,-24.07057204,4.015349452,-5.994639402,2.03937459886702e-09,2.34742114791735e-06,Disease_margin,Formosa sp. Hel3_A1_48
573501,83.70807795,-24.50852193,4.27989021,-5.726437065,1.02561785098296e-08,6.61381885047744e-06,Disease_margin,Leeuwenhoekiella palythoae
413401,55.55494958,-23.18379754,3.756286581,-6.171999138,6.7431868409536e-10,2.03849801802758e-06,Disease_margin,Vibrio comitans
216935,48.35963591,-22.42805318,3.93599747,-5.698187904,1.21087551702553e-08,7.35839785543645e-06,Disease_margin,Spiroplasma culicicola
2608631,57.69554017,-24.13180261,4.214169241,-5.726348713,1.02615187129733e-08,6.61381885047744e-06,Disease_margin,Winogradskyella ouciana
375175,49.46730048,-22.40648045,3.953318496,-5.667765063,1.44672145674094e-08,8.05297770874981e-06,Disease_margin,Loigolactobacillus backii
3399565,67.70185464,-23.3242218,4.038103648,-5.776033464,7.64821686995642e-09,5.93112029229205e-06,Disease_margin,Fictibacillus sp. JL2B1089
413497,51.00373428,-23.64276356,3.947557046,-5.989213907,2.10857689262541e-09,2.34742114791735e-06,Disease_margin,Cronobacter dublinensis
1239307,51.90151017,-23.50531956,3.982406031,-5.902291072,3.58487957272202e-09,3.37695655750414e-06,Disease_margin,Sodalis praecaptivus
192389,44.3716654,-23.73950366,3.904185543,-6.080526501,1.19788551033738e-09,2.34742114791735e-06,Disease_margin,Chryseobacterium daecheongense
447689,47.03664073,-23.90731927,4.14063969,-5.773822659,7.74929974495123e-09,5.93112029229205e-06,Disease_margin,Tenacibaculum soleae
417574,39.16811996,-23.29505816,3.917954641,-5.945719207,2.75245629904279e-09,2.80888165317317e-06,Disease_margin,Neptunomonas japonica
