,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,enriched,species
34087,157.0194659,22.91404783,3.292531231,6.959401816,3.41720575684737e-12,2.05132851462514e-10,Healthy,Sphingobacterium faecium
202,39.63685214,21.062974,3.340760541,6.304843982,2.88484345327564e-10,2.82622343430508e-09,Healthy,Campylobacter mucosalis
141,73.27826894,22.5677466,3.700679046,6.09827178,1.07221337346728e-09,9.31889636017057e-09,Healthy,Borrelia parkeri
2843630,126.6024073,22.66354368,3.750785645,6.042345745,1.51889541880006e-09,1.29619465495649e-08,Healthy,Acajnonavirus acj9
2490635,89.400513,23.02215969,3.944009966,5.837246834,5.30704453242187e-09,4.43618207126541e-08,Healthy,Pseudoalteromonas sp. Xi13
882104,31.75944438,20.93847586,3.621830333,5.781186288,7.41756971051644e-09,6.19192629004664e-08,Healthy,Methanoregula formicica
34061,19.22282544,19.64194485,3.461849624,5.673829595,1.39640041002079e-08,1.16407892587574e-07,Healthy,Moraxella cuniculi
1536774,65.21857041,20.95921968,3.698503199,5.666946479,1.45364723080071e-08,1.21097714206704e-07,Healthy,Paenibacillus sp. FSL H7-0357
2745511,35.95216932,21.87224917,3.896536093,5.613254606,1.98556111427937e-08,1.65184656287127e-07,Healthy,Pseudomonas tensinigenes
3402279,42.97069468,21.84630165,3.912572523,5.583615773,2.355688360195e-08,1.95578031586088e-07,Healthy,Serratia sp. NFX21
3077946,38.56797691,18.82951241,3.387083261,5.559211556,2.70996056104696e-08,2.24838597768165e-07,Healthy,Candidatus Endowatersipora endosymbiont of Watersipora subatra
2008440,35.511574,21.62842121,3.903094465,5.541352228,3.00144800237829e-08,2.4885397587762e-07,Healthy,Thermococcus sp. 5-4
2829816,16.47303046,20.8238993,3.819028452,5.452669329,4.96192859509327e-08,4.10288842508522e-07,Healthy,Exiguobacterium sp. PFWT01
3427924,16.90248956,20.71843901,3.827301223,5.413328559,6.18638246140266e-08,5.11190550758009e-07,Healthy,Chloriridovirus simulium1
115551,26.24361318,21.1715622,3.944262388,5.36768605,7.97532216494554e-08,6.58569084503864e-07,Healthy,Vreelandella neptunia
