taxonomy_id,name,taxonomy_lvl
49546,Flavobacteriaceae,F
186817,Bacillaceae,F
31979,Clostridiaceae,F
543,Enterobacteriaceae,F
468,Moraxellaceae,F
2062,Streptomycetaceae,F
2762318,Weeksellaceae,F
33958,Lactobacillaceae,F
186822,Paenibacillaceae,F
641,Vibrionaceae,F
135621,Pseudomonadaceae,F
90964,Staphylococcaceae,F
84566,Sphingobacteriaceae,F
36751,Glomeraceae,F
1639119,Plasmodiidae,F
1300,Streptococcaceae,F
41294,Nitrobacteraceae,F
4893,Saccharomycetaceae,F
186803,Lachnospiraceae,F
41297,Sphingomonadaceae,F
81852,Enterococcaceae,F
119060,Burkholderiaceae,F
2808963,Arcobacteraceae,F
1903414,Morganellaceae,F
267888,Pseudoalteromonadaceae,F
2821832,Stappiaceae,F
72294,Campylobacteraceae,F
815,Bacteroidaceae,F
82115,Rhizobiaceae,F
186804,Peptostreptococcaceae,F
1884633,Cryptococcaceae,F
203492,Fusobacteriaceae,F
1903409,Erwiniaceae,F
2895623,Metamycoplasmataceae,F
712,Pasteurellaceae,F
186818,Caryophanaceae,F
1162,Nostocaceae,F
563835,Chitinophagaceae,F
267890,Shewanellaceae,F
766764,Debaryomycetaceae,F
181550,Trichomonadidae,F
1131492,Aspergillaceae,F
110618,Nectriaceae,F
1129771,Leptotrichiaceae,F
72275,Alteromonadaceae,F
1903411,Yersiniaceae,F
2131,Spiroplasmataceae,F
2854170,Roseobacteraceae,F
84642,Aeromonadaceae,F
32033,Lysobacteraceae,F
5654,Trypanosomatidae,F
80864,Comamonadaceae,F
200667,Flammeovirgaceae,F
28056,Micromonosporaceae,F
2092,Mycoplasmataceae,F
2845253,Treponemataceae,F
444,Legionellaceae,F
171552,Prevotellaceae,F
216572,Oscillospiraceae,F
2206,Methanosarcinaceae,F
85023,Microbacteriaceae,F
28256,Halomonadaceae,F
481,Neisseriaceae,F
85025,Nocardiaceae,F
1653,Corynebacteriaceae,F
186814,Thermoanaerobacteraceae,F
186827,Aerococcaceae,F
563798,Cyclobacteriaceae,F
1762,Mycobacteriaceae,F
186820,Listeriaceae,F
72293,Helicobacteraceae,F
186828,Carnobacteriaceae,F
31953,Bifidobacteriaceae,F
