,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26,122021_Coralina_2021_Baya_013_DLAB_S43,122021_Coralina_2021_Baya_015_DLAB_S44,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36,122021_Coralina_2021_Baya_023_MCAV_S31,122021_Coralina_2021_Baya_025_MMEA_S22,122021_Coralina_2021_Baya_027_PSTR4_S34,122021_Coralina_2021_Baya_029_MMEA_S23,122021_Coralina_2021_Baya_031_MMEA_S45,122021_Coralina_2021_Baya_033_PSTR7_S35,122021_Coralina_2021_Baya_035_PSTR_S32,122021_Coralina_2021_Baya_037_PSTR_S33,Sum
49546,73419.0750332545,74875.52935790317,70977.46352933385,55925.54078073028,63761.53270499825,37543.555556685125,37951.846590565336,67396.06126914661,72716.40762534388,45372.42342120391,71734.56357869589,62309.86227114332,72264.67536048884,83172.56162915326,77234.14018584375,50172.99125648026,70788.59075658522,67170.04876514079,52097.65104113243,72882.49611663548,75847.65843780966,61831.055491519845,61659.473820927764,73040.43934098851,50987.70122038083,72442.05802627654,66996.4913709442,68911.70658737927,1811483.6011266909
186817,60501.36225796932,57370.951127389264,41300.85608782766,50320.44899735233,54331.27318969893,35512.869062656464,15924.892490943103,60336.289300932855,38675.84751465688,33286.797514439786,60777.69081847015,53197.07948448476,56299.39259356019,60331.07062045969,47894.917976368015,37273.25986271237,45691.52853674725,54211.89240207645,22781.82377679762,65105.98221602515,60800.913360044804,67882.43042977112,58758.789779019375,61682.47628557164,54608.48093451731,68603.0374952985,62890.648858847235,62678.904504238315,1449031.9074788766
31979,31232.27674580737,22261.64587386975,18194.76412048153,15023.121003606433,18499.42696258772,10252.552336560237,3956.720495812169,22066.106184498447,12764.537090374644,12564.671101256468,25064.87622029081,18018.142596382546,25791.188615301995,23651.304037156126,22198.003900424457,16856.975471718968,22183.831752757294,24087.619946515653,19728.51916435874,27938.208637581185,26808.409805695574,27347.82370053241,20416.440703455755,24238.642036944584,24621.30205612802,27956.11065717287,25897.347150681027,24229.4409869065,593850.0093548595
543,24700.28186122505,25301.8770745107,27626.633107582256,30119.99321488889,31849.367042237307,24180.16433565545,23053.039414744166,26004.83703789013,27736.353896925422,32930.935369959756,27124.438769205422,33699.319652635655,27961.01568226185,33726.33083244016,32924.17115980269,32166.425326362096,23707.73133541248,32051.282051282047,11088.31675043594,24501.278146748373,30007.324113566843,37213.89757945002,27728.534254503695,40788.81677483774,28574.48121943112,28338.715743875076,24614.69552293503,31625.69945890044,801345.9567297061
468,23011.680773984936,13648.849719583382,10677.087645510093,12220.575111917457,13533.102722843521,9215.606041737088,5541.828706672701,17931.5904641253,11483.23813317972,13413.265445785772,15034.806607076658,13745.229271530507,15645.97711159007,15314.993450041682,12905.81622117701,15221.019819381654,15626.335457942734,15887.997483089506,6431.428864498923,14804.486356242127,16091.508336564559,19567.484494209344,19058.38281737767,19146.280579131304,17818.984757110975,18066.74189071761,17753.5272919763,15540.4531939648,414338.27876896353
2062,19057.06941313841,28857.15920796612,23106.09196734613,39132.390792899234,33749.02531307729,49132.9553223556,65047.51694613778,24484.625129563516,28193.96066735218,52352.79625523528,23376.034930180827,39327.396426793515,28323.86301787386,27152.554483744192,27790.524262934494,28397.09507334166,24833.380311144654,24952.80792826805,28785.858378637127,17725.265719981897,26829.95131618629,16644.71156484988,32212.85962329844,22840.738891662506,22436.962818747328,21834.429269937616,21750.785539290537,24312.545014681713,822641.355586626
2762318,18822.684054524536,16717.694860936248,12094.517394976072,13570.222212388728,16196.810876721072,8811.50197096042,4558.093610924904,19232.983991707937,12355.382801522486,10456.872245490133,19792.39609506941,16151.335803971459,21081.43019905805,18625.69965463856,16462.085579901344,11915.947251483967,14155.172257026214,16969.482460280007,6451.943789106575,19584.38826306584,19979.750980138728,17221.032987540482,18269.980084855833,19171.243135297056,13058.549788688922,20271.584763238785,19843.774389043847,19160.095292618516,440982.6567951761
33958,18781.623845716265,15909.351035824655,10445.265022933881,15310.750713542935,16175.878003213194,9060.572404520883,3846.609925439414,13716.457445583323,8581.472847767687,7582.601078536038,17671.046669687355,13178.273134576028,18142.36678060073,12957.008455400739,12102.787656303773,10876.894337161617,13873.305389112666,16320.591473965706,15615.276780524498,17960.10225173987,19753.56511998621,25152.313518853945,15531.078106557414,16949.57563654518,25108.029820979154,18112.135714563636,17197.032934964813,17525.716079705995,423437.68218430766
186822,18471.106016603724,19850.921368890926,12415.75731483168,12862.21061869888,15547.89179797684,9322.350513263,5073.556281021536,15570.655303466545,10783.368954879972,10114.697106567024,20018.947975450013,16911.886719398197,16560.352397332346,16196.26056925092,11930.71010668808,10246.830335923596,13415.044416762896,19840.333490640238,7422.983553868773,18642.595922161472,19613.545301796563,18195.2906306603,21546.636528111343,14827.758362456314,16738.686547319434,18403.95315357379,17427.774497628114,16602.33799331474,424554.4437785372
641,18181.118291895313,15608.90465834955,74726.36651156629,18983.560855809013,17766.77638981197,12789.004302818817,7339.898020671747,18323.16019808822,13938.163866292685,23527.962552352794,16229.352885447131,20673.156701144973,16415.21346308754,17101.34571870906,14683.950900539176,12756.032586467994,13122.26657331721,17893.66053169734,8294.867849693986,17605.401240230432,16468.48477015208,21323.892639552116,20589.615870136855,17473.789316025963,14910.489576902986,19402.61727818632,17278.471133551862,17932.002437718147,521339.5271202175
