taxonomy_id,072023_Carolina_2023_Baya_052_DCYL_S9_F_filt.bracken_num,072023_Carolina_2023_Baya_053_MCAV_S3_F_filt.bracken_num,072023_Carolina_2023_Baya_055_MCAV_S4_F_filt.bracken_num,072023_Carolina_2023_Baya_057_SSID_S7_F_filt.bracken_num,072023_Carolina_2023_Baya_059_SSID_S8_F_filt.bracken_num,072023_Carolina_2023_Baya_061_SSID_S5_F_filt.bracken_num,072023_Carolina_2023_Baya_063_SSID_S6_F_filt.bracken_num,072023_Carolina_2023_Baya_065_DCYL_S1_F_filt.bracken_num,072023_Carolina_2023_Baya_066_DCYL_S2_F_filt.bracken_num,122021_Coralina_2021_Baya_001_DCYL_S24_F_filt.bracken_num,122021_Coralina_2021_Baya_003_MCAV_S27_F_filt.bracken_num,122021_Coralina_2021_Baya_005_MCAV_S28_F_filt.bracken_num,122021_Coralina_2021_Baya_007_MCAV_S29_F_filt.bracken_num,122021_Coralina_2021_Baya_009_DCYL_S25_F_filt.bracken_num,122021_Coralina_2021_Baya_010_DCYL_S26_F_filt.bracken_num,122021_Coralina_2021_Baya_013_DLAB_S43_F_filt.bracken_num,122021_Coralina_2021_Baya_015_DLAB_S44_F_filt.bracken_num,122021_Coralina_2021_Baya_017_MCAV_S30_F_filt.bracken_num,122021_Coralina_2021_Baya_019_SSID1_S46_F_filt.bracken_num,122021_Coralina_2021_Baya_021_SSID2_S36_F_filt.bracken_num,122021_Coralina_2021_Baya_023_MCAV_S31_F_filt.bracken_num,122021_Coralina_2021_Baya_025_MMEA_S22_F_filt.bracken_num,122021_Coralina_2021_Baya_027_PSTR4_S34_F_filt.bracken_num,122021_Coralina_2021_Baya_029_MMEA_S23_F_filt.bracken_num,122021_Coralina_2021_Baya_031_MMEA_S45_F_filt.bracken_num,122021_Coralina_2021_Baya_033_PSTR7_S35_F_filt.bracken_num,122021_Coralina_2021_Baya_035_PSTR_S32_F_filt.bracken_num,122021_Coralina_2021_Baya_037_PSTR_S33_F_filt.bracken_num
49546,85828,10467,21432,7583,12184,14772,31365,5852,13507,3315,3483,4506,9958,3492,2693,4539,38927,3416,15237,29794,7042,4506,27060,2926,4295,11171,9872,7463
186817,70727,8020,12471,6823,10382,13973,13161,5239,7184,2432,2951,3847,7758,2533,1670,3372,25126,2757,6663,26615,5645,4947,25787,2471,4600,10579,9267,6788
31979,36511,3112,5494,2037,3535,4034,3270,1916,2371,918,1217,1303,3554,993,774,1525,12199,1225,5770,11421,2489,1993,8960,971,2074,4311,3816,2624
543,28875,3537,8342,4084,6086,9514,19052,2258,5152,2406,1317,2437,3853,1416,1148,2910,13037,1630,3243,10016,2786,2712,12169,1634,2407,4370,3627,3425
468,26901,1908,3224,1657,2586,3626,4580,1557,2133,980,730,994,2156,643,450,1377,8593,808,1881,6052,1494,1426,8364,767,1501,2786,2616,1683
2062,22278,4034,6977,5306,6449,19332,53758,2126,5237,3825,1135,2844,3903,1140,969,2569,13656,1269,8419,7246,2491,1213,14137,915,1890,3367,3205,2633
2762318,22004,2337,3652,1840,3095,3467,3767,1670,2295,764,961,1168,2905,782,574,1078,7784,863,1887,8006,1855,1255,8018,768,1100,3126,2924,2075
33958,21956,2224,3154,2076,3091,3565,3179,1191,1594,554,858,953,2500,544,422,984,7629,830,4567,7342,1834,1833,6816,679,2115,2793,2534,1898
186822,21593,2775,3749,1744,2971,3668,4193,1352,2003,739,972,1223,2282,680,416,927,7377,1009,2171,7621,1821,1326,9456,594,1410,2838,2568,1798
641,21254,2182,22564,2574,3395,5032,6066,1591,2589,1719,788,1495,2262,718,512,1154,7216,910,2426,7197,1529,1554,9036,700,1256,2992,2546,1942
135621,19775,2449,4704,3392,4673,11315,33970,1546,3336,2402,832,1724,2302,711,642,1785,9243,1028,4656,7911,1592,1387,9117,834,1379,2847,2419,1857
90964,19716,2134,3187,2113,3030,4017,6125,1341,1755,764,918,1069,2161,785,495,1118,8800,937,6189,7169,1647,1136,8265,721,998,2911,2348,1777
