Gene_Family,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_023_MCAV_S31
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51],0,146.037,0,98.3238,0,61.9926
1.1.1.127-RXN: (expasy) 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [1.1.1.127],0,12.6499,0,0,0,0
1.1.1.136-RXN: (expasy) UDP-N-acetylglucosamine 6-dehydrogenase [1.1.1.136],0,0,0,0,0,0
1.1.1.178-RXN: (expasy) 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [1.1.1.178],0,0,0,0,0,0
1.1.1.264-RXN: (expasy) L-idonate 5-dehydrogenase (NAD(P)(+)) [1.1.1.264],0,0,0,0,0,0
1.1.1.268-RXN: (expasy) 2-(R)-hydroxypropyl-CoM dehydrogenase [1.1.1.268],0,0,0,0,0,0
1.1.1.269-RXN: (expasy) 2-(S)-hydroxypropyl-CoM dehydrogenase [1.1.1.269],0,10.4156,0,0,0,0
1.1.1.271-RXN: (expasy) GDP-L-fucose synthase [1.1.1.271],0,15.0506,0,0,0,0
1.1.1.272-RXN: (expasy) D-2-hydroxyacid dehydrogenase (NADP(+)) [1.1.1.272],0,0,0,0,0,0
1.1.1.291-RXN: (expasy) 2-hydroxymethylglutarate dehydrogenase [1.1.1.291],0,5.18922,0,24.324,0,0
"1.1.1.292-RXN: (expasy) 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [1.1.1.292]",0,0,0,0,0,0
1.1.1.34-RXN: (expasy) Hydroxymethylglutaryl-CoA reductase (NADPH) [1.1.1.34],0,0,0,0,0,0
1.1.1.39-RXN: (expasy) Malate dehydrogenase (oxaloacetate-decarboxylating) [1.1.1.38],0,17.4295,0,0,0,0
1.1.1.51-RXN: (expasy) 3(or 17)-beta-hydroxysteroid dehydrogenase [1.1.1.51],0,0,0,0,0,0
1.1.1.53-RXN: (expasy) 3-alpha(or 20-beta)-hydroxysteroid dehydrogenase [1.1.1.53],0,0,0,0,0,0
1.1.1.8-RXN: (expasy) Glycerol-3-phosphate dehydrogenase (NAD(+)) [1.1.1.8],0,0,0,0,0,0
1.1.1.83-RXN: (expasy) D-malate dehydrogenase (decarboxylating) [1.1.1.83],0,0,68.0636,75.4548,0,0
"1.1.3.37-RXN: (expasy) D-arabinono-1,4-lactone oxidase [1.1.3.37]",0,0,0,0,0,0
1.1.99.28-RXN: (expasy) Glucose-fructose oxidoreductase [1.1.99.28],0,0,0,0,0,0
1.10.2.2-RXN: (expasy) Quinol--cytochrome-c reductase [7.1.1.8],0,0,0,0,0,0
1.12.1.3-RXN: (expasy) Hydrogen dehydrogenase (NADP(+)) [1.12.1.3],0,0,0,0,0,0
1.12.5.1-RXN: (expasy) Hydrogen:quinone oxidoreductase [1.12.5.1],0,10.1713,0,0,0,0
"1.13.11.15-RXN: (expasy) 3,4-dihydroxyphenylacetate 2,3-dioxygenase [1.13.11.15]",0,75.7776,0,59.956,0,0
"1.13.11.6-RXN: (expasy) 3-hydroxyanthranilate 3,4-dioxygenase [1.13.11.6]",0,17.7292,0,52.5892,0,0
"1.13.11.9-RXN: (expasy) 2,5-dihydroxypyridine 5,6-dioxygenase [1.13.11.9]",0,0,52.8144,0,0,0
1.14.11.1-RXN: (expasy) Gamma-butyrobetaine dioxygenase [1.14.11.1],0,11.3441,0,0,0,0
1.14.11.18-RXN: (expasy) Phytanoyl-CoA dioxygenase [1.14.11.18],0,0,0,0,0,0
1.14.11.2-RXN: (expasy) Procollagen-proline 4-dioxygenase [1.14.11.2],0,0,0,0,0,0
"1.14.12.1-RXN: (expasy) Anthranilate 1,2-dioxygenase (deaminating, decarboxylating) [1.14.12.1]",0,0,0,0,0,0
"1.14.12.18-RXN: (expasy) Biphenyl 2,3-dioxygenase [1.14.12.18]",0,0,0,0,0,0
1.14.13.59-RXN: (expasy) L-lysine N(6)-monooxygenase (NADPH) [1.14.13.59],0,0,0,0,0,0
1.14.13.8-RXN: (expasy) Flavin-containing monooxygenase [1.14.13.8],0,0,0,0,0,0
1.14.13.84-RXN: (expasy) 4-hydroxyacetophenone monooxygenase [1.14.13.84],0,0,0,0,0,0
1.14.13.92-RXN: (expasy) Phenylacetone monooxygenase [1.14.13.92],0,0,0,0,0,0
1.14.19.1-RXN: (expasy) Stearoyl-CoA 9-desaturase [1.14.19.1],0,5.8325,0,0,0,0
1.14.19.3-RXN: (expasy) Acyl-CoA 6-desaturase [1.14.19.3],0,0,0,0,0,0
1.14.99.15-RXN: (expasy) 4-methoxybenzoate monooxygenase (O-demethylating) [1.14.99.15],0,0,0,0,0,0
1.15.1.2-RXN: (expasy) Superoxide reductase [1.15.1.2],0,0,0,0,0,0
1.17.4.2-RXN: (expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2],0,92.7279,0,0,0,0
1.18.1.2-RXN: (expasy) Ferredoxin--NADP(+) reductase [1.18.1.2],0,40.6956,0,0,0,0
1.2.1.13-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating) [1.2.1.13],0,0,0,0,0,0
1.2.1.2-RXN: (expasy) Formate dehydrogenase [1.17.1.9],0,0,0,0,0,0
1.2.1.27-RXN: (expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27],0,13.6354,0,0,0,0
1.2.1.32-RXN: (expasy) Aminomuconate-semialdehyde dehydrogenase [1.2.1.32],0,0,0,0,0,0
1.2.1.45-RXN: (expasy) 2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase [1.1.1.312],0,0,0,0,0,0
1.2.1.58-RXN: (expasy) Phenylglyoxylate dehydrogenase (acylating) [1.2.1.58],0,6.39539,0,0,0,0
1.2.1.61-RXN: (expasy) 4-hydroxymuconic-semialdehyde dehydrogenase [1.2.1.61],0,0,0,0,0,0
1.2.1.66-RXN: (expasy) S-(hydroxymethyl)mycothiol dehydrogenase [1.1.1.306],0,0,0,0,0,0
1.2.1.9-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) [1.2.1.9],0,16.2038,0,0,0,0
1.2.3.3-RXN: (expasy) Pyruvate oxidase [1.2.3.3],0,0,0,0,0,0
1.2.4.4-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) [1.2.4.4],24.0954,156.923,0,52.5681,0,0
1.2.7.4-RXN: (expasy) Anaerobic carbon-monoxide dehydrogenase [1.2.7.4],0,68.1594,0,0,164.751,0
1.2.7.8-RXN: (expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8],0,0,0,0,0,0
1.2.99.3-RXN: (expasy) Aldehyde dehydrogenase (quinone) [1.2.5.2],0,0,0,0,0,0
1.20.98.1-RXN: (expasy) Arsenate reductase (azurin) [1.20.9.1],0,14.2075,0,0,0,0
1.21.4.1-RXN: (expasy) D-proline reductase [1.21.4.1],0,61.4956,0,0,0,0
1.21.4.3-RXN: (expasy) Sarcosine reductase [1.21.4.3],0,33.6462,0,0,0,0
1.21.4.4-RXN: (expasy) Betaine reductase [1.21.4.4],0,19.1697,0,0,0,0
1.3.1.2-RXN: (expasy) Dihydropyrimidine dehydrogenase (NADP(+)) [1.3.1.2],0,0,0,0,0,0
1.3.1.54-RXN: (expasy) Precorrin-6A reductase [1.3.1.54],0,0,0,0,0,0
"1.3.1.56-RXN: (expasy) Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase [1.3.1.56]",0,0,0,0,0,0
"1.3.7.2-RXN: (expasy) 15,16-dihydrobiliverdin:ferredoxin oxidoreductase [1.3.7.2]",0,0,0,0,0,0
1.3.7.3-RXN: (expasy) Phycoerythrobilin:ferredoxin oxidoreductase [1.3.7.3],0,0,0,0,0,0
1.3.7.5-RXN: (expasy) Phycocyanobilin:ferredoxin oxidoreductase [1.3.7.5],0,0,0,0,0,0
1.3.99.15-RXN: (expasy) Benzoyl-CoA reductase [1.3.7.8],0,7.21746,0,0,0,0
