,Gene_Family,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36,122021_Coralina_2021_Baya_023_MCAV_S31
4,1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51],1.84192,0,146.037,0,0,50.0707,65.5714,0,100.545,0,0,0,98.3238,0,0,0,31.5559,0,61.9926
7,1.1.1.127-RXN: (expasy) 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [1.1.1.127],0,0,12.6499,21.5426,0,11.7578,52.0448,0,33.9994,51.8936,0,0,0,0,0,0,28.1884,0,0
9,1.1.1.136-RXN: (expasy) UDP-N-acetylglucosamine 6-dehydrogenase [1.1.1.136],0,0,0,0,0,0,16.2225,0,0,0,0,0,0,0,0,0,0,0,0
11,1.1.1.178-RXN: (expasy) 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [1.1.1.178],0,0,0,0,0,0,5.36775,0,0,0,0,0,0,0,0,0,0,0,0
13,1.1.1.264-RXN: (expasy) L-idonate 5-dehydrogenase (NAD(P)(+)) [1.1.1.264],0,0,0,0,0,16.9971,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.1.1.268-RXN: (expasy) 2-(R)-hydroxypropyl-CoM dehydrogenase [1.1.1.268],0,0,0,0,0,30.5974,10.66,0,0,0,0,0,0,0,0,0,41.9772,0,0
17,1.1.1.269-RXN: (expasy) 2-(S)-hydroxypropyl-CoM dehydrogenase [1.1.1.269],0,0,10.4156,0,0,27.1751,8.8393,0,0,0,0,0,0,0,0,0,0,0,0
19,1.1.1.271-RXN: (expasy) GDP-L-fucose synthase [1.1.1.271],0,0,15.0506,11.4569,34.2469,61.7719,85.4911,0,0,64.5961,0,0,0,0,0,0,16.4108,0,0
21,1.1.1.272-RXN: (expasy) D-2-hydroxyacid dehydrogenase (NADP(+)) [1.1.1.272],0,0,0,0,0,0,3.25199,0,0,0,0,0,0,0,0,0,0,0,0
23,1.1.1.291-RXN: (expasy) 2-hydroxymethylglutarate dehydrogenase [1.1.1.291],0.237833,0,5.18922,0,0,17.225,16.6257,0,0,0,0,0,24.324,0,0,0,0,0,0
25,"1.1.1.292-RXN: (expasy) 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [1.1.1.292]",0,0,0,0,0,0,20.915,0,0,0,0,0,0,0,0,0,39.2837,0,0
27,1.1.1.34-RXN: (expasy) Hydroxymethylglutaryl-CoA reductase (NADPH) [1.1.1.34],0,0,0,0,0,0,5.79431,0,0,0,0,0,0,0,0,0,0,0,0
29,1.1.1.39-RXN: (expasy) Malate dehydrogenase (oxaloacetate-decarboxylating) [1.1.1.38],0,0,17.4295,0,0,15.5985,21.3867,0,0,0,0,0,0,0,0,0,0,0,0
32,1.1.1.51-RXN: (expasy) 3(or 17)-beta-hydroxysteroid dehydrogenase [1.1.1.51],0,0,0,0,0,6.50037,14.0728,0,0,0,0,0,0,0,0,0,0,0,0
34,1.1.1.53-RXN: (expasy) 3-alpha(or 20-beta)-hydroxysteroid dehydrogenase [1.1.1.53],0,0,0,0,0,0,11.5412,0,0,0,0,0,0,0,0,0,0,0,0
36,1.1.1.8-RXN: (expasy) Glycerol-3-phosphate dehydrogenase (NAD(+)) [1.1.1.8],0,0,0,0,0,0,2.26317,0,0,0,0,0,0,0,0,0,0,0,0
38,1.1.1.83-RXN: (expasy) D-malate dehydrogenase (decarboxylating) [1.1.1.83],0.832591,0,0,0,24.2301,60.7984,42.5312,0,75.2973,0,0,68.0636,75.4548,0,0,0,77.2663,0,0
40,"1.1.3.37-RXN: (expasy) D-arabinono-1,4-lactone oxidase [1.1.3.37]",0,0,0,0,0,0,6.05665,0,0,0,0,0,0,0,0,0,0,0,0
42,1.1.99.28-RXN: (expasy) Glucose-fructose oxidoreductase [1.1.99.28],0,0,0,0,0,11.7999,27.9294,0,0,0,0,0,0,0,0,0,0,0,0
44,1.10.2.2-RXN: (expasy) Quinol--cytochrome-c reductase [7.1.1.8],0,0,0,0,0,65.7431,39.1466,0,0,0,0,0,0,0,0,0,37.0263,0,0
46,1.12.1.3-RXN: (expasy) Hydrogen dehydrogenase (NADP(+)) [1.12.1.3],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.743,0,0
48,1.12.5.1-RXN: (expasy) Hydrogen:quinone oxidoreductase [1.12.5.1],0,0,10.1713,0,0,0,9.74733,0,0,0,0,0,0,0,0,0,0,0,0
50,"1.13.11.15-RXN: (expasy) 3,4-dihydroxyphenylacetate 2,3-dioxygenase [1.13.11.15]",0,0,75.7776,0,0,0,18.4338,0,0,0,0,0,59.956,0,0,0,0,0,0
52,"1.13.11.6-RXN: (expasy) 3-hydroxyanthranilate 3,4-dioxygenase [1.13.11.6]",0,0,17.7292,9.76399,0,7.27447,46.7527,0,0,0,0,0,52.5892,0,0,0,0,0,0
54,"1.13.11.9-RXN: (expasy) 2,5-dihydroxypyridine 5,6-dioxygenase [1.13.11.9]",0,0,0,0,0,0,3.76068,0,0,0,0,52.8144,0,0,0,0,0,2.44767,0
56,1.14.11.1-RXN: (expasy) Gamma-butyrobetaine dioxygenase [1.14.11.1],0.675827,0,11.3441,0,0,0,10.9555,0,0,0,0,0,0,0,0,0,0,0,0
58,1.14.11.18-RXN: (expasy) Phytanoyl-CoA dioxygenase [1.14.11.18],0,0,0,0,0,0,2.83526,0,0,0,0,0,0,0,0,0,0,0,0
60,1.14.11.2-RXN: (expasy) Procollagen-proline 4-dioxygenase [1.14.11.2],0,0,0,0,0,0,6.98689,0,0,0,0,0,0,0,0,0,0,0,0
62,"1.14.12.1-RXN: (expasy) Anthranilate 1,2-dioxygenase (deaminating, decarboxylating) [1.14.12.1]",0,0,0,0,0,0,3.11858,0,0,0,0,0,0,0,0,0,0,0,0
64,"1.14.12.18-RXN: (expasy) Biphenyl 2,3-dioxygenase [1.14.12.18]",0,0,0,0,0,0,10.381,0,0,0,0,0,0,0,0,0,0,0,0
66,1.14.13.59-RXN: (expasy) L-lysine N(6)-monooxygenase (NADPH) [1.14.13.59],0,0,0,0,27.1042,0,0,0,169.484,0,0,0,0,0,0,0,0,0,0
68,1.14.13.8-RXN: (expasy) Flavin-containing monooxygenase [1.14.13.8],4.20987,0,0,0,0,18.0372,0,0,0,0,0,0,0,0,0,0,0,14.2054,0
70,1.14.13.84-RXN: (expasy) 4-hydroxyacetophenone monooxygenase [1.14.13.84],0,0,0,0,0,0,11.6522,0,0,0,0,0,0,0,0,0,0,0,0
72,1.14.13.92-RXN: (expasy) Phenylacetone monooxygenase [1.14.13.92],0,0,0,0,0,0,4.98229,0,15.8152,0,0,0,0,0,0,0,0,0,0
74,1.14.19.1-RXN: (expasy) Stearoyl-CoA 9-desaturase [1.14.19.1],0,0,5.8325,0,0,54.5346,0,0,60.4774,0,0,0,0,0,0,0,0,0,0
76,1.14.19.3-RXN: (expasy) Acyl-CoA 6-desaturase [1.14.19.3],0,0,0,0,0,0,5.69194,0,0,0,0,0,0,0,0,0,0,0,0
78,1.14.99.15-RXN: (expasy) 4-methoxybenzoate monooxygenase (O-demethylating) [1.14.99.15],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1.15.1.2-RXN: (expasy) Superoxide reductase [1.15.1.2],0,0,0,0,0,0,1.55706,0,0,0,0,0,0,0,0,0,0,0,0
82,1.17.4.2-RXN: (expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2],0,0,92.7279,0,0,0,8.91548,0,0,0,0,0,0,0,0,0,0,0,0
85,1.18.1.2-RXN: (expasy) Ferredoxin--NADP(+) reductase [1.18.1.2],0,0,40.6956,0,9.02655,97.532,69.673,0,192.186,0,0,0,0,0,0,0,104.947,0,0
87,1.2.1.13-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating) [1.2.1.13],0,0,0,0,0,31.2212,16.0102,0,14.3522,0,0,0,0,0,0,0,0,0,0
89,1.2.1.2-RXN: (expasy) Formate dehydrogenase [1.17.1.9],0.754779,0,0,0,0,0,3.04467,0,0,0,0,0,0,0,0,0,0,0,0
91,1.2.1.27-RXN: (expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27],0,0,13.6354,0,8.60672,51.2106,85.2791,0,36.4733,0,0,0,0,0,0,0,0,0,0
94,1.2.1.32-RXN: (expasy) Aminomuconate-semialdehyde dehydrogenase [1.2.1.32],0,0,0,0,0,0,11.8994,0,0,0,0,0,0,0,0,0,0,0,0
96,1.2.1.45-RXN: (expasy) 2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase [1.1.1.312],0,0,0,0,0,0,9.67487,0,0,0,0,0,0,0,0,0,0,0,0
98,1.2.1.58-RXN: (expasy) Phenylglyoxylate dehydrogenase (acylating) [1.2.1.58],0,0,6.39539,0,0,0,17.373,0,22.1259,0,0,0,0,0,0,0,0,0,0
100,1.2.1.61-RXN: (expasy) 4-hydroxymuconic-semialdehyde dehydrogenase [1.2.1.61],0,0,0,0,0,0,0,0,16.0541,0,0,0,0,0,0,0,0,0,0
102,1.2.1.66-RXN: (expasy) S-(hydroxymethyl)mycothiol dehydrogenase [1.1.1.306],0,0,0,0,0,0,6.39599,0,0,0,0,0,0,0,0,0,0,0,0
104,1.2.1.9-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) [1.2.1.9],0,0,16.2038,0,0,0,12.9409,0,0,0,0,0,0,0,0,0,0,0,0
106,1.2.3.3-RXN: (expasy) Pyruvate oxidase [1.2.3.3],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1.2.4.4-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) [1.2.4.4],0.640484,24.0954,156.923,28.6751,0,33.8331,132.445,0,31.3278,57.7965,0,0,52.5681,83.883,0,0,34.0705,0,0
111,1.2.7.4-RXN: (expasy) Anaerobic carbon-monoxide dehydrogenase [1.2.7.4],0,0,68.1594,0,0,17.0399,49.8647,0,10.9134,0,0,0,0,0,0,164.751,0,0,0
113,1.2.7.8-RXN: (expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8],0,0,0,0,0,0,24.1189,0,0,0,0,0,0,0,0,0,0,0,0
115,1.2.99.3-RXN: (expasy) Aldehyde dehydrogenase (quinone) [1.2.5.2],0,0,0,0,0,0,1.56011,0,0,0,0,0,0,0,0,0,0,0,0
117,1.20.98.1-RXN: (expasy) Arsenate reductase (azurin) [1.20.9.1],0,0,14.2075,0,0,6.9423,3.65077,0,18.7308,0,0,0,0,0,0,0,0,0,0
119,1.21.4.1-RXN: (expasy) D-proline reductase [1.21.4.1],0,0,61.4956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1.21.4.3-RXN: (expasy) Sarcosine reductase [1.21.4.3],0,0,33.6462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1.21.4.4-RXN: (expasy) Betaine reductase [1.21.4.4],0,0,19.1697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1.3.1.2-RXN: (expasy) Dihydropyrimidine dehydrogenase (NADP(+)) [1.3.1.2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8774,0,0
127,1.3.1.54-RXN: (expasy) Precorrin-6A reductase [1.3.1.54],0.868401,0,0,0,0,0,10.3576,0,0,0,0,0,0,0,0,0,0,0,0
129,"1.3.1.56-RXN: (expasy) Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase [1.3.1.56]",0,0,0,0,0,0,4.75733,0,0,0,0,0,0,0,0,0,0,0,0
131,"1.3.7.2-RXN: (expasy) 15,16-dihydrobiliverdin:ferredoxin oxidoreductase [1.3.7.2]",0,0,0,0,0,46.7929,17.2374,0,44.1034,0,0,0,0,0,0,0,29.0665,0,0
133,1.3.7.3-RXN: (expasy) Phycoerythrobilin:ferredoxin oxidoreductase [1.3.7.3],0,0,0,0,0,91.7048,4.88939,0,40.594,0,0,0,0,0,0,0,0,0,0
135,1.3.7.5-RXN: (expasy) Phycocyanobilin:ferredoxin oxidoreductase [1.3.7.5],0,0,0,0,0,31.6272,13.6183,0,75.46,0,0,0,0,0,0,0,0,0,0
137,1.3.99.15-RXN: (expasy) Benzoyl-CoA reductase [1.3.7.8],0,0,7.21746,0,0,0,9.66896,0,0,0,0,0,0,0,0,0,0,0,0
139,1.3.99.16-RXN: (expasy) Isoquinoline 1-oxidoreductase [1.3.99.16],0,0,31.0987,0,0,70.2854,109.831,0,38.9951,66.3707,0,0,0,0,0,0,38.8225,0,0
141,1.4.1.21-RXN: (expasy) Aspartate dehydrogenase [1.4.1.21],0,0,0,0,0,0,11.6215,0,0,0,0,0,0,0,0,0,0,0,0
143,1.4.3.19-RXN: (expasy) AMBIGUOUS [1.4.3.19; 1.4.3.3],0,0,16.5101,0,0,4.42848,12.4154,0,0,0,0,0,0,0,0,0,0,0,0
145,1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20],1.40954,29.9862,162.427,589.195,752.292,344.515,349.792,31.9763,117.608,268.631,0,97.9083,119.053,0,0,0,115.768,14.1824,75.2595
148,"1.5.1.34-RXN: (expasy) 6,7-dihydropteridine reductase [1.5.1.34]",1.46381,0,0,36.3634,0,0,16.2823,0,168.527,61.946,0,0,0,0,0,31.8166,0,0,0
150,"1.5.1.7-RXN: (expasy) Saccharopine dehydrogenase (NAD(+), L-lysine-forming) [1.5.1.7]",0,0,0,0,0,45.1624,16.947,0,0,0,0,0,0,0,0,0,0,0,0
152,"1.5.1.8-RXN: (expasy) Saccharopine dehydrogenase (NADP(+), L-lysine-forming) [1.5.1.8]",0,0,0,0,0,0,2.86231,0,0,0,0,0,0,0,0,0,0,0,0
154,"1.5.1.9-RXN: (expasy) Saccharopine dehydrogenase (NAD(+), L-glutamate-forming) [1.5.1.9]",0,0,0,0,0,0,2.86231,0,0,0,0,0,0,0,0,0,0,0,0
156,1.5.5.1-RXN-YEAST: (expasy) Electron-transferring-flavoprotein dehydrogenase [1.5.5.1],0,0,31.7207,0,0,32.2789,41.0225,0,0,0,0,0,0,0,0,0,0,0,0
158,1.5.8.2-RXN: (expasy) Trimethylamine dehydrogenase [1.5.8.2],0,0,8.52788,0,0,0,33.8479,0,15.2786,0,0,0,0,0,0,0,0,0,0
160,1.6.4.4-RXN: (expasy) Protein-disulfide reductase [1.8.1.8],0,0,20.6966,0,0,0,15.6016,0,0,0,0,0,0,0,0,0,0,0,0
162,1.7.2.2-RXN: (expasy) Nitrite reductase (cytochrome; ammonia-forming) [1.7.2.2],0.803595,0,36.3308,0,0,6.5234,61.2472,0,87.8087,0,0,0,0,0,0,0,0,0,0
164,1.7.2.3-RXN: (expasy) Trimethylamine-N-oxide reductase [1.7.2.3],0,0,77.2252,0,0,13.6337,15.0943,0,0,0,0,0,0,0,0,0,11.1742,0,0
166,1.8.1.15-RXN: (expasy) Mycothione reductase [1.8.1.15],0,0,0,0,0,5.52128,7.33075,0,0,0,0,0,0,0,0,0,0,0,0
168,1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4],0.882637,40.1161,344.385,33.4002,136.478,239.051,531.489,32.4084,194.186,343.273,0,142.246,113.634,232.774,0,176.897,127.542,0,211.885
171,1.8.4.12-RXN: (expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12],0,0,62.8201,52.5124,17.307,50.2687,147.966,0,48.7521,71.6889,0,53.1777,80.3758,0,0,55.9035,40.5831,0,87.7685
174,1.8.4.8-RXN: (expasy) Phosphoadenylyl-sulfate reductase (thioredoxin) [1.8.4.8],0,0,63.0712,0,17.1165,40.8335,107.135,0,39.8157,0,0,130.167,0,0,0,0,52.7831,0,0
