"","072023_Carolina_2023_Baya_053_MCAV_S3","072023_Carolina_2023_Baya_055_MCAV_S4","122021_Coralina_2021_Baya_003_MCAV_S27","122021_Coralina_2021_Baya_005_MCAV_S28","122021_Coralina_2021_Baya_007_MCAV_S29","122021_Coralina_2021_Baya_017_MCAV_S30","122021_Coralina_2021_Baya_023_MCAV_S31","072023_Carolina_2023_Baya_052_DCYL_S9","072023_Carolina_2023_Baya_065_DCYL_S1","072023_Carolina_2023_Baya_066_DCYL_S2","122021_Coralina_2021_Baya_001_DCYL_S24","122021_Coralina_2021_Baya_009_DCYL_S25","122021_Coralina_2021_Baya_010_DCYL_S26","122021_Coralina_2021_Baya_025_MMEA_S22","122021_Coralina_2021_Baya_029_MMEA_S23","122021_Coralina_2021_Baya_031_MMEA_S45","072023_Carolina_2023_Baya_057_SSID_S7","072023_Carolina_2023_Baya_059_SSID_S8","072023_Carolina_2023_Baya_061_SSID_S5","072023_Carolina_2023_Baya_063_SSID_S6","122021_Coralina_2021_Baya_019_SSID1_S46","122021_Coralina_2021_Baya_021_SSID2_S36","122021_Coralina_2021_Baya_027_PSTR4_S34","122021_Coralina_2021_Baya_033_PSTR7_S35","122021_Coralina_2021_Baya_035_PSTR_S32","122021_Coralina_2021_Baya_037_PSTR_S33","122021_Coralina_2021_Baya_013_DLAB_S43","122021_Coralina_2021_Baya_015_DLAB_S44"
"072023_Carolina_2023_Baya_053_MCAV_S3",0,0.828646845912528,0.432566679218385,0.480105873538856,0.582830268238904,0.693287566958279,0.403216835103234,0.919934124456997,0.659322452868254,0.83876638092131,0.848690683539079,0.671181256964841,0.858079957136859,0.924540159809496,0.880279486909844,0.9104867220239,0.679127936860142,0.650322504405912,0.849115364677295,0.894852143418238,0.858594170141029,0.975947711107601,0.937941203913237,0.898364442070837,0.777575660009385,0.919513204070976,0.844379923683328,0.786712660027365
"072023_Carolina_2023_Baya_055_MCAV_S4",0.828646845912528,0,0.923501996179173,0.701162952217336,0.650267421615108,0.749197372577874,0.814666562843631,0.983525629422362,0.900643089431088,0.385240518685688,0.4770674457786,0.864166392559654,0.859539110679651,0.61278914176637,0.567133303710081,0.557410777129677,0.691038162067834,0.696438220856209,0.345833825450203,0.277351060646498,0.395042105957956,0.993750416737187,0.982792298557914,0.954862059699387,0.938741803759212,0.93413543422607,0.523493159077583,0.588499535204552
"122021_Coralina_2021_Baya_003_MCAV_S27",0.432566679218385,0.923501996179173,0,0.632601024509473,0.664210276415721,0.852698094568879,0.475428681011741,0.976527686596852,0.659287554169568,0.935688563167198,0.941575451554021,0.66590295426563,0.901560012258125,0.98830570497075,0.988798036349909,0.984777837518385,0.823528407508059,0.833883028411142,0.971334607871256,0.974821091623601,0.964123484550927,0.995383077386625,0.979928794850192,0.954952779191446,0.982816687094664,0.859918627207452,0.950684242190381,0.947696983338905
"122021_Coralina_2021_Baya_005_MCAV_S28",0.480105873538856,0.701162952217336,0.632601024509473,0,0.552041648082725,0.671292990146181,0.520503342980305,0.95162469943209,0.761640510137325,0.708247602089984,0.714389331054986,0.67998008882045,0.797900995034697,0.86296083983443,0.799655033430517,0.834897645850293,0.57636892736295,0.583933473803281,0.718135431562947,0.768124179842846,0.733686352169686,0.988404592074274,0.961771642105836,0.916304579019037,0.860475248636775,0.861266437079976,0.705024928708175,0.696437278053512
"122021_Coralina_2021_Baya_007_MCAV_S29",0.582830268238904,0.650267421615108,0.664210276415721,0.552041648082725,0,0.646581949043644,0.550971494088494,0.968264883582201,0.81437493845684,0.677240202521279,0.716141819606947,0.726817685069873,0.783709652512527,0.840898916680532,0.802617327387698,0.823977559432469,0.70339945047219,0.68128957084478,0.70264644511117,0.739196046861894,0.720837685600195,0.991780936867312,0.971596645808894,0.925547095998434,0.950086007739984,0.942405690107138,0.71461761029396,0.718493109406609
"122021_Coralina_2021_Baya_017_MCAV_S30",0.693287566958279,0.749197372577874,0.852698094568879,0.671292990146181,0.646581949043644,0,0.714109452673764,0.943187068664751,0.779746897765652,0.704559694372085,0.707654475653942,0.773294506661914,0.815350149585756,0.860800676831425,0.801817354993606,0.856879155282247,0.614257512510205,0.606980955833663,0.732152665197142,0.805168630753774,0.776672483250733,0.980693102873783,0.93993149759541,0.881538861694876,0.82155460867216,0.91822245219259,0.720165136978389,0.678762784601106
"122021_Coralina_2021_Baya_023_MCAV_S31",0.403216835103234,0.814666562843631,0.475428681011741,0.520503342980305,0.550971494088494,0.714109452673764,0,0.946520460331365,0.758034166226589,0.808511172272717,0.819399279024768,0.697196327175051,0.866431086946299,0.915364274450439,0.864775181643456,0.905073369421294,0.721768782830001,0.693870439781394,0.841844184333834,0.884447459743869,0.856836332556233,0.994217525832474,0.968340650323222,0.945418128105498,0.822291218023587,0.950618571765161,0.821171340669854,0.800808341263582
"072023_Carolina_2023_Baya_052_DCYL_S9",0.919934124456997,0.983525629422362,0.976527686596852,0.95162469943209,0.968264883582201,0.943187068664751,0.946520460331365,0,0.95144888051696,0.979664204253575,0.97949969151838,0.973325466121666,0.976182352669597,0.98966076335755,0.984293921138684,0.987495686755588,0.956849773289672,0.943159914540509,0.979465883013057,0.98687603041932,0.980861755124908,0.623440212178119,0.469805092975452,0.967425304340876,0.889358652539184,0.964540966255964,0.979398112657829,0.962799310782747
"072023_Carolina_2023_Baya_065_DCYL_S1",0.659322452868254,0.900643089431088,0.659287554169568,0.761640510137325,0.81437493845684,0.779746897765652,0.758034166226589,0.95144888051696,0,0.894630565729247,0.907416193928475,0.629682284933653,0.872531782899311,0.95511033915147,0.931561038994103,0.946057876297451,0.74130464157802,0.767379608536661,0.916339039845544,0.946017872036059,0.931936985650397,0.970628672215032,0.951082981581337,0.89767860121341,0.901918227083138,0.857225545532516,0.931194537727008,0.875790131120767
"072023_Carolina_2023_Baya_066_DCYL_S2",0.83876638092131,0.385240518685688,0.935688563167198,0.708247602089984,0.677240202521279,0.704559694372085,0.808511172272717,0.979664204253575,0.894630565729247,0,0.468115744231527,0.886016737945982,0.842048247785556,0.591813074794507,0.565121785130997,0.563831232019722,0.634215415212688,0.620015611693455,0.300572350850913,0.380865737997908,0.413212556087963,0.99146669836722,0.9765435050748,0.946054968943995,0.92477424275985,0.934979355876854,0.492376711466036,0.466014145828736
