,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,enriched,species
192812,1482.104278,-14.95556029,1.006996785,-14.85164651,6.78807307789207e-50,3.80335734554293e-46,Disease,Qipengyuania flava
2057741,5521.706954,4.681757356,0.330590723,14.16179289,1.57913274528051e-45,4.42394038590334e-42,Healthy,Bradyrhizobium sp. SK17
1775881,1005.444595,-14.39565679,1.057206278,-13.61669627,3.18660046830746e-42,5.95150747464224e-39,Disease,Sulfitobacter faviae
2653203,749.9400671,-13.97269961,1.109625584,-12.59226519,2.32892742927135e-36,3.26224509655185e-33,Disease,Sphingomonas sp. CL5.1
2819104,234.1593446,-26.853745,2.720400026,-9.871248621,5.5469768459756e-23,6.21594225360026e-20,Disease,Vibrio sp. SCSIO 43097
2912314,227.1151319,-26.80498479,2.782572554,-9.633166529,5.79166533987593e-22,5.40845014988747e-19,Disease,Vibrio sp. JC009
2906515,213.0267066,-26.7197981,2.920796212,-9.14812132,5.79322152979385e-20,4.63706003306214e-17,Disease,Arcobacter iocasae
3096994,204.2821668,-26.66692013,3.015756939,-8.842529645,9.35754608731553e-19,6.55379134090361e-16,Disease,Thalassobius sp. MITS945101
208375,901.560257,12.31871555,1.549542752,7.949903632,1.86656657340233e-15,5.39429381175364e-13,Healthy,Bradyrhizobium sp. Pha-3
563996,52.71014291,-24.81593557,3.164426517,-7.842158898,4.4286545661372e-15,5.39429381175364e-13,Disease,Sphingomonas hankookensis
60137,52.71014291,-24.81593557,3.164426517,-7.842158898,4.4286545661372e-15,5.39429381175364e-13,Disease,Sulfitobacter pontiacus
2746230,49.30948853,-24.71079388,3.141103983,-7.866913676,3.63497278890956e-15,5.39429381175364e-13,Disease,Moritella sp. 24
1712261,47.60916134,-24.67252748,3.130714448,-7.880797782,3.25297392227224e-15,5.39429381175364e-13,Disease,Pyruvatibacter mobilis
154981,51.98143126,-24.79680803,3.15896913,-7.849651899,4.17193604049094e-15,5.39429381175364e-13,Disease,Aliiroseovarius crassostreae
1420917,51.98143126,-24.79680803,3.15896913,-7.849651899,4.17193604049094e-15,5.39429381175364e-13,Disease,Marinobacter salarius
931866,47.60916134,-24.67252748,3.130714448,-7.880797782,3.25297392227224e-15,5.39429381175364e-13,Disease,Bradyrhizobium ottawaense
28447,46.6375458,-24.60543825,3.125198879,-7.873239177,3.4557509466632e-15,5.39429381175364e-13,Disease,Clavibacter michiganensis
675,48.33787299,-24.6956528,3.135059736,-7.877251116,3.34661901244006e-15,5.39429381175364e-13,Disease,Vibrio cincinnatiensis
1564506,51.98143126,-24.79680803,3.15896913,-7.849651899,4.17193604049094e-15,5.39429381175364e-13,Disease,Rhodovulum sp. P5
2897332,48.33787299,-24.6956528,3.135059736,-7.877251116,3.34661901244006e-15,5.39429381175364e-13,Disease,Roseomonas cutis
