,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,enriched,species
2057741,5521.706954,4.681757356,0.330590723,14.16179289,1.57913274528051e-45,4.42394038590334e-42,Healthy,Bradyrhizobium sp. SK17
208375,901.560257,12.31871555,1.549542752,7.949903632,1.86656657340233e-15,5.39429381175364e-13,Healthy,Bradyrhizobium sp. Pha-3
3344828,546.0641041,11.59528801,1.632036037,7.104799004,1.20497775450483e-12,7.76033374539144e-11,Healthy,Bradyrhizobium sp. ma5
1892404,225.7794957,23.07794105,3.272385477,7.052329627,1.75946782918232e-12,1.07155415727267e-10,Healthy,Bacillus sp. ABP14
2921604,223.3365454,23.06202822,3.301731298,6.984828909,2.85203328278502e-12,1.64741675087056e-10,Healthy,Paenibacillus sp. FSL L8-0638
1241978,215.7470621,23.01224696,3.37835501,6.811672216,9.64707184202972e-12,5.09929655951816e-10,Healthy,Chryseobacterium bernardetii
3410088,457.8157904,11.34098049,1.700513771,6.669149459,2.57290133094302e-11,1.26455843484857e-09,Healthy,Bradyrhizobium sp. B120
1675036,203.7553351,22.92928226,3.472382081,6.603329279,4.02025212836734e-11,1.87712272293685e-09,Healthy,Megasphaera hexanoica
712368,200.5195962,22.91238428,3.501108377,6.544323059,5.97654777321663e-11,2.74480304699449e-09,Healthy,Leptotrichia sp. oral taxon 498
2963283,199.2994999,22.90340607,3.512102334,6.521280958,6.97094669969254e-11,3.1754645819819e-09,Healthy,Stenotrophomonas muris
2913412,234.3095948,23.12712289,3.607766243,6.410371774,1.45165203789902e-10,6.50688509467856e-09,Healthy,Streptomyces sp. CB09030
2093780,184.0432343,22.79259302,3.657684624,6.231426534,4.6220674175276e-10,2.05535267781009e-08,Healthy,Podospora pseudopauciseta
2908839,221.1312355,23.04881063,3.709413198,6.213600212,5.17841806726496e-10,2.28462019140831e-08,Healthy,Paenibacillus hexagrammi
1967498,181.1594799,22.76955617,3.683679851,6.181198447,6.36167853533251e-10,2.78472537761469e-08,Healthy,Ilumatobacter sp.
3463858,847.1756984,24.9172257,4.080490487,6.106429062,1.0188488830574e-09,4.42527929594619e-08,Healthy,Flavobacterium sp. TN-1
1197460,175.2811817,22.72253657,3.737334604,6.0798775,1.20274399255556e-09,5.1442554124342e-08,Healthy,Bradyrhizobium sp. 6(2017)
45634,49.60438705,20.969121,3.486521879,6.014337994,1.80623298649445e-09,7.0045155289079e-08,Healthy,Streptococcus cristatus
171282,46.20502419,20.87154666,3.466194026,6.021459417,1.72851364937462e-09,7.0045155289079e-08,Healthy,Mycoplasmopsis columboralis
418008,45.18653855,20.83935437,3.462738499,6.018171563,1.76398184453167e-09,7.0045155289079e-08,Healthy,Methanosarcina horonobensis
3112003,41.18483388,20.71124893,3.443199902,6.015116613,1.79757251185109e-09,7.0045155289079e-08,Healthy,Psychrobacter sp. HD31
