Sample_ID,Reads,Gene_families,Sample
072023_Carolina_2023_Baya_053_MCAV_S3,119041,4722,072023_MCAV3_S3_DT
072023_Carolina_2023_Baya_055_MCAV_S4,275961,29322,072023_MCAV3_S4_DM
122021_Coralina_2021_Baya_005_MCAV_S28,46677,5240,122021_MCAV3_S28_H
122021_Coralina_2021_Baya_007_MCAV_S29,115215,3952,122021_MCAV4_S29_H
122021_Coralina_2021_Baya_017_MCAV_S30,31184,3901,122021_MCAV9_S30_H
122021_Coralina_2021_Baya_023_MCAV_S31,75058,2197,122021_MCAV0_S31_H
072023_Carolina_2023_Baya_052_DCYL_S9,1152824,19099,072023_DCYL5_S9_DM
072023_Carolina_2023_Baya_065_DCYL_S1,68316,2681,072023_DCYL1_S1_DT
072023_Carolina_2023_Baya_066_DCYL_S2,157717,17935,072023_DCYL1_S2_DM
122021_Coralina_2021_Baya_001_DCYL_S24,43321,7046,122021_DCYL1_S24_H
122021_Coralina_2021_Baya_009_DCYL_S25,25337,2093,122021_DCYL5_S25_H
122021_Coralina_2021_Baya_010_DCYL_S26,20030,2613,122021_DCYL6_S26_H
072023_Carolina_2023_Baya_057_SSID_S7,106217,7747,072023_SSID2_S7_DT
072023_Carolina_2023_Baya_059_SSID_S8,163770,8644,072023_SSID2_S8_DM
072023_Carolina_2023_Baya_061_SSID_S5,367338,35491,072023_SSID1_S5_DT
072023_Carolina_2023_Baya_063_SSID_S6,804040,133339,072023_SSID1_S6_DM
122021_Coralina_2021_Baya_019_SSID1_S46,259683,19394,122021_SSID1_S46_H
122021_Coralina_2021_Baya_021_SSID2_S36,385846,13794,122021_SSID2_S36_H
