,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,enriched,species
195248,185.1699626,-26.80604247,1.968341248,-13.6185951,3.10483072056458e-42,3.5531682766141e-38,Breviolum_minutum,Picosynechococcus sp. PCC 8807
3042300,74.43867774,24.94805775,1.871977442,13.32711452,1.61005436908953e-40,9.21273109993029e-37,Cladocopium_goreaui,Vibrio sp. YMD68
68213,1049.071602,-29.08014945,2.244156459,-12.95816489,2.11240712550334e-38,8.05812904808673e-35,Breviolum_minutum,Streptomyces griseoaurantiacus
1625,63.99938452,24.67929533,2.050044974,12.03841654,2.23198724011483e-33,6.38571549396854e-30,Cladocopium_goreaui,Fructilactobacillus sanfranciscensis
1230998,81.63677641,24.78145903,2.07003255,11.97153109,5.00955554355378e-33,1.14658707280859e-29,Cladocopium_goreaui,Corynebacterium frankenforstense
2749052,293.1920718,26.85053042,2.291749904,11.71616954,1.05327610884156e-31,2.00894863159714e-28,Cladocopium_goreaui,Gardnerella sp. DNF00571G
133539,49.46760215,24.1513729,2.064269672,11.69971793,1.27877849626004e-31,2.09062015874285e-28,Cladocopium_goreaui,Nitrosococcus halophilus
412690,88.92412832,-25.10842197,2.281441219,-11.00550905,3.59479964392909e-28,5.14236089064056e-25,Breviolum_minutum,Microterricola viridarii
225194,73.6897212,24.72397381,2.268097711,10.90075339,1.14306871803984e-27,1.45347537880532e-24,Cladocopium_goreaui,Citrifermentans bemidjiense
2600598,55.90158143,24.19574317,2.24592102,10.77319414,4.60734253682278e-27,5.27264279913999e-24,Cladocopium_goreaui,Pseudomonas saxonica
3408576,59.45332245,23.74274655,2.266861778,10.47383955,1.13926247914084e-25,1.18524725557162e-22,Cladocopium_goreaui,Brachybacterium sp. UNK5269
1912,708.815381,27.22287383,2.633823656,10.33587566,4.8496236540325e-25,4.62492442472899e-22,Cladocopium_goreaui,Streptomyces hygroscopicus
1404864,91.47819053,-24.97049245,2.443330665,-10.219858,1.6157739005781e-24,1.42237819370891e-21,Breviolum_minutum,Bradyrhizobium cosmicum
381,206.5060821,25.89308417,2.543601333,10.17969437,2.44327533289192e-24,1.99720306497251e-21,Cladocopium_goreaui,Mesorhizobium loti
2813371,126.0517212,25.99625368,2.569382499,10.11770481,4.61101410342782e-24,3.29802783747675e-21,Cladocopium_goreaui,Terrisporobacter hibernicus
2664091,83.48942518,25.73791836,2.542530265,10.12295457,4.37020309746343e-24,3.29802783747675e-21,Cladocopium_goreaui,Streptococcus zhangguiae
3082546,66.48727286,-24.38770699,2.418515638,-10.08374997,6.51896229260074e-24,4.38841202803076e-21,Breviolum_minutum,Synechococcus sp. MIT S9452
1286181,85.0546669,-24.31139923,2.419254926,-10.04912668,9.26851420593856e-24,5.89271536515338e-21,Breviolum_minutum,Mycolicibacterium arabiense
671077,47.30265275,-24.06271691,2.400658755,-10.02338082,1.20315438031635e-23,7.24678880438961e-21,Breviolum_minutum,Caldinitratiruptor microaerophilus
1660080,44.79747868,24.02287819,2.412659173,9.957012766,2.35018269688374e-23,1.34477453915687e-20,Cladocopium_goreaui,Campylobacter sp. RM16192
2774875,73.24800864,24.6387147,2.476810399,9.947759708,2.57924034846441e-23,1.40556316894413e-20,Cladocopium_goreaui,Variovorax sp. 38R
3161071,64.46608461,24.59304177,2.475162373,9.935930685,2.90450829906937e-23,1.51087240793408e-20,Cladocopium_goreaui,Klebsiella sp. WOUb02
2175619,66.71145986,24.41357429,2.461068553,9.919908269,3.41069486093185e-23,1.69704312993496e-20,Cladocopium_goreaui,Curtobacterium sp. MCJR17_020
3240067,479.2250575,28.14479375,2.840476452,9.908476354,3.82433648801127e-23,1.82357111536671e-20,Cladocopium_goreaui,Streptomyces sp. CA-253872
2562282,54.62743802,24.14831109,2.461745171,9.809427625,1.02548572752301e-22,4.69426346630932e-20,Cladocopium_goreaui,Halomonas binhaiensis
