,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,enriched,species
28898,312.266314,-23.28571466,2.842096978,-8.193145708,2.54485783989935e-16,2.91233531198082e-12,Breviolum_minutum,Campylobacter helveticus
1660078,751.3466345,-25.10619968,3.227462004,-7.77892959,7.31407530250057e-15,2.79007592539388e-11,Breviolum_minutum,Campylobacter sp. RM5004
3042300,74.43867774,22.5835068,2.892108402,7.808665397,5.77967128796308e-15,2.79007592539388e-11,Durusdinium_trenchii,Vibrio sp. YMD68
849,131.0937927,-21.09510881,2.835205628,-7.440415823,1.00368857273698e-13,1.85390286223938e-10,Breviolum_minutum,Fusobacterium gonidiaformans
2070537,124.0683573,-21.30425062,2.850609205,-7.473578132,7.80430654414123e-14,1.85390286223938e-10,Breviolum_minutum,Commensalibacter melissae
1230998,81.63677641,23.88306845,3.203735447,7.45475675,9.0033784834152e-14,1.85390286223938e-10,Durusdinium_trenchii,Corynebacterium frankenforstense
133539,49.46760215,23.72214925,3.195213808,7.424276017,1.13398462387938e-13,1.85390286223938e-10,Durusdinium_trenchii,Nitrosococcus halophilus
1031542,114.8756579,-20.61038624,2.789408819,-7.388800845,1.4815888307075e-13,2.11941282232708e-10,Breviolum_minutum,Campylobacter volucris
43057,150.542566,27.63341292,3.766139848,7.337330538,2.17896019460391e-13,2.77066894078301e-10,Durusdinium_trenchii,Cereibacter azotoformans
1625,63.99938452,22.9573553,3.176155002,7.228033672,4.90037244245745e-13,4.70709791040251e-10,Durusdinium_trenchii,Fructilactobacillus sanfranciscensis
3408576,59.45332245,25.43635659,3.517488975,7.231396251,4.78053237016036e-13,4.70709791040251e-10,Durusdinium_trenchii,Brachybacterium sp. UNK5269
2589076,101.0117766,26.93729809,3.727285425,7.227055357,4.93578949011099e-13,4.70709791040251e-10,Durusdinium_trenchii,Paracoccus sp. AK26
689904,124.5398432,-21.30391933,2.979133693,-7.151045078,8.6119701497811e-13,7.58118356877653e-10,Breviolum_minutum,Tissierella carlieri
1702325,94.85540148,26.78575083,3.797166221,7.054142292,1.73668594688337e-12,1.41961671258095e-09,Durusdinium_trenchii,Chelatococcus sp. CO-6
2527975,108.6648717,26.8534169,3.812907724,7.042766006,1.88460576167903e-12,1.43782855577699e-09,Durusdinium_trenchii,Kolteria novifilia
2864209,127.8991639,27.1346899,3.862037193,7.026004293,2.12531923669228e-12,1.4407795337023e-09,Durusdinium_trenchii,Shewanella alkalitolerans
29401,66.8384356,26.36830867,3.753482223,7.025025589,2.14027019162347e-12,1.4407795337023e-09,Durusdinium_trenchii,Pseudonocardia halophobica
1912,708.815381,28.75929278,4.10517709,7.00561563,2.4590214879884e-12,1.54971117701435e-09,Durusdinium_trenchii,Streptomyces hygroscopicus
496014,76.56812862,26.47033587,3.781868756,6.999274058,2.57292138791267e-12,1.54971117701435e-09,Durusdinium_trenchii,Baekduia soli
2093779,189.2091028,-21.24143351,3.04834097,-6.968194739,3.21033653813035e-12,1.83695456711819e-09,Breviolum_minutum,Podospora pseudocomata
2778370,232.0402066,-29.99668505,4.322105239,-6.940294924,3.91282205316083e-12,2.13230169411298e-09,Breviolum_minutum,Peribacillus sp. JNUCC41
548579,441.0879217,29.14390506,4.213262942,6.917181637,4.60717225765177e-12,2.29236866593769e-09,Durusdinium_trenchii,Isoptericola jiangsuensis
2796143,66.31360292,26.184264,3.784155846,6.919446522,4.53411607883835e-12,2.29236866593769e-09,Durusdinium_trenchii,Alicyclobacillus sp. ALC3
216929,91.00892548,26.43822577,3.834327628,6.895139992,5.38117841733949e-12,2.56592524200138e-09,Durusdinium_trenchii,Mycolicibacterium psychrotolerans
2600598,55.90158143,24.00799535,3.486306213,6.886370239,5.72339174570464e-12,2.61993980551375e-09,Durusdinium_trenchii,Pseudomonas saxonica
