,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,enriched,species
68213,1049.071602,28.23977137,3.543032143,7.970509504,1.58021511822214e-15,7.59492914509785e-12,Durusdinium_trenchii,Streptomyces griseoaurantiacus
28898,312.266314,-22.99675139,2.8982271,-7.934765151,2.10894004986735e-15,7.59492914509785e-12,Cladocopium_goreaui,Campylobacter helveticus
3074094,510.9122309,39.61155708,5.010218668,7.906153344,2.6546414348472e-15,7.59492914509785e-12,Durusdinium_trenchii,Thermosynechococcus sp. GLH87
195248,185.1699626,24.5674761,3.089930746,7.950817708,1.85284417771257e-15,7.59492914509785e-12,Durusdinium_trenchii,Picosynechococcus sp. PCC 8807
1031542,114.8756579,-22.35283279,2.843787451,-7.860233289,3.83418689992233e-15,8.77568697654223e-12,Cladocopium_goreaui,Campylobacter volucris
3031799,245.066754,39.25194068,5.010276995,7.834285552,4.71516087441986e-15,8.99338350781015e-12,Durusdinium_trenchii,Providencia hangzhouensis
849,131.0937927,-22.57527647,2.890945448,-7.808959691,5.76619362944906e-15,9.42690284220215e-12,Cladocopium_goreaui,Fusobacterium gonidiaformans
2070537,124.0683573,-22.60764701,2.906799899,-7.777503714,7.39695988060208e-15,1.05813511092013e-11,Cladocopium_goreaui,Commensalibacter melissae
689904,124.5398432,-22.58514948,3.038888719,-7.432042291,1.06933597442307e-13,1.21462937570979e-10,Cladocopium_goreaui,Tissierella carlieri
2813371,126.0517212,-31.45491195,4.226353576,-7.442565178,9.87487090977523e-14,1.21462937570979e-10,Cladocopium_goreaui,Terrisporobacter hibernicus
412690,88.92412832,26.70938345,3.605046865,7.408886609,1.27364142856671e-13,1.21462937570979e-10,Durusdinium_trenchii,Microterricola viridarii
2072413,104.6924994,37.13465144,5.010427333,7.411473907,1.24903376381417e-13,1.21462937570979e-10,Durusdinium_trenchii,Stenotrophomonas sp. SAU14A_NAIMI4_5
3240067,479.2250575,-34.35300743,4.657824035,-7.375333884,1.63933687577708e-13,1.34004080045664e-10,Cladocopium_goreaui,Streptomyces sp. CA-253872
2093779,189.2091028,-22.96525441,3.109991066,-7.384347388,1.53202966983422e-13,1.34004080045664e-10,Cladocopium_goreaui,Podospora pseudocomata
3230301,77.17571812,36.76529599,5.010520884,7.33761955,2.17426162774992e-13,1.65881667119801e-10,Durusdinium_trenchii,Pseudomonas sp. HOU2
3038077,105.8304614,36.59693879,5.010424599,7.304159172,2.79005936280292e-13,1.99558995924479e-10,Durusdinium_trenchii,Streptococcus sp. D7B5
59893,362.1901829,-24.25573941,3.327035135,-7.290496919,3.08813869314216e-13,2.0788623061364e-10,Cladocopium_goreaui,Paenibacillus peoriae
1077945,74.06161019,36.35460514,5.010535842,7.25563219,3.99790112544753e-13,2.5417766933123e-10,Durusdinium_trenchii,Streptomyces manipurensis
2714927,162.5870446,-23.15231614,3.227702275,-7.173002392,7.33705708799099e-13,3.99834672928423e-10,Cladocopium_goreaui,Dysgonomonas sp. HDW5B
2954078,49.18878146,-32.45664834,4.522375313,-7.176902864,7.13083123445226e-13,3.99834672928423e-10,Cladocopium_goreaui,Pseudomonas sp. FP1740
1286181,85.0546669,27.48808405,3.83191352,7.173461485,7.31248316692564e-13,3.99834672928423e-10,Durusdinium_trenchii,Mycolicibacterium arabiense
1702097,111.4503225,-22.56351553,3.173231449,-7.110579827,1.15556441272839e-12,6.01103597239258e-10,Cladocopium_goreaui,Saccharolobus caldissimus
1582439,102.6389711,-22.50405886,3.181653218,-7.073070923,1.51541984375758e-12,6.67017872767762e-10,Cladocopium_goreaui,Nitrosopumilus piranensis
89059,88.04457814,-22.32947475,3.151094125,-7.086260792,1.37784053842212e-12,6.67017872767762e-10,Cladocopium_goreaui,Ligilactobacillus acidipiscis
112900,89.77948835,-22.36149183,3.161031137,-7.074113118,1.50407561287821e-12,6.67017872767762e-10,Cladocopium_goreaui,Sporomusa acidovorans
