Sample,Durusdinium_trenchii,Cladocopium_goreaui,Breviolum_minutum,Cladocopium_sp.,Symbiodinium_kawagutii,Host,Colony_tag,Sample_type
122021_Coralina_2021_Baya_021_SSID2_S36,0,1.32708024,75.15236064,0,0,SSID,SSID-2,Healthy
122021_Coralina_2021_Baya_019_SSID1_S46,84.00053605,2.239387757,0,0,0,SSID,SSID-1,Healthy
072023_Carolina_2023_Baya_063_SSID_S6,43.63924933,15.85178444,0,0,0,SSID,SSID-1,Disease_margin
072023_Carolina_2023_Baya_061_SSID_S5,46.90316519,6.673089217,0,0,0,SSID,SSID-1,Disease_tissue
072023_Carolina_2023_Baya_059_SSID_S8,0,24.66233032,0,1.735246267,0,SSID,SSID-2,Disease_margin
072023_Carolina_2023_Baya_057_SSID_S7,0,26.67015458,0,1.741187716,0,SSID,SSID-2,Disease_tissue
122021_Coralina_2021_Baya_010_DCYL_S26,0,0,59.2037925,0,0,DCYL,DCYL-6,Healthy
122021_Coralina_2021_Baya_009_DCYL_S25,0,0,59.94953124,0,0,DCYL,DCYL-5,Healthy
122021_Coralina_2021_Baya_001_DCYL_S24,0,0,67.08436888,0,0,DCYL,DCYL-1,Healthy
072023_Carolina_2023_Baya_066_DCYL_S2,0,0,81.75277192,0,0,DCYL,DCYL-1,Disease_margin
072023_Carolina_2023_Baya_065_DCYL_S1,0,0,88.35017836,0,0,DCYL,DCYL-1,Disease_tissue
072023_Carolina_2023_Baya_052_DCYL_S9,0,30.18553254,0,0,1.092313693,DCYL,DCYL-5,Disease_margin
122021_Coralina_2021_Baya_023_MCAV_S31,0,64.6950694,0,0,0,MCAV,MCAV-0,Healthy
122021_Coralina_2021_Baya_017_MCAV_S30,0,60.5158303,0,0,0,MCAV,MCAV-9,Healthy
122021_Coralina_2021_Baya_007_MCAV_S29,0,60.50282312,0,0,0,MCAV,MCAV-4,Healthy
122021_Coralina_2021_Baya_005_MCAV_S28,0,62.4594393,0,0,0,MCAV,MCAV-3,Healthy
072023_Carolina_2023_Baya_055_MCAV_S4,0,39.8361789,0,0,0,MCAV,MCAV-3,Disease_margin
072023_Carolina_2023_Baya_053_MCAV_S3,0,42.31890953,0,0,0,MCAV,MCAV-3,Disease_tissue
