Sample,Durusdinium_trenchii,Cladocopium_goreaui,Breviolum_minutum,Cladocopium_sp.,Host,Colony_tag,Sample_type
122021_Coralina_2021_Baya_021_SSID2_S36,0,0,2.642223236,0,SSID,SSID-2,Healthy
122021_Coralina_2021_Baya_019_SSID1_S46,61.12237039,1.629472949,0.179601975,0,SSID,SSID-1,Healthy
072023_Carolina_2023_Baya_063_SSID_S6,6.708660099,2.436950527,0,0,SSID,SSID-1,Disease_margin
072023_Carolina_2023_Baya_061_SSID_S5,4.601156658,0.6527612,0,0,SSID,SSID-1,Disease_tissue
072023_Carolina_2023_Baya_059_SSID_S8,0,1.348542596,0,0,SSID,SSID-2,Disease_margin
072023_Carolina_2023_Baya_057_SSID_S7,0,1.682706551,0,0.1118864,SSID,SSID-2,Disease_tissue
122021_Coralina_2021_Baya_010_DCYL_S26,0,0,5.41228171,0,DCYL,DCYL-6,Healthy
122021_Coralina_2021_Baya_009_DCYL_S25,0,0,5.945812335,0,DCYL,DCYL-5,Healthy
122021_Coralina_2021_Baya_001_DCYL_S24,0,0,7.050643683,0,DCYL,DCYL-1,Healthy
072023_Carolina_2023_Baya_066_DCYL_S2,0,0,18.45083245,0,DCYL,DCYL-1,Disease_margin
072023_Carolina_2023_Baya_065_DCYL_S1,0,0,37.084965,0,DCYL,DCYL-1,Disease_tissue
072023_Carolina_2023_Baya_052_DCYL_S9,0,0.685801625,0,0,DCYL,DCYL-5,Disease_margin
122021_Coralina_2021_Baya_023_MCAV_S31,0,18.92680626,0,0.129145121,MCAV,MCAV-0,Healthy
122021_Coralina_2021_Baya_017_MCAV_S30,0,17.04159285,0,0.129530005,MCAV,MCAV-9,Healthy
122021_Coralina_2021_Baya_007_MCAV_S29,0,14.16951252,0,0.099684905,MCAV,MCAV-4,Healthy
122021_Coralina_2021_Baya_005_MCAV_S28,0,13.85633802,0,0.106661989,MCAV,MCAV-3,Healthy
122021_Coralina_2021_Baya_003_MCAV_S27,0,4.813959731,0,0,MCAV,MCAV-2,Healthy
072023_Carolina_2023_Baya_055_MCAV_S4,0,2.019978493,0,0,MCAV,MCAV-3,Disease_margin
072023_Carolina_2023_Baya_053_MCAV_S3,0,2.949570026,0,0,MCAV,MCAV-3,Disease_tissue
