"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","species"
"195248",185.169962641013,-26.8060424650418,1.96834124767856,-13.6185950970933,3.10483072056458e-42,3.5531682766141e-38,"Picosynechococcus sp. PCC 8807"
"3042300",74.4386777381905,24.9480577460605,1.87197744244925,13.327114515557,1.61005436908953e-40,9.21273109993029e-37,"Vibrio sp. YMD68"
"68213",1049.07160215965,-29.0801494511563,2.24415645941094,-12.9581648949688,2.11240712550334e-38,8.05812904808673e-35,"Streptomyces griseoaurantiacus"
"1625",63.9993845161776,24.6792953279595,2.05004497368822,12.0384165443742,2.23198724011483e-33,6.38571549396854e-30,"Fructilactobacillus sanfranciscensis"
"1230998",81.6367764139029,24.7814590328984,2.07003255046767,11.9715310888709,5.00955554355378e-33,1.14658707280859e-29,"Corynebacterium frankenforstense"
"2749052",293.192071790398,26.8505304198269,2.29174990358516,11.7161695426812,1.05327610884156e-31,2.00894863159714e-28,"Gardnerella sp. DNF00571G"
"133539",49.467602151506,24.1513728999618,2.06426967224506,11.6997179315701,1.27877849626004e-31,2.09062015874285e-28,"Nitrosococcus halophilus"
"412690",88.9241283244139,-25.1084219743267,2.28144121898912,-11.0055090463615,3.59479964392909e-28,5.14236089064056e-25,"Microterricola viridarii"
"225194",73.6897212028937,24.7239738139299,2.26809771125986,10.9007533895868,1.14306871803984e-27,1.45347537880532e-24,"Citrifermentans bemidjiense"
"2600598",55.901581427648,24.1957431671528,2.2459210203716,10.7731941362521,4.60734253682278e-27,5.27264279913999e-24,"Pseudomonas saxonica"
"3408576",59.4533224454987,23.7427465524099,2.26686177814058,10.4738395527076,1.13926247914084e-25,1.18524725557162e-22,"Brachybacterium sp. UNK5269"
"1912",708.81538098204,27.2228738312383,2.63382365609824,10.3358756643436,4.8496236540325e-25,4.62492442472899e-22,"Streptomyces hygroscopicus"
"1404864",91.4781905340941,-24.9704924496743,2.44333066471481,-10.2198580037831,1.6157739005781e-24,1.42237819370891e-21,"Bradyrhizobium cosmicum"
"381",206.506082097422,25.8930841712364,2.54360133253852,10.1796943727007,2.44327533289192e-24,1.99720306497251e-21,"Mesorhizobium loti"
"2813371",126.051721155225,25.9962536799907,2.56938249905642,10.1177048141091,4.61101410342782e-24,3.29802783747675e-21,"Terrisporobacter hibernicus"
"2664091",83.4894251805072,25.7379183630905,2.5425302647182,10.1229545701959,4.37020309746343e-24,3.29802783747675e-21,"Streptococcus zhangguiae"
"3082546",66.4872728623274,-24.3877069874467,2.4185156381625,-10.0837499673873,6.51896229260074e-24,4.38841202803076e-21,"Synechococcus sp. MIT S9452"
"1286181",85.0546668977346,-24.311399227872,2.41925492587453,-10.0491266827053,9.26851420593856e-24,5.89271536515338e-21,"Mycolicibacterium arabiense"
"671077",47.3026527503326,-24.0627169140548,2.40065875540097,-10.0233808157527,1.20315438031635e-23,7.24678880438961e-21,"Caldinitratiruptor microaerophilus"
