"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","species"
"68213",1049.07160215965,28.2397713684732,3.54303214299884,7.97050950392194,1.58021511822214e-15,7.59492914509785e-12,"Streptomyces griseoaurantiacus"
"28898",312.266314028589,-22.9967513905275,2.89822709955647,-7.93476515144269,2.10894004986735e-15,7.59492914509785e-12,"Campylobacter helveticus"
"3074094",510.912230948829,39.6115570767049,5.01021866783601,7.90615334436365,2.6546414348472e-15,7.59492914509785e-12,"Thermosynechococcus sp. GLH87"
"195248",185.169962641013,24.5674760967001,3.08993074645115,7.95081770842804,1.85284417771257e-15,7.59492914509785e-12,"Picosynechococcus sp. PCC 8807"
"1031542",114.875657901308,-22.3528327874127,2.84378745080254,-7.86023328892058,3.83418689992233e-15,8.77568697654223e-12,"Campylobacter volucris"
"3031799",245.066754023688,39.2519406751029,5.01027699547526,7.83428555158746,4.71516087441986e-15,8.99338350781015e-12,"Providencia hangzhouensis"
"849",131.093792720565,-22.575276473728,2.8909454481567,-7.80895969106655,5.76619362944906e-15,9.42690284220215e-12,"Fusobacterium gonidiaformans"
"2070537",124.068357264843,-22.6076470074101,2.90679989851723,-7.77750371428811,7.39695988060208e-15,1.05813511092013e-11,"Commensalibacter melissae"
"689904",124.539843218447,-22.5851494773832,3.03888871920381,-7.4320422905451,1.06933597442307e-13,1.21462937570979e-10,"Tissierella carlieri"
"2813371",126.051721155225,-31.4549119524686,4.2263535756827,-7.44256517804182,9.87487090977523e-14,1.21462937570979e-10,"Terrisporobacter hibernicus"
"412690",88.9241283244139,26.7093834451867,3.60504686516422,7.40888660929238,1.27364142856671e-13,1.21462937570979e-10,"Microterricola viridarii"
"2072413",104.692499407538,37.1346514382891,5.01042733287238,7.41147390655809,1.24903376381417e-13,1.21462937570979e-10,"Stenotrophomonas sp. SAU14A_NAIMI4_5"
"3240067",479.225057489303,-34.3530074341758,4.65782403543815,-7.37533388397835,1.63933687577708e-13,1.34004080045664e-10,"Streptomyces sp. CA-253872"
"2093779",189.209102810107,-22.9652544066325,3.10999106628782,-7.38434738786711,1.53202966983422e-13,1.34004080045664e-10,"Podospora pseudocomata"
"3230301",77.175718117957,36.7652959946061,5.01052088401383,7.33761955007643,2.17426162774992e-13,1.65881667119801e-10,"Pseudomonas sp. HOU2"
"3038077",105.83046135762,36.596938788306,5.01042459863823,7.30415917210941,2.79005936280292e-13,1.99558995924479e-10,"Streptococcus sp. D7B5"
"59893",362.190182930389,-24.2557394052203,3.32703513546987,-7.29049691920214,3.08813869314216e-13,2.0788623061364e-10,"Paenibacillus peoriae"
"1077945",74.0616101938991,36.3546051417389,5.01053584172524,7.25563218987397,3.99790112544753e-13,2.5417766933123e-10,"Streptomyces manipurensis"
"2714927",162.58704463015,-23.1523161352474,3.22770227455772,-7.17300239174625,7.33705708799099e-13,3.99834672928423e-10,"Dysgonomonas sp. HDW5B"
"2954078",49.1887814585829,-32.4566483374078,4.52237531305633,-7.17690286423238,7.13083123445226e-13,3.99834672928423e-10,"Pseudomonas sp. FP1740"
"1286181",85.0546668977346,27.4880840511627,3.83191352007327,7.17346148527827,7.31248316692564e-13,3.99834672928423e-10,"Mycolicibacterium arabiense"
"1702097",111.450322536773,-22.5635155255471,3.1732314485542,-7.11057982733265,1.15556441272839e-12,6.01103597239258e-10,"Saccharolobus caldissimus"
"1582439",102.638971051289,-22.5040588647461,3.18165321836881,-7.073070922633,1.51541984375758e-12,6.67017872767762e-10,"Nitrosopumilus piranensis"
"89059",88.04457813914,-22.3294747502613,3.15109412524387,-7.08626079156971,1.37784053842212e-12,6.67017872767762e-10,"Ligilactobacillus acidipiscis"
"112900",89.7794883505605,-22.3614918321371,3.16103113694668,-7.0741131179545,1.50407561287821e-12,6.67017872767762e-10,"Sporomusa acidovorans"
"3398209",59.002300067004,-31.9964264675668,4.52102618486978,-7.07724865090301,1.47044559582837e-12,6.67017872767762e-10,"Neptuniibacter sp. QD37_11"
"3426221",136.465596320174,-23.2636403353227,3.29672667601047,-7.05658752501593,1.70641176120984e-12,7.23265785010572e-10,"Alphaorpheovirus massiliense"
"1404864",91.4781905340941,27.1338157994478,3.87208562483096,7.00754539761303,2.42535336439353e-12,9.91276567932843e-10,"Bradyrhizobium cosmicum"
"3082546",66.4872728623274,26.8080320708093,3.83111649577421,6.99744633199722,2.60669860527254e-12,1.02865720133583e-09,"Synechococcus sp. MIT S9452"
"2866628",57.4670784791377,34.9793124449314,5.01064319674465,6.98100245247097,2.93081196878723e-12,1.08194232809036e-09,"Diaphorobacter sp. MNS-0"
"68174",57.4670784791377,34.9793124449314,5.01064319674465,6.98100245247097,2.93081196878723e-12,1.08194232809036e-09,"Streptomyces anthocyanicus"
"1525218",62.152645058261,-31.6054582722783,4.53601456096078,-6.96767125579595,3.22230093315091e-12,1.1523753712181e-09,"Sulfitobacter sp. CB2047"
"2975697",164.344831918329,-32.0002303361804,4.60429576090833,-6.95008140177933,3.65075496882587e-12,1.18450146892574e-09,"Streptomyces sp. NBC_00271"
"2714926",122.913824014398,-23.0428012290823,3.31684863266632,-6.94719710816553,3.72614932552663e-12,1.18450146892574e-09,"Dysgonomonas sp. HDW5A"
"2286",103.597695307856,-22.3665681945574,3.21564931275409,-6.95553713082015,3.51221257300616e-12,1.18450146892574e-09,"Saccharolobus shibatae"
"1215089",63.5479209544942,-22.1941674129562,3.1919945310081,-6.95307187946428,3.57416457685676e-12,1.18450146892574e-09,"Planococcus halocryophilus"
"1925020",96.7198209345131,-22.1599187791016,3.20845648362175,-6.90672256027831,4.95978564601574e-12,1.50102772137166e-09,"Bacillus swezeyi"
"2664091",83.4894251805072,-28.892373728126,4.1836468532186,-6.9060259486047,4.98418851906004e-12,1.50102772137166e-09,"Streptococcus zhangguiae"
"1504981",59.6159547814594,-31.2845905206512,4.53538803015144,-6.89788620348908,5.27819991749700e-12,1.54881332963681e-09,"Halomonas sp. KO116"
"3375356",4.51437174611168,34.5269995340667,5.01623604880576,6.88304920225728,5.85847809323383e-12,1.63522983656019e-09,"Desulfitobacterium nosdiversum"
"1316412",4.51437174611168,34.5269995340667,5.01623604880576,6.88304920225728,5.85847809323383e-12,1.63522983656019e-09,"Streptococcus sp. HSISS3"
"2954055",105.959630905515,-31.4454237747518,4.57712272490671,-6.87012904496519,6.41438529361931e-12,1.74776726905189e-09,"Wolbachia endosymbiont (group A) of Scambus nigricans"
"29329",129.764195961949,-23.0157676175493,3.35555095586568,-6.8590129967529,6.93379314485436e-12,1.84535648255147e-09,"Thermoanaerobacterium xylanolyticum"
"1514074",105.219208310178,-31.3761369435997,4.58112101476906,-6.84900853796403,7.43635592692574e-12,1.93412857335769e-09,"Pseudoalteromonas sp. NC201"
"2892442",136.810691330466,-31.3861517812404,4.58759770443176,-6.84152225268584,7.8356029766893e-12,1.99268089922739e-09,"Pseudomonas sp. CIP-10"
"671077",47.3026527503326,25.9727373522017,3.80221285824757,6.83095300565903,8.43523652975068e-12,2.09854014883624e-09,"Caldinitratiruptor microaerophilus"
"664643",43.9178526208127,-30.9068168586799,4.53041591302108,-6.82207052333743,8.97375903743546e-12,2.18501486009386e-09,"Vibrio plantisponsor"
"2903645",150.154160338271,34.1203257208515,5.01034786547679,6.80997141055884,9.76181431271386e-12,2.3273792290562e-09,"Streptomyces sp. NBC_00310"
"35620",93.1566841475783,-31.2193789281089,4.5895606663659,-6.80225869044432,1.02991440738226e-11,2.40537560777197e-09,"Streptomyces hirsutus"
"2325",153.690654686056,-22.4676707359583,3.30816288015429,-6.79158540552585,1.10907894317756e-11,2.53845988514479e-09,"Thermoanaerobacter kivui"
"2778370",232.04020658239,-29.802222684537,4.41739047583161,-6.74656742427246,1.51383736682877e-11,3.20504207930165e-09,"Peribacillus sp. JNUCC41"
"589873",25.8107209763119,-32.9256092908128,4.88486123793665,-6.74033666199297,1.58020055867047e-11,3.20504207930165e-09,"Alteromonas australica"
"1511895",3.29620794160535,33.8569104480258,5.01847529475806,6.74645354603823,1.51502542158262e-11,3.20504207930165e-09,"Dependoparvovirus anseriform1"
"2267833",25.7938042018572,33.7699697628286,5.01123011652826,6.73885831972614,1.59635965152214e-11,3.20504207930165e-09,"Rhizobium oryzihabitans"
"585455",25.7938042018572,33.7699697628286,5.01123011652826,6.73885831972614,1.59635965152214e-11,3.20504207930165e-09,"Thiohalobacter thiocyanaticus"
"2842349",3.29620794160535,33.8569104480258,5.01847529475806,6.74645354603823,1.51502542158262e-11,3.20504207930165e-09,"Pseudomonas asgharzadehiana"
