,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,species,enriched
2823904,616.9891871,27.00692705,3.418112167,7.901123699,2.76400178833836e-15,3.0395727666357e-11,Paenibacillus sp. S02,Healthy
3031799,467.6509332,26.4966649,3.418937735,7.749970006,9.19142569754901e-15,5.05390541979733e-11,Providencia hangzhouensis,Healthy
2721244,330.7721271,26.12135326,3.403367644,7.675148848,1.65226677375138e-14,5.07612603946993e-11,Streptomyces sp. RPA4-2,Healthy
84023,319.3120581,26.08147411,3.404492847,7.660898489,1.84636756914429e-14,5.07612603946993e-11,Clostridium autoethanogenum,Healthy
762210,282.4200553,25.85415931,3.409165429,7.583720957,3.35782932044537e-14,7.38520980738754e-11,Bifidobacterium saguini,Healthy
2903645,286.5330856,25.77137405,3.430861016,7.511634521,5.83936241568713e-14,1.07025780808852e-10,Streptomyces sp. NBC_00310,Healthy
1980674,180.2213583,25.29244074,3.438486661,7.35568965,1.89943864590632e-13,2.98401811271883e-10,Paenibacillus sp. Cedars,Healthy
1276936,149.2948708,25.02848397,3.458036963,7.237772249,4.56114526278496e-13,6.26986430685577e-10,Staphylococcus petrasii,Healthy
1077945,141.3287627,24.95340489,3.487251696,7.155607643,8.33030909892142e-13,1.01787121289821e-09,Streptomyces manipurensis,Healthy
2763023,124.9618477,24.78120697,3.48155233,7.117861409,1.0961450576104e-12,1.20543071985415e-09,Bacteroides hominis,Healthy
548579,662.9648189,-25.45639694,3.62633314,-7.01987268,2.22070514120623e-12,2.03509120315375e-09,Isoptericola jiangsuensis,Disease
2775420,513.2843616,-25.11079623,3.619896321,-6.936882717,4.00846333911195e-12,3.14864795287244e-09,Skermanella cutis,Disease
3037479,412.1954966,-24.80510452,3.643034857,-6.80891221,9.83394629531532e-12,5.69178460050435e-09,Nodosilinea sp. E11,Disease
487559,401.292473,-23.99827213,3.556571529,-6.747585965,1.5032517565623e-11,6.96690329321093e-09,Xanthomonas sp. NCPPB 3761,Disease
745310,245.563558,-24.10287647,3.602901641,-6.689851366,2.23397379587523e-11,8.4713827011172e-09,Sphingomonas sp. MM-1,Disease
1458461,277.4555154,-24.15756992,3.637151035,-6.64189353,3.09678639851544e-11,1.00162823601395e-08,Candidatus Phaeomarinibacter ectocarpi,Disease
68213,207.935868,-23.87889938,3.604762777,-6.624263748,3.48983173894969e-11,1.03723458468188e-08,Streptomyces griseoaurantiacus,Disease
515256,147.4303519,-23.41180035,3.567389919,-6.562725377,5.28330980550378e-11,1.45251394827813e-08,Bartonella sp. 1-1C,Disease
2975717,176.6516687,-23.65360963,3.609907421,-6.552414473,5.66141445559562e-11,1.48234701829012e-08,Streptomyces sp. NBC_00341,Disease
2749046,141.6729903,-23.3581549,3.569994667,-6.542910307,6.03330186949484e-11,1.54298187578686e-08,Gardnerella sp. DNF00354,Disease
