species
Alicyclobacillus sp. ALC3
Alphaorpheovirus massiliense
Bradyrhizobium cosmicum
Baekduia soli
Brachybacterium sp. UNK5269
Campylobacter helveticus
Caldinitratiruptor microaerophilus
Campylobacter sp. RM16192
Campylobacter volucris
Citrifermentans bemidjiense
Corynebacterium frankenforstense
Corynebacterium lujinxingii
Curtobacterium sp. MCJR17_020
Commensalibacter melissae
Cereibacter azotoformans
Chelatococcus sp. CO-6
Dactylosporangium matsuzakiense
Diaphorobacter sp. MNS-0
Dysgonomonas sp. HDW5B
Fusobacterium gonidiaformans
Fructilactobacillus sanfranciscensis
Gardnerella sp. DNF00571G
Gluconobacter roseus
Halomonas binhaiensis
Isoptericola jiangsuensis
Kolteria novifilia
Kribbella sp. CA-293567
Klebsiella sp. WOUb02
Ligilactobacillus acidipiscis
Mesorhizobium loti
Microterricola viridarii
Mycolicibacterium arabiense
Neptuniibacter sp. QD37_11
Nitrosopumilus piranensis
Nitrosococcus halophilus
Picosynechococcus sp. PCC 8807
Pseudomonas saxonica
Paenibacillus peoriae
Paracoccus sp. AK26
Peribacillus sp. JNUCC41
Podospora pseudocomata
Pseudonocardia halophobica
Providencia hangzhouensis
Pseudomonas sp. FP1740
Pseudomonas sp. HOU2
Rhizobium bangladeshense
Sphingomonas sp. R1
Streptococcus zhangguiae
Streptomyces griseoaurantiacus
Streptomyces hygroscopicus
Streptomyces sp. CA-253872
Synechococcus sp. MIT S9452
Shewanella alkalitolerans
Streptomyces hygroscopicus
Saccharolobus caldissimus
Sporomusa acidovorans
Stenotrophomonas sp. SAU14A_NAIMI4_5
Streptococcus sp. D7B5
Terrisporobacter hibernicus
Thermosynechococcus sp. GLH87
Tissierella carlieri
Vibrio sp. YMD68
Variovorax sp. 38R
