,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26
2057741,1127.665628,307.3950465,0,17705.03913,12906.02676,23864.20369
5722,5276.607704,3952.222027,1978.226824,2839.269638,5486.048072,186669.995
562,5064.95354,4552.374261,4412.96753,20267.30685,10695.82034,7089.365951
588596,16885.49163,10934.48094,5021.652707,6047.875164,14405.80969,10683.97404
573,1382.691547,1829.73242,4324.200942,11934.16588,5604.451987,29355.96605
1747,30.36022845,7597.049008,1217.370353,13965.51326,7064.766942,2945.581628
28901,3342.227435,2590.901107,4476.372236,5009.11798,7419.978687,12531.2032
1396,3597.253354,9397.505709,7431.031531,4939.867501,17010.69582,7888.167748
470,2938.002679,2298.143919,1394.90353,6948.131391,5722.855902,6889.665502
1280,4449.942055,2503.07395,1807.034118,3000.854089,3354.777598,3295.057414
492670,1832.022928,2459.160372,1363.201177,6163.292629,4144.137033,13130.30454
1428,2804.417673,2415.246794,1540.734353,7917.638097,4617.752694,4992.511233
2004662,672.2622013,11783.47678,3005.38306,5586.205305,8051.466235,9335.996006
287,1324.573395,3308.156215,2846.871295,10479.90582,3591.585428,3544.682976
3066369,24.28818276,0,87961.34849,0,0,0
1173583,191.7031568,146.3785936,120.4689412,0,0,0
1502,2585.824029,1917.559576,1211.029883,2123.681355,2644.354107,3794.308537
647221,723.4408722,16482.22964,4102.284472,4547.44812,12116.66732,11382.92561
9,2486.068992,2049.30031,1363.201177,1708.178482,3512.649485,4992.511233
1325120,550.8212876,0,0,1108.007664,2407.546276,2845.731403
158836,1033.115202,6074.711634,7976.312002,9579.649593,8682.953783,0
1351,1276.864465,2576.263247,2282.569412,3162.43854,4538.81675,0
5811,863.9653581,1390.596639,684.7708237,1200.341636,5762.323874,4393.409885
1491,2192.008494,2063.93817,1103.241883,1615.84451,3117.969768,3045.431852
208375,484.028785,0,0,1477.343552,1657.654813,3544.682976
1936156,264.567705,673.3415305,1591.458118,4455.114148,907.76335,948.5771343
1219,910.8068534,1683.353826,1464.648706,854.0892408,2802.225994,13130.30454
1405,1505.867331,1668.715967,995.4538826,1500.427045,2525.950191,1847.229156
1795815,832.7376946,1010.012296,1559.755765,6694.212968,1894.462644,2895.656515
1404,1801.6627,2210.316763,1268.094118,1708.178482,3078.501796,1847.229156
1929291,538.6771962,175.6543123,380.4282354,1223.425129,749.8914631,0
27350,1282.069076,2429.884654,1293.456,1546.594031,4499.348778,3245.132302
192812,85.87607475,7919.081913,7209.115061,0,0,0
450367,741.6570092,0,164.8522353,0,0,0
1406,1105.979751,2415.246794,1020.815765,1731.261975,2565.418163,2146.77983
1282,656.6483696,512.3250776,158.5117647,2008.26389,1854.994672,1547.678482
44689,1630.777985,1551.613092,710.132706,831.0057478,2170.738446,1198.202696
3344828,301.8674143,0,0,669.4212968,1578.71887,1098.352471
5825,1225.685794,2459.160372,906.6872943,1385.00958,2565.418163,1847.229156
1653831,1390.498463,1390.596639,868.6444708,992.5901987,2210.206417,3295.057414
587,1579.599314,1478.423795,1084.220471,0,0,0
1496,1040.922118,1566.250951,792.5588237,1338.842594,1815.5267,8037.943085
3021011,15.61383177,0,0,0,0,0
5827,818.858733,2869.020434,1280.775059,2100.597862,2920.629909,2096.854718
546,937.6973415,2210.316763,1585.117647,7409.801251,2920.629909,0
40559,1430.400477,1419.872358,729.1541178,1061.840678,1618.186841,1647.528707
208348,1504.999896,1610.16453,786.2183531,946.4232128,2170.738446,1497.75337
5821,835.3399999,1566.250951,697.4517649,877.1727338,1973.398587,2346.48028
85471,2129.553167,1624.802389,741.835059,623.2543108,3196.905711,1997.004493
587753,200.3775078,395.2222027,405.7901177,2100.597862,0,0
210,1590.008536,1273.493764,634.047059,923.3397198,1657.654813,1347.978033
303,523.0633644,1302.769483,1826.05553,6971.214884,0,2146.77983
28198,1099.907705,512.3250776,228.2569412,0,670.9555196,0
3140245,260.2305296,0,0,969.5067058,1262.975096,898.652022
3140244,253.2910488,0,0,1084.924171,1499.782926,1547.678482
3425945,0,10758.82663,1807.034118,0,0,0
3410088,274.9769262,526.9629369,0,900.2562268,1341.911039,1497.75337
1583098,907.337113,175.6543123,190.2141177,0,552.5516044,0
1358,583.7838213,746.5308273,443.8329413,5309.203389,1144.57118,1497.75337
358,530.8702803,1390.596639,1661.203295,3970.360795,3117.969768,2596.105841
29448,291.4581931,0,0,992.5901987,2802.225994,0
41,143.9942264,0,114.1284706,0,0,0
1267423,78.93659396,658.7036712,240.9378824,230.8349299,0,0
1520,1232.625275,1171.028749,475.5352942,1177.258143,986.6992935,1048.427359
68213,0,3278.880497,2872.233177,7225.133307,4775.624581,6390.414378
2562892,357.3832606,1127.115171,925.7087061,1939.013412,1657.654813,2895.656515
5860,978.4667911,848.9958428,494.556706,577.0873249,1499.782926,1397.903145
1404443,202.112378,0,0,484.7533529,670.9555196,1747.378932
1352,1642.054641,702.6172493,0,0,0,0
5861,773.7521079,1097.839452,615.0256472,1454.260059,1657.654813,1847.229156
2761107,628.8904464,0,0,0,0,0
1492,964.5878295,2254.230341,1052.518118,1708.178482,3078.501796,3045.431852
1117645,1292.478297,2283.50606,729.1541178,1638.928003,2131.270474,2795.806291
2058762,552.5561577,1258.855905,1122.263294,1731.261975,1618.186841,1847.229156
288000,58.1181516,0,0,0,552.5516044,649.0264603
911045,0,0,27149.89507,0,0,0
1071379,1138.074849,1200.304467,538.9400001,831.0057478,1815.5267,1198.202696
1442551,63.32276219,439.1357808,1990.907765,3185.522033,631.4875479,2096.854718
40324,231.6051713,526.9629369,545.2804707,3624.1084,0,0
28031,402.4898857,1419.872358,881.325412,1223.425129,2447.014248,1547.678482
1325100,183.0288058,0,0,669.4212968,710.4234913,798.8017973
145971,812.7866873,1112.477311,640.3875296,623.2543108,1618.186841,1947.079381
238834,996.6829282,1302.769483,748.1755296,646.3378038,1854.994672,1048.427359
1296,603.7348286,2385.971076,1356.860706,1385.00958,3749.457315,2995.50674
197,1351.463883,0,519.9185884,0,0,0
48296,764.2103218,1024.650155,310.6830589,1015.673692,1026.167265,1397.903145
585,919.4812044,512.3250776,298.0021177,0,710.4234913,0
94643,319.2161163,585.5143744,285.3211765,831.0057478,1933.930615,1447.828258
907046,143.9942264,907.5472803,323.3640001,1500.427045,2170.738446,0
2306583,24.28818276,0,0,0,0,0
28197,1027.910592,541.6007963,209.2355295,854.0892408,473.6156609,1447.828258
316,230.7377362,614.7900931,805.2397649,2446.850257,0,1647.528707
27289,1230.02297,585.5143744,329.7044707,461.6698599,1539.250898,1597.603595
83637,166.5475389,0,0,969.5067058,631.4875479,1048.427359
1660078,130.9826999,9338.954271,2054.312471,2400.683271,5604.451987,5591.612581
1505,534.3400207,1771.180982,855.9635296,669.4212968,2447.014248,898.652022
5850,813.6541224,1346.683061,640.3875296,1892.846426,2012.866559,1148.277584
28116,818.858733,1566.250951,1039.837177,2192.931834,4420.412835,3944.083874
5507,934.2276011,1083.201593,519.9185884,346.2523949,1184.039152,1148.277584
1314,264.567705,1024.650155,564.3018825,554.0038319,1184.039152,3344.982526
986,1174.507123,775.8065461,640.3875296,1200.341636,0,0
1624,634.095057,424.4979214,247.278353,530.9203389,670.9555196,698.9515726
5476,1126.798193,600.1522337,412.1305883,669.4212968,1223.507124,698.9515726
35128,359.1181308,365.946484,1490.010589,2631.518201,947.2313218,2446.330504
2653203,320.9509864,5386.732244,3487.258824,0,0,0
1397703,124.9106542,219.5678904,507.2376472,0,0,0
28108,419.8385877,5562.386557,1845.076942,807.9222548,631.4875479,1048.427359
5141,1038.319813,1053.925874,678.4303531,577.0873249,1144.57118,1697.453819
40214,410.2968016,585.5143744,418.4710589,0,1499.782926,948.5771343
2704140,192.5705919,351.3086246,342.3854118,0,670.9555196,0
1307,575.9769054,1654.078108,874.9849414,831.0057478,2210.206417,1298.052921
253,680.9365523,1083.201593,786.2183531,1361.926087,1223.507124,2046.929606
1587,375.5993977,278.1193278,145.8308236,0,0,898.652022
1639,1529.288079,1127.115171,564.3018825,807.9222548,1894.462644,1747.378932
5858,1583.93649,0,0,0,0,0
1197460,124.9106542,0,0,623.2543108,710.4234913,1447.828258
4779,998.4177984,1185.666608,583.3232943,831.0057478,2091.802502,748.876685
644,786.7636343,0,247.278353,854.0892408,0,0
384,685.2737278,0,557.9614119,1915.929919,0,0
42374,1181.446604,878.2715616,450.1734119,554.0038319,1184.039152,549.1762356
208452,837.9423052,395.2222027,272.6402354,507.8368459,552.5516044,599.101348
69781,448.4639459,2034.662451,887.6658826,2423.766764,2486.48222,3394.907639
1931238,85.00863965,468.4114995,894.0063532,3670.275386,3039.033824,1248.127808
1423,717.3688265,0,608.6851766,0,0,0
1775881,37.29970924,2444.522513,3988.156001,992.5901987,0,0
1590,912.5417236,585.5143744,437.4924707,1454.260059,868.2953783,0
