,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,species,enriched
2903657,768.4864377,25.52212227,3.906802238,6.532739748,6.45773040754231e-11,1.05860515691797e-08,Streptomyces sp. NBC_00490,Healthy
2880934,465.0871043,24.88412102,3.906830275,6.369388806,1.89782949882648e-10,1.63728360935301e-08,Mesorhizobium sp. PAMC28654,Healthy
758802,374.4258516,24.7936577,3.906847459,6.346205722,2.20690081786478e-10,1.70306119718244e-08,Mycolicibacterium litorale,Healthy
904039,271.9837581,24.03644846,3.906880709,6.15233744,7.63492137874453e-10,2.0935133047171e-08,Arthrobacter sp. NEB 688,Healthy
458197,200.95724,23.92386564,3.906923588,6.123453685,9.15684810348231e-10,2.0935133047171e-08,Serratia nematodiphila,Healthy
3383314,311.4239641,23.83404921,3.906865312,6.100555639,1.05700379965796e-09,2.18130976122606e-08,Streptomyces sp. Inha503,Healthy
3095343,189.1763992,23.68444422,3.906933821,6.062156491,1.34308437797967e-09,2.38731651611068e-08,Sphingomonas sp. LY54,Healthy
2897332,157.5900871,23.58762771,3.906968809,6.037321734,1.56693112115003e-09,2.40921043645847e-08,Roseomonas cutis,Healthy
3082538,141.8822994,23.34496845,3.90699203,5.975176881,2.29840666372636e-09,2.48671116137257e-08,Prochlorococcus sp. MIT 1313,Healthy
2942908,114.070884,23.1330961,3.907048701,5.920861978,3.20258558334237e-09,2.89869326902179e-08,Candidatus Nitrosacidococcus sp. I8,Healthy
3066369,22836.49049,-30,3.906767546,-7.678982598,1.6035701449807e-14,3.57897620759855e-11,Coralliovum pocilloporae,Disease
3425945,2124.50796,-28.71253686,3.731915651,-7.693779694,1.42850938230114e-14,3.57897620759855e-11,Limimaricola sp. AA108-03,Disease
911045,7046.322183,-30,3.906773944,-7.678970022,1.60372756518332e-14,3.57897620759855e-11,Pseudovibrio sp. FO-BEG1,Disease
2420300,1775.013373,-28.46355538,3.712102983,-7.667770941,1.75011061496261e-14,3.57897620759855e-11,Acinetobacter sp. FDAARGOS_493,Disease
1898042,4387.71391,-29.70972767,3.906779553,-7.604659354,2.85655296399605e-14,4.67332064909753e-11,Pseudovibrio brasiliensis,Disease
3003349,1639.518316,-28.35669121,3.74448747,-7.572916569,3.64936694981959e-14,4.97530360825404e-11,Marinobacter sp. LM1,Disease
28213,1598.316418,-28.32173928,3.906805493,-7.249334354,4.18824826010664e-13,4.89426725252462e-10,Sphingomonas parapaucimobilis,Disease
3035452,1012.14936,-27.67924968,3.906829124,-7.08483755,1.3920750188483e-12,1.42339670677239e-09,Pseudoalteromonas apostichopi,Disease
3158171,497.3680359,-26.71416986,3.792860869,-7.043277038,1.877703620738e-12,1.70662395751521e-09,Marinobacter sp. RI1,Disease
1080068,508.036129,-26.57725371,3.806310234,-6.982419214,2.90139815148175e-12,2.37334368791208e-09,Leptolyngbya sp. O-77,Disease
