,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,species,enriched
2903657,768.4864377,24.35371728,4.407387852,5.525657849,3.28253294867845e-08,4.50853923071498e-07,Streptomyces sp. NBC_00490,Healthy tissue
2880934,465.0871043,24.29692088,4.407412707,5.512740124,3.53289695807956e-08,4.71446784706938e-07,Mesorhizobium sp. PAMC28654,Healthy tissue
758802,374.4258516,23.59402267,4.40742795,5.353240696,8.63928062174371e-08,1.12833812375638e-06,Mycolicibacterium litorale,Healthy tissue
904039,271.9837581,23.45248542,4.407457387,5.321091814,1.03146326135214e-07,1.34275315262481e-06,Arthrobacter sp. NEB 688,Healthy tissue
3383314,311.4239641,23.26523657,4.407443731,5.278623618,1.30157844860343e-07,1.6888774016025e-06,Streptomyces sp. Inha503,Healthy tissue
458197,200.95724,23.18920134,4.407495491,5.261310282,1.43032424697326e-07,1.85292004721536e-06,Serratia nematodiphila,Healthy tissue
3095343,189.1763992,22.9082746,4.407504498,5.197561254,2.01920015268971e-07,2.60310455871791e-06,Sphingomonas sp. LY54,Healthy tissue
2897332,157.5900871,22.62313687,4.407535522,5.132831434,2.85415512972666e-07,3.65588409875101e-06,Roseomonas cutis,Healthy tissue
3082538,141.8822994,22.28622174,4.407556088,5.056367132,4.27318339963526e-07,5.44728490880022e-06,Prochlorococcus sp. MIT 1313,Healthy tissue
2712223,130.1014587,22.26450277,4.40757477,5.051418056,4.38542067802656e-07,5.57255684882993e-06,Nocardioides anomalus,Healthy tissue
1392,1402.378748,-14.07710668,1.759319634,-8.001449199,1.22963318968823e-15,9.8124728537121e-12,Bacillus anthracis,Disease margin
587,1015.958003,-14.1250029,1.800864342,-7.843457484,4.38307567454426e-15,1.74884719414316e-11,Providencia rettgeri,Disease margin
3066369,22836.49049,-30,4.327957068,-6.931676892,4.15880988904734e-12,8.29746940120401e-09,Coralliovum pocilloporae,Disease margin
911045,7046.322183,-30,4.327963919,-6.93166592,4.15913253193184e-12,8.29746940120401e-09,Pseudovibrio sp. FO-BEG1,Disease margin
158,703.2807769,-13.80894157,2.04646585,-6.747701931,1.50205113436041e-11,2.39727361043921e-08,Treponema denticola,Disease margin
3003349,1639.518316,-28.75451946,4.328001618,-6.643832881,3.05629097920389e-11,3.79444014475814e-08,Marinobacter sp. LM1,Disease margin
28213,1598.316418,-28.70005446,4.327997694,-6.631254564,3.3284562673317e-11,3.79444014475814e-08,Sphingomonas parapaucimobilis,Disease margin
1184,567.4098288,-13.54935208,2.0688371,-6.549260005,5.78228833919133e-11,5.76783261834335e-08,Leptolyngbya boryana,Disease margin
3035452,1012.14936,-28.22563627,4.328022989,-6.521600358,6.95611539261246e-11,6.16775564811638e-08,Pseudoalteromonas apostichopi,Disease margin
2420300,1775.013373,-28.08887824,4.328029235,-6.489992722,8.58405208511635e-11,6.85007356392285e-08,Acinetobacter sp. FDAARGOS_493,Disease margin
