,122021_Coralina_2021_Baya_013_DLAB_S43,122021_Coralina_2021_Baya_015_DLAB_S44
2057741,82659.0219,42496.8219
5722,2789.722723,3323.16596
562,22410.25878,6279.848367
588596,5841.463603,6289.39221
573,5163.298963,3941.606954
1747,8107.150013,5142.222341
28901,6273.022919,1460.207903
1396,4022.749341,2092.010277
470,4331.005996,2431.77107
1280,3082.566545,2468.037671
492670,2527.704567,2071.013823
1428,4331.005996,2000.389389
2004662,2481.466069,1675.898744
287,4531.372821,1305.597655
3066369,0,70.62443453
1173583,0,22.90522201
1502,2404.401905,1813.330076
647221,493.2106472,4979.977018
9,2805.135556,1937.400028
1325120,16522.55668,8264.967608
158836,1895.778425,687.1566603
1351,2851.374054,1819.056381
5811,1541.283272,1603.365541
1491,1402.567778,1236.881988
208375,12237.78918,5701.491512
1936156,924.7699635,412.2939962
1219,2835.961221,1087.998045
1405,2404.401905,996.3771574
1795815,3884.033847,664.2514383
1404,1957.429756,1471.660514
1929291,508.6234799,118.343647
27350,1094.311123,1654.90229
192812,0,0
450367,847.7057998,1217.794303
1406,1063.485458,345.4870986
1282,3930.272345,1194.889081
44689,1618.347436,1217.794303
3344828,10419.07492,4701.296817
5825,693.5774726,933.3877969
1653831,1510.457607,1261.695979
587,1911.191258,1446.846524
1496,801.4673017,723.4232618
3021011,0,0
5827,631.9261417,545.9077912
546,2573.943065,2405.048311
40559,1433.393443,1267.422284
208348,739.8159708,1007.829768
5821,647.3389744,339.7607931
85471,1325.503614,1242.608294
587753,863.1186326,536.3639487
210,1787.888596,1412.488691
303,1448.806276,774.9600113
28198,493.2106472,433.2904497
3140245,8492.470831,3508.316504
3140244,7953.021686,4033.227842
3425945,0,0
3410088,7629.352199,3712.554734
1583098,0,40.08413852
1358,1279.265116,780.6863168
358,2481.466069,975.3807039
29448,5194.124628,3361.34133
41,0,0
1267423,14318.5216,6096.606591
1520,1495.044774,1233.064451
68213,0,0
2562892,893.944298,608.8971517
5860,601.1004763,782.5950853
1404443,7459.811039,3325.074728
1352,1602.934603,721.5144933
5861,601.1004763,377.9361631
2761107,0,0
1492,262.0181563,419.9290702
1117645,940.1827962,467.6482827
2058762,1433.393443,713.8794193
288000,8399.993835,9414.046246
911045,0,255.7749791
1071379,1186.78812,708.1531138
1442551,4115.226337,190.8768501
40324,1171.375287,708.1531138
28031,1248.439451,742.5109468
1325100,6026.417595,3050.212064
145971,863.1186326,341.6695616
238834,539.4491454,484.8271992
1296,493.2106472,635.6199107
197,0,662.3426698
48296,1078.898291,429.4729127
585,508.6234799,158.4277856
94643,940.1827962,503.9148842
907046,493.2106472,68.71566603
2306583,0,0
28197,554.8619781,395.1150797
316,1417.980611,355.0309411
27289,770.6416362,1000.194694
83637,5147.88613,2708.542503
1660078,0,0
1505,1602.934603,1263.604747
5850,385.3208181,341.6695616
28116,0,0
5507,1048.072625,1559.463865
1314,0,280.5889696
986,1464.219109,450.4693662
1624,1741.650098,175.6067021
5476,1125.136789,1210.159229
35128,601.1004763,824.5879923
2653203,0,0
1397703,878.5314653,1223.520609
28108,446.972149,347.3958671
5141,292.8438218,257.6837476
40214,2466.053236,2002.298157
2704140,277.430989,55.35428652
1307,493.2106472,908.5738064
253,508.6234799,612.7146887
1587,878.5314653,939.1141024
1639,446.972149,379.8449316
5858,1664.585934,843.6756773
1197460,5132.473297,2513.848115
4779,662.7518072,761.5986318
644,400.7336508,498.1885787
384,1171.375287,530.6376432
42374,1310.090782,669.9777438
208452,924.7699635,1128.082184
69781,524.0363126,423.7466072
1931238,1340.916447,41.99290702
1423,0,1399.127311
1775881,0,0
1590,431.5593163,217.5996091
615,1202.200953,244.3223681
34073,786.054469,370.3010891
5854,0,864.6721308
446,446.972149,469.5570512
913109,0,70.62443453
1159556,369.9079854,732.9671043
5127,708.9903053,458.1044402
1501,385.3208181,284.4065066
5855,708.9903053,410.3852277
64104,339.0823199,406.5676907
34085,400.7336508,782.5950853
36914,354.4951527,292.0415806
738,184.9539927,334.0344876
1303,277.430989,313.0380341
680,416.1464836,454.2869032
4896,739.8159708,257.6837476
2268451,2990.089549,160.3365541
2748629,4269.354665,2393.5957
158,0,272.9538956
1126,1094.311123,698.6092713
3003349,0,0
2704654,0,0
663,893.944298,349.3046356
3139728,5194.124628,2494.76043
