,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_023_MCAV_S31
2057741,319.2177485,148.5717185,11577.23991,7348.37286,6405.415961,11993.32991,6941.298729
5722,4830.268563,2648.925029,6710.982475,5334.533068,4556.698347,6509.748589,4822.936929
562,6233.146563,6877.783455,6551.954454,16667.73786,9764.3536,14687.01898,10605.13203
588596,9593.333389,5576.874993,13326.54814,10176.3181,11257.21477,14751.15444,11511.09808
573,5023.479305,7305.380108,10813.90541,14054.03089,3818.947186,10614.41765,6501.638733
1747,226.8126108,137.7006171,15584.74603,1178.310517,1067.569327,1314.776809,1398.91817
28901,3368.587293,2960.563268,4802.646226,3727.745999,3619.320401,10838.89174,2597.990887
1396,3965.020455,3167.114194,7283.48335,5120.294792,3818.947186,8690.354028,4223.40057
470,2805.756,2214.080975,5025.285455,5248.837757,5146.899275,5483.581324,3370.726638
1280,3444.191497,2373.523795,5375.147101,5870.128757,4192.162479,8016.93176,3797.063604
492670,7115.195605,4011.436399,7283.48335,10733.33762,7160.525973,5355.310416,6088.624797
1428,2394.133114,1478.469784,3466.810852,3770.593654,3957.817992,4136.736788,3104.266034
2004662,352.8196168,206.5509257,1145.001749,1349.701138,225.665061,0,226.4915132
287,2217.723305,1583.557097,7728.761808,5655.890481,1041.531051,8016.93176,959.2581737
3066369,92.40513773,4939.103714,0,0,112.8325305,0,133.2303019
1173583,352.8196168,159.4428198,0,257.085931,156.2296576,416.8804515,239.8145434
1502,4267.43727,2482.234809,3435.005248,3856.288965,2725.339583,4713.955875,3597.218151
647221,361.2200838,199.3035248,1017.779333,407.052724,0,833.760903,279.783634
9,2923.362539,1714.010313,3371.39404,2870.792896,2890.248666,3751.924064,2518.052706
1325120,0,134.0769167,4293.75656,1049.767551,546.8038016,1795.792714,559.567268
158836,2091.716299,2340.910491,5184.313476,6362.876792,2187.215206,3655.720883,1758.639985
1351,2864.559269,1971.293045,4166.534143,3363.54093,1458.143471,4200.872242,3650.510272
5811,7300.00588,3330.180714,10877.51662,4370.460827,4131.406501,1603.386352,4383.276933
1491,2419.334515,1532.825291,2798.893165,2056.687448,2395.521416,3527.449974,2851.128461
208375,0,0,2671.670748,1413.97262,564.1626524,2308.876347,786.0587812
1936156,680.4378323,721.1163896,540.6952705,1435.396448,859.2631168,1250.641355,639.5054491
1219,1486.882671,862.4407072,2449.031519,2249.501896,2048.3444,2308.876347,1825.255136
1405,3175.376551,1565.438595,3307.782831,3920.560447,2039.664974,2148.537712,2131.68483
