,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,enriched,species
3021011,10945.49193,-18.8402418,1.015391171,-18.5546638,7.47737270841916e-77,4.30771441732028e-73,Disease_margin,Vibrio sp. SCSIO 43137
3003349,2219.084475,-16.48656372,1.014998438,-16.24294492,2.50599427338004e-59,7.2185165044712e-56,Disease_margin,Marinobacter sp. LM1
2743,2105.49087,-16.46213645,1.019212494,-16.15181971,1.10260353084855e-58,2.11736631373951e-55,Disease_margin,Marinobacter nauticus
2829569,1506.975699,-15.97963421,1.048488606,-15.24063696,1.90008908249684e-52,2.73660330106607e-49,Disease_margin,Bacterioplanoides sp. SCSIO 12839
2961520,1219.863307,-15.67469563,1.077036226,-14.55354542,5.5452932397036e-48,6.38928687078649e-45,Disease_margin,Arcobacter roscoffensis
192812,1482.104278,-15.09447189,1.048979841,-14.38966824,6.00834359884598e-47,5.76901124549195e-44,Disease_margin,Qipengyuania flava
2057741,5521.706954,4.909128432,0.346980751,14.14812902,1.91792381104698e-45,1.57845129649167e-42,Healthy,Bradyrhizobium sp. SK17
3425945,1004.924581,-14.93332132,1.111463778,-13.43572468,3.7339495055747e-41,2.68891038770198e-38,Disease_margin,Limimaricola sp. AA108-03
1775881,1005.444595,-14.70595827,1.111401143,-13.23190853,5.74107926861768e-40,3.67492862961183e-37,Disease_margin,Sulfitobacter faviae
3369658,873.968176,-15.19362325,1.151842555,-13.19071187,9.92436331873562e-40,5.71742570792359e-37,Disease_margin,Marinobacter sp. W-8
3158171,859.1510391,-15.16895387,1.15717908,-13.10856213,2.94121830042002e-39,1.54039623897452e-36,Disease_margin,Marinobacter sp. RI1
2320140,727.9829415,-14.92994159,1.220911646,-12.22851927,2.18892417929736e-34,1.05086601641101e-31,Disease_margin,Arcobacter peruensis
1850254,708.4006538,-14.77724904,1.22581707,-12.0550198,1.82488643648389e-33,8.08705443121824e-31,Disease_margin,Poseidonibacter parvus
2653203,749.9400671,-14.237852,1.201065357,-11.8543524,2.04297546037892e-32,8.40684401945926e-30,Disease_margin,Sphingomonas sp. CL5.1
1462615,1986.105993,-4.577208164,0.428232939,-10.68859432,1.15102205141027e-26,4.42069202544971e-24,Disease_margin,Halarcobacter ebronensis
435912,487.7509999,-14.35215443,1.51465919,-9.475500843,2.65484027203252e-21,9.5590842544871e-19,Disease_margin,Vibrio porteresiae
2921563,402.2488326,-14.07406916,1.774247675,-7.932415162,2.14924537539161e-15,7.28341329860651e-13,Disease_margin,Bacillus sp. FSL K6-0998
505249,340.5512459,-13.83380832,2.118259847,-6.530741892,6.54446974212745e-11,2.09459389913312e-08,Disease_margin,Malaciobacter marinus
603050,818.6779844,-3.632720567,0.593068394,-6.125297866,9.05141140812825e-10,2.74448321695931e-07,Disease_margin,Malaciobacter mytili
1904463,1457.675841,-3.956629124,0.651965906,-6.068766924,1.28896047455544e-09,3.71285064695696e-07,Disease_margin,Poseidonibacter lekithochrous
