,122021_Coralina_2021_Baya_025_MMEA_S22,122021_Coralina_2021_Baya_029_MMEA_S23,122021_Coralina_2021_Baya_031_MMEA_S45
2057741,24385.22674,38675.84399,66764.12472
5722,4188.873305,5806.058903,2923.741747
562,13651.2389,14187.38587,17124.77309
588596,9686.769518,16153.95421,10666.83802
573,8209.443665,12220.81753,3261.096564
1747,1402.524544,3324.436953,12000.19277
28901,5161.290323,40595.58927,2473.935324
1396,11201.49603,16528.53865,3100.451413
470,5142.589995,7913.096409,4835.419043
1280,5292.192613,10488.36447,4321.35456
492670,3927.068724,0,3662.709441
1428,3347.358579,9036.849745,9702.967116
2004662,2019.635344,1685.630004,1204.838632
287,3833.567087,0,3357.483654
3066369,0,0,0
1173583,243.1042543,0,0
1502,7779.336138,7959.919464,6200.902826
647221,7985.039738,5103.713068,10184.90257
9,3366.058906,4869.59779,2554.2579
1325120,1271.622253,8474.973077,13927.93459
158836,2206.638616,0,0
1351,4095.371669,6976.635295,3421.741715
5811,710.6124357,1919.745283,578.3225433
1491,3197.755961,4916.420846,2329.354688
208375,748.0130902,5384.651402,9172.838118
1936156,7854.137447,5384.651402,11630.70893
1219,2113.13698,2528.445006,1638.580539
1405,2262.739598,5384.651402,1991.999871
1795815,0,2200.683617,1188.774117
1404,1159.42029,3652.198342,1060.257996
1929291,0,0,0
27350,1664.329126,2622.091118,1156.645087
192812,0,0,0
450367,13969.14446,5946.52807,13413.8701
1406,2131.837307,4026.782788,1156.645087
1282,1234.221599,2715.737229,1783.161175
44689,1683.029453,2668.914173,1991.999871
3344828,935.0163628,5197.35918,7823.41885
5825,6601.215521,2622.091118,6955.935035
1653831,1888.733053,4026.782788,1622.516024
587,3235.156615,4026.782788,0
1496,935.0163628,1732.45306,867.483815
3021011,0,0,0
5827,2505.843852,3464.90612,1381.548298
546,0,3137.14473,2056.257932
40559,1813.931744,2903.029452,979.9354206
208348,1365.12389,1264.222503,1028.128966
5821,991.1173446,1685.630004,1092.387026
85471,2169.237962,2668.914173,1124.516056
587753,4731.182796,8990.026689,2377.548234
210,1570.827489,2387.975839,1301.225723
303,1252.921926,0,1558.257964
28198,12417.0173,2107.037505,13076.51529
3140245,748.0130902,4120.428899,6666.773763
3140244,542.3094904,4214.075011,6586.451188
3425945,0,0,0
3410088,860.2150538,3745.844454,5735.031888
1583098,355.3062179,0,224.9032113
1358,1645.628799,4214.075011,3068.322383
358,0,0,1622.516024
29448,748.0130902,4260.898066,4562.322286
41,0,0,0
1267423,1888.733053,1311.045559,1654.645055
1520,1683.029453,2622.091118,1477.935389
68213,1683.029453,6133.820293,1686.774085
2562892,1140.719963,2341.152784,979.9354206
5860,972.4170173,1076.93028,1220.903147
1404443,691.9121085,3371.260008,5943.870584
1352,3291.257597,0,0
5861,1234.221599,3043.498619,722.9031792
2761107,0,0,0
1492,448.8078541,0,385.5483622
1117645,1159.42029,2575.268062,1092.387026
2058762,1122.019635,1451.514726,738.9676943
288000,0,936.4611135,5574.386737
911045,0,0,0
1071379,860.2150538,1872.922227,915.6773603
1442551,1870.032726,2575.268062,0
40324,1757.830762,2622.091118,3534.19332
28031,2150.537634,2856.206396,1461.870873
1325100,561.0098177,2949.852507,5269.16095
145971,1122.019635,1357.868615,803.2257546
238834,1178.120617,2013.391394,1108.451541
1296,766.7134175,2013.391394,835.3547848
197,1795.231417,1826.099171,1461.870873
48296,2879.850397,3043.498619,2730.967566
585,2505.843852,2996.675563,5847.483494
94643,710.6124357,1638.806949,514.064483
907046,0,0,0
2306583,0,0,0
28197,448.8078541,0,0
316,2861.15007,4635.482512,1831.354721
27289,504.9088359,1076.93028,417.6773924
83637,748.0130902,2668.914173,4192.838439
1660078,0,0,0
1505,355.3062179,702.3458351,321.2903019
5850,1327.723235,1357.868615,1333.354753
28116,617.1107994,1919.745283,578.3225433
5507,878.915381,1357.868615,594.3870584
1314,0,1123.753336,497.9999679
986,654.511454,4869.59779,1702.8386
1624,467.5081814,842.8150021,176.709666
5476,1009.817672,1966.568338,931.7418754
35128,766.7134175,936.4611135,674.7096339
2653203,0,0,0
1397703,467.5081814,561.8766681,353.419332
28108,542.3094904,655.5227794,578.3225433
5141,579.7101449,0,449.8064226
40214,1757.830762,2387.975839,1493.999904
2704140,0,0,0
1307,1290.322581,2528.445006,867.483815
253,411.4071996,0,755.0322094
1587,0,0,0
1639,822.8143993,1311.045559,835.3547848
5858,0,0,1590.386994
1197460,523.6091632,2903.029452,3983.999743
4779,1028.517999,1030.107225,851.4192999
644,0,0,0
384,691.9121085,0,514.064483
42374,299.2052361,468.2305567,610.4515735
208452,1140.719963,1638.806949,674.7096339
69781,1346.423562,2668.914173,1204.838632
1931238,0,0,224.9032113
1423,2318.84058,0,0
1775881,0,0,0
1590,1608.228144,795.9919464,1783.161175
615,841.5147265,0,771.0967244
34073,579.7101449,0,690.774149
5854,1402.524544,2949.852507,706.8386641
446,1159.42029,1638.806949,642.5806037
913109,0,0,273.0967566
1159556,935.0163628,1919.745283,514.064483
5127,336.6058906,0,305.2257868
1501,635.8111267,1264.222503,337.3548169
5855,860.2150538,2247.506672,738.9676943
64104,579.7101449,842.8150021,995.9999357
34085,654.511454,1872.922227,690.774149
36914,542.3094904,889.6380578,803.2257546
738,542.3094904,889.6380578,465.8709377
1303,523.6091632,2107.037505,578.3225433
680,822.8143993,1404.69167,0
4896,860.2150538,1076.93028,353.419332
2268451,935.0163628,889.6380578,0
2748629,336.6058906,2060.21445,3485.999775
158,598.4104722,2013.391394,979.9354206
1126,523.6091632,936.4611135,626.5160886
3003349,0,0,0
2704654,0,0,0
663,729.312763,3558.552231,1204.838632
3139728,0,2856.206396,2891.612717
121627,785.4137447,1170.576392,417.6773924
1578925,542.3094904,1123.753336,369.4838471
1069201,841.5147265,2575.268062,530.1289981
45286,0,0,0
36845,1720.430108,1966.568338,3116.515928
670,654.511454,1966.568338,755.0322094
1922217,617.1107994,1217.399447,546.1935131
148305,598.4104722,1076.93028,530.1289981
263511,0,468.2305567,192.7741811
1303590,5610.098177,2856.206396,10056.38645
1898042,0,0,0
36050,411.4071996,1545.160837,867.483815
5454,1028.517999,1404.69167,465.8709377
5147,710.6124357,1872.922227,642.5806037
76857,916.3160355,702.3458351,1333.354753
280754,804.114072,1123.753336,1188.774117
459526,411.4071996,0,594.3870584
1404429,841.5147265,1966.568338,3694.838471
83641,448.8078541,1591.983893,2811.290141
2916754,224.4039271,561.8766681,0
29388,467.5081814,1076.93028,385.5483622
5833,374.0065451,842.8150021,289.1612717
669,2431.042543,0,963.8709056
1892,0,0,0
196024,3253.856942,1591.983893,5317.354496
2321133,392.7068724,749.1688908,224.9032113
2099387,1084.618981,1498.337782,931.7418754
317,953.71669,1357.868615,995.9999357
880535,654.511454,889.6380578,417.6773924
5691,654.511454,983.2841691,1028.128966
1503041,0,0,0
1355477,0,0,819.2902697
1462615,486.2085086,0,369.4838471
550,5086.489014,2996.675563,5494.064162
2743,0,0,0
5807,261.8045816,1357.868615,706.8386641
5824,0,0,0
101201,392.7068724,889.6380578,321.2903019
463800,0,655.5227794,385.5483622
996,448.8078541,0,0
2721244,0,0,0
107401,654.511454,1076.93028,224.9032113
1290,785.4137447,608.6997237,465.8709377
2697010,0,0,0
500148,448.8078541,0,224.9032113
817,3104.254324,2481.621951,2875.548202
36745,3029.453015,1076.93028,3518.128805
4952,748.0130902,655.5227794,1044.193481
4975,804.114072,889.6380578,433.7419075
584,2805.049088,1498.337782,803.2257546
367791,411.4071996,0,337.3548169
28132,523.6091632,0,979.9354206
36839,430.1075269,1311.045559,273.0967566
2066072,430.1075269,0,0
181124,822.8143993,1591.983893,755.0322094
165179,1514.726508,2575.268062,273.0967566
132608,280.5049088,0,289.1612717
188913,691.9121085,1311.045559,353.419332
38293,448.8078541,0,433.7419075
101028,467.5081814,1919.745283,755.0322094
3240067,0,0,0
181762,579.7101449,1076.93028,433.7419075
2034170,691.9121085,702.3458351,208.8386962
34406,785.4137447,1123.753336,417.6773924
43675,0,1217.399447,2088.386962
43658,3964.469378,1732.45306,3775.161047
1206,0,1030.107225,160.6451509
195108,0,0,0
42260,430.1075269,702.3458351,578.3225433
2764711,0,1030.107225,481.9354528
76859,1215.521272,0,690.774149
3133280,3459.560542,5103.713068,2618.51596
796027,336.6058906,749.1688908,0
453459,411.4071996,1030.107225,208.8386962
63577,355.3062179,702.3458351,481.9354528
715475,0,0,0
1220207,317.9055633,889.6380578,401.6128773
1598,355.3062179,702.3458351,224.9032113
1437360,280.5049088,936.4611135,722.9031792
1421,822.8143993,1545.160837,530.1289981
346,4712.482468,0,0
318829,598.4104722,795.9919464,546.1935131
851,1626.928471,1966.568338,755.0322094
45151,374.0065451,468.2305567,208.8386962
48095,448.8078541,0,208.8386962
1160,1252.921926,0,803.2257546
1006,486.2085086,0,401.6128773
244734,635.8111267,1732.45306,1638.580539
1419277,0,1591.983893,2377.548234
199306,336.6058906,655.5227794,240.9677264
959,542.3094904,608.6997237,0
696485,1028.517999,0,674.7096339
3101277,467.5081814,1030.107225,289.1612717
779,617.1107994,889.6380578,257.0322415
36035,523.6091632,561.8766681,385.5483622
113608,355.3062179,1030.107225,305.2257868
2745196,0,795.9919464,0
1328300,523.6091632,0,883.5483301
2663009,280.5049088,0,2682.77402
1573823,785.4137447,1170.576392,449.8064226
314275,2038.335671,3277.613897,369.4838471
666563,561.0098177,702.3458351,449.8064226
28450,1140.719963,0,851.4192999
33038,0,936.4611135,337.3548169
4924,392.7068724,0,449.8064226
79883,0,0,385.5483622
28985,0,0,0
2583452,2992.052361,1123.753336,3823.354592
324769,673.2117812,1545.160837,401.6128773
2748319,878.915381,1591.983893,514.064483
1904463,878.915381,1170.576392,481.9354528
1288,243.1042543,1638.806949,0
273371,187.0032726,1217.399447,176.709666
78579,224.4039271,0,160.6451509
1784714,0,0,176.709666
197653,1196.820944,1919.745283,867.483815
293387,0,0,0
582,1103.319308,0,449.8064226
1004,673.2117812,0,658.6451188
37727,1346.423562,655.5227794,546.1935131
1714849,0,0,192.7741811
136468,1140.719963,0,0
1283,561.0098177,749.1688908,305.2257868
1460447,598.4104722,1357.868615,337.3548169
2546360,0,0,0
818,430.1075269,795.9919464,497.9999679
729,0,561.8766681,722.9031792
1478,467.5081814,1591.983893,433.7419075
258,0,0,273.0967566
1080349,635.8111267,561.8766681,289.1612717
630,0,0,610.4515735
456999,635.8111267,1264.222503,530.1289981
1775926,0,0,0
1685958,299.2052361,1685.630004,2361.483719
155978,299.2052361,608.6997237,208.8386962
83655,1065.918654,0,497.9999679
40410,822.8143993,1123.753336,947.8063905
76335,0,0,0
548,355.3062179,0,353.419332
172371,0,0,0
324770,0,0,0
1517,0,0,0
2060973,336.6058906,889.6380578,433.7419075
1588,2636.746143,842.8150021,2827.354656
333140,0,0,0
1507512,336.6058906,468.2305567,0
2778902,0,0,0
246432,448.8078541,1030.107225,305.2257868
1335,336.6058906,0,224.9032113
3239899,0,0,0
2845819,0,1826.099171,0
5868,0,0,160.6451509
4909,261.8045816,608.6997237,337.3548169
1392,0,0,0
727,1439.925199,1685.630004,819.2902697
1714848,0,0,0
1076,224.4039271,749.1688908,610.4515735
52584,187.0032726,0,0
29176,374.0065451,889.6380578,321.2903019
104268,2057.035998,1451.514726,3389.612685
756892,504.9088359,702.3458351,0
930124,299.2052361,1264.222503,289.1612717
5665,504.9088359,608.6997237,385.5483622
1561,355.3062179,0,465.8709377
1912,0,0,0
169679,392.7068724,1030.107225,0
36651,280.5049088,0,0
113287,0,0,0
1509,0,0,0
2608089,448.8078541,936.4611135,417.6773924
5007,374.0065451,889.6380578,514.064483
