taxonomy_id,name,taxonomy_lvl
588596,Rhizophagus irregularis,S
311410,Roseibium album,S
5722,Trichomonas vaginalis,S
562,Escherichia coli,S
106654,Acinetobacter nosocomialis,S
28213,Sphingomonas parapaucimobilis,S
1280,Staphylococcus aureus,S
1396,Bacillus cereus,S
28901,Salmonella enterica,S
3035452,Pseudoalteromonas apostichopi,S
2029677,Tenacibaculum insulae,S
470,Acinetobacter baumannii,S
1428,Bacillus thuringiensis,S
1502,Clostridium perfringens,S
9,Buchnera aphidicola,S
432096,Kazachstania africana,S
367791,Flammeovirga yaeyamensis,S
169679,Clostridium saccharobutylicum,S
1491,Clostridium botulinum,S
4896,Schizosaccharomyces pombe,S
85471,Plasmodium relictum,S
1509,Clostridium sporogenes,S
3067780,Pseudomonas sp. Hg5Tf,S
2813371,Terrisporobacter hibernicus,S
29430,Acinetobacter haemolyticus,S
492670,Bacillus velezensis,S
1404,Priestia megaterium,S
1561,Clostridium baratii,S
158,Treponema denticola,S
2969821,Fundicoccus culcitae,S
1352,Enterococcus faecium,S
44689,Dictyostelium discoideum,S
210,Helicobacter pylori,S
5858,Plasmodium malariae,S
587,Providencia rettgeri,S
5855,Plasmodium vivax,S
1639,Listeria monocytogenes,S
1405,Bacillus mycoides,S
208348,Puccinia triticina,S
40559,Botrytis cinerea,S
1653831,Blattabacterium cuenoti,S
573,Klebsiella pneumoniae,S
2963431,Janibacter sp. CX7,S
197,Campylobacter jejuni,S
287,Pseudomonas aeruginosa,S
2664091,Streptococcus zhangguiae,S
43948,Tolumonas auensis,S
1117645,Elizabethkingia anophelis,S
27350,Puccinia striiformis,S
1351,Enterococcus faecalis,S
395922,Coraliomargarita akajimensis,S
4975,Kwoniella dendrophila,S
1547283,Bacillus weihaiensis,S
2683272,Spartinivicinus ruber,S
84595,Gordonia polyisoprenivorans,S
1550240,Thermoanaerobacterium sp. RBIITD,S
1520,Clostridium beijerinckii,S
27289,Naumovozyma dairenensis,S
5825,Plasmodium chabaudi,S
1785996,Leptotrichia sp. oral taxon 847,S
712357,Leptotrichia sp. oral taxon 212,S
42374,Candida dubliniensis,S
986,Flavobacterium johnsoniae,S
5833,Plasmodium falciparum,S
2067992,Methylibium sp.,S
371601,Bacteroides xylanisolvens,S
413402,Vibrio inusitatus,S
1071379,Henningerozyma blattae,S
2749052,Gardnerella sp. DNF00571G,S
446,Legionella pneumophila,S
2057741,Bradyrhizobium sp. SK17,S
5476,Candida albicans,S
113608,Tetrapisispora phaffii,S
571,Klebsiella oxytoca,S
1406,Paenibacillus polymyxa,S
28198,Aliarcobacter cryaerophilus,S
1397,Niallia circulans,S
1496,Clostridioides difficile,S
5141,Neurospora crassa,S
158836,Enterobacter hormaechei,S
28197,Aliarcobacter butzleri,S
267363,Levilactobacillus zymae,S
2516557,Aquirufa nivalisilvae,S
4779,Bremia lactucae,S
238834,Clostridium estertheticum,S
63577,Trichoderma atroviride,S
5860,Plasmodium vinckei,S
160453,Enterococcus gilvus,S
1311,Streptococcus agalactiae,S
1501,Clostridium pasteurianum,S
1492,Clostridium butyricum,S
1184,Leptolyngbya boryana,S
29324,Caldicellulosiruptor naganoensis,S
546,Citrobacter freundii,S
2758573,Flaviflexus equikiangi,S
5507,Fusarium oxysporum,S
2802991,Leishmania sp. Namibia,S
1005962,Ogataea parapolymorpha,S
585,Proteus vulgaris,S
70799,Nodularia spumigena,S
5807,Cryptosporidium parvum,S
2854389,Bradyrhizobium prioriisuperbiae,S
1590,Lactiplantibacillus plantarum,S
1219,Prochlorococcus marinus,S
1583098,Fusobacterium hwasookii,S
5824,Plasmodium brasilianum,S
2906078,Flavobacterium oreochromis,S
5127,Fusarium fujikuroi,S
181762,Psilocybe cubensis,S
3118173,Streptomyces citrinus,S
5811,Toxoplasma gondii,S
44674,Sulfurospirillum barnesii,S
36651,Penicillium digitatum,S
500148,Metarhizium brunneum,S
273371,Candida orthopsilosis,S
208452,Plasmodium coatneyi,S
5821,Plasmodium berghei,S
1795815,Streptomyces sp. enrichment culture,S
28116,Bacteroides ovatus,S
101201,Trichoderma asperellum,S
5827,Plasmodium cynomolgi,S
851,Fusobacterium nucleatum,S
29347,[Clostridium] scindens,S
5850,Plasmodium knowlesi,S
145971,Colletotrichum lupini,S
29555,Mycoplasmopsis canis,S
823,Parabacteroides distasonis,S
3136677,Heyndrickxia sp. MSNUG,S
75612,Pseudomonas mandelii,S
199,Campylobacter concisus,S
2682810,Iocasia fonsfrigidae,S
644,Aeromonas hydrophila,S
755731,Clostridium sp. BNL1100,S
5861,Plasmodium yoelii,S
1069201,Aspergillus luchuensis,S
188913,Cetobacterium somerae,S
48296,Acinetobacter pittii,S
478,Moraxella nonliquefaciens,S
1451,Paenibacillus amylolyticus,S
4924,Scheffersomyces stipitis,S
3415140,Maribacter sp. IgM3_T14_3,S
2751,Carnobacterium maltaromaticum,S
29348,Thomasclavelia spiroformis,S
5691,Trypanosoma brucei,S
29176,Neospora caninum,S
592064,Bradyrhizobium sp. LMG 9283,S
450367,Peribacillus frigoritolerans,S
36839,Clostridium felsineum,S
2758440,Changpingibacter yushuensis,S
459526,Flavobacterium anhuiense,S
680,Vibrio campbellii,S
856,Fusobacterium varium,S
1915309,Silvanigrella aquatica,S
