,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26,122021_Coralina_2021_Baya_013_DLAB_S43,122021_Coralina_2021_Baya_015_DLAB_S44,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36,122021_Coralina_2021_Baya_023_MCAV_S31,122021_Coralina_2021_Baya_025_MMEA_S22,122021_Coralina_2021_Baya_027_PSTR4_S34,122021_Coralina_2021_Baya_029_MMEA_S23,122021_Coralina_2021_Baya_031_MMEA_S45,122021_Coralina_2021_Baya_033_PSTR7_S35,122021_Coralina_2021_Baya_035_PSTR_S32,122021_Coralina_2021_Baya_037_PSTR_S33,Sum
3379134,495623.7146156317,501943.87202311395,653726.6466117796,560194.2667959834,543713.6023294509,579623.9690577936,618825.7583080403,540152.1650787917,621984.8030329767,588636.7903022502,488317.6166736741,521855.7399254995,505655.39415513584,527989.2934607043,469860.64154366293,637834.8943585276,582929.6712895258,513459.659341291,616044.1114480358,497445.9801630475,485810.9756744428,558066.3384714712,501242.6169922762,570016.6333196731,598601.4965621097,501260.28806584363,533645.501150446,528627.4652566051,15343089.906007785
1783272,343117.34320872935,336640.39429797535,250399.11864048976,334366.40876242425,340999.3760399335,353457.9335026436,347362.1126297678,308337.47234388406,294902.43889396876,331683.9649207499,346827.63729553326,352712.4957670166,342696.79049204796,323411.32493423787,308375.2508177345,273088.6517098671,297296.415698512,345371.9847489127,320300.9205749174,354355.00631796697,356534.377221179,317031.17854356655,355202.18082689686,306077.18824578746,292028.063457969,351594.6502057613,328677.7270953592,336485.3427013843,9149333.749895217
4751,115103.82147761979,117446.6940012605,67272.93118007177,68853.8696574808,77854.61730449251,44157.52948988954,18201.326193283974,102519.52860432565,56440.53023618931,52002.03824389198,121528.82054978277,88222.14696918389,99974.16317391055,106926.9463288569,190758.9126192243,58222.60945327815,83765.99018163433,100856.43668691203,43730.708040412836,103687.8387674354,107444.06607046243,81941.19387727653,100624.71603816448,86589.68734180267,72936.97395608373,103729.42386831276,97713.90896002369,95397.58093140511,2463905.010202669
3366610,14714.875270742088,13759.356433189578,8919.147139539793,13680.349446879261,14392.678868552413,9773.357462576862,8072.428325632649,12067.09712376394,8486.13183181738,9708.477485450694,13173.964402266402,12651.540805960041,15997.301487052879,11698.740135677695,9730.353756081471,9322.587671531257,13121.961208575938,13335.121568026363,6972.301165336343,14924.062428343523,13579.028887262235,11675.140559007883,17578.37346660609,11016.561000891932,10389.549747265448,15123.456790123457,13993.729732639029,14598.141558287904,342455.8157590805
3384189,10932.172700998244,8936.854255628023,6029.660122440363,5396.299888427854,6026.414309484194,3259.475543795084,1840.189842828697,8274.258364564048,4432.8943217243905,4036.259286078258,10070.674915410335,7748.052827632915,17490.09588333238,8699.06317781162,5524.861878453038,7122.631235025049,6413.288318899357,9388.232138409365,2019.2817611944356,10145.337633128589,16846.482713259713,8527.694832270734,6288.050885960927,8099.7034929971305,8988.711579094826,8551.954732510287,8127.127652417283,7590.3055234489475,216806.02981722608
2731360,5413.987714970927,3795.6845332936773,2477.174371965379,3945.132756269553,4279.326123128119,2364.7672491141625,1267.4715332418273,6050.480877771255,2711.0704717904296,3003.7278408024245,4104.350611648347,3183.2035218421943,3660.2170293391514,4661.036503761134,3930.6231274566394,3975.168808538445,4254.987559416697,3142.1838177533386,3045.919963013829,4256.699728254241,4010.056968269628,4492.508003120544,4173.103134938665,3664.151580165369,2428.119491495745,5369.084362139917,3727.176092250972,3840.658190522129,105228.07196627473
3384194,4880.1902198049975,5204.903231288904,3562.381253958202,3587.8101960898703,3899.7504159733776,3140.3500767979076,2733.0987685348077,5858.58129769269,3823.3045114993233,4103.306782524741,3924.1596091857364,4280.392820860142,4313.314577711431,5653.237343670681,4507.847502817404,3191.0259202788066,3569.9853032584724,4368.401892974154,5932.065106539209,4315.244595576935,4147.968980405886,3550.964409652167,4447.978191731031,4218.59556926934,3513.769071827977,4308.127572016461,3989.5585247379545,3922.5679623579094,116948.8817090365
1783275,4518.061999084431,5580.222784021301,3615.15727253536,6592.23662045781,4944.883527454243,2303.9372234134767,1027.0265045334158,9583.69079333544,4325.94874098315,4022.8497867889614,5525.857408853385,5350.491026075178,5397.025894241259,5814.758410632701,2968.582501855364,5075.147026791548,5827.955703187436,5000.670588009886,615.303028242749,6076.4693542013265,6068.128533995311,9469.238425739111,5477.055883689231,5881.92753658125,7844.693741755484,6063.528806584362,6223.173078216876,5915.705743695223,147109.72794495526
2732005,2651.051879992074,3590.321004440101,2163.8167616635,1735.566720872742,2007.0715474209649,1206.4621763969362,404.769269433758,6129.498351921253,2422.3174037890817,1944.3773969479978,3443.6502692854424,2952.9292245174397,2540.6212321295284,4291.845493562232,3490.8331271817706,1121.7599651492048,1466.0498022010681,3123.0241603280133,526.9169578874369,2346.673431851335,2938.586720134093,4331.100529954537,3602.90776919582,2989.1762890822747,2089.5836008545116,2282.6646090534978,2334.5308736662228,1929.430181020596,72057.53674993342
2732397,1153.0025895584085,693.9870975051872,514.5661811272957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961.0186798005886,0.0,186.59929953493713,0.0,0.0,500.98017861032463,474.78992358056837,0.0,0.0,709.8565162876699,1166.9477949990983,0.0,63.60745115856429,0.0,0.0,0.0,0.0,0.0,6425.355712162643
