taxonomy_id,072023_Carolina_2023_Baya_052_DCYL_S9_K_filt.bracken_num,072023_Carolina_2023_Baya_053_MCAV_S3_K_filt.bracken_num,072023_Carolina_2023_Baya_055_MCAV_S4_K_filt.bracken_num,072023_Carolina_2023_Baya_057_SSID_S7_K_filt.bracken_num,072023_Carolina_2023_Baya_059_SSID_S8_K_filt.bracken_num,072023_Carolina_2023_Baya_061_SSID_S5_K_filt.bracken_num,072023_Carolina_2023_Baya_063_SSID_S6_K_filt.bracken_num,072023_Carolina_2023_Baya_065_DCYL_S1_K_filt.bracken_num,072023_Carolina_2023_Baya_066_DCYL_S2_K_filt.bracken_num,122021_Coralina_2021_Baya_001_DCYL_S24_K_filt.bracken_num,122021_Coralina_2021_Baya_003_MCAV_S27_K_filt.bracken_num,122021_Coralina_2021_Baya_005_MCAV_S28_K_filt.bracken_num,122021_Coralina_2021_Baya_007_MCAV_S29_K_filt.bracken_num,122021_Coralina_2021_Baya_009_DCYL_S25_K_filt.bracken_num,122021_Coralina_2021_Baya_010_DCYL_S26_K_filt.bracken_num,122021_Coralina_2021_Baya_013_DLAB_S43_K_filt.bracken_num,122021_Coralina_2021_Baya_015_DLAB_S44_K_filt.bracken_num,122021_Coralina_2021_Baya_017_MCAV_S30_K_filt.bracken_num,122021_Coralina_2021_Baya_019_SSID1_S46_K_filt.bracken_num,122021_Coralina_2021_Baya_021_SSID2_S36_K_filt.bracken_num,122021_Coralina_2021_Baya_023_MCAV_S31_K_filt.bracken_num,122021_Coralina_2021_Baya_025_MMEA_S22_K_filt.bracken_num,122021_Coralina_2021_Baya_027_PSTR4_S34_K_filt.bracken_num,122021_Coralina_2021_Baya_029_MMEA_S23_K_filt.bracken_num,122021_Coralina_2021_Baya_031_MMEA_S45_K_filt.bracken_num,122021_Coralina_2021_Baya_033_PSTR7_S35_K_filt.bracken_num,122021_Coralina_2021_Baya_035_PSTR_S32_K_filt.bracken_num,122021_Coralina_2021_Baya_037_PSTR_S33_K_filt.bracken_num
3379134,580304,70881,198189,76820,104567,228686,512160,47851,116318,43897,24390,38526,70456,22882,17094,58566,321674,26799,181218,203924,45794,41490,220647,23646,51278,77956,79320,58084
1783272,401741,47538,75913,45852,65581,139454,287488,27315,55150,24735,17323,26039,47750,14016,11219,25075,164055,18026,94221,145265,33608,23570,156360,12697,25016,54680,48854,36972
4751,134770,16585,20395,9442,14973,17422,15064,9082,10555,3878,6070,6513,13930,4634,6940,5346,46224,5264,12864,42506,10128,6092,44295,3592,6248,16132,14524,10482
3366610,17229,1943,2704,1876,2768,3856,6681,1069,1587,724,658,934,2229,507,354,856,7241,696,2051,6118,1280,868,7738,457,890,2352,2080,1604
3384189,12800,1262,1828,740,1159,1286,1523,733,829,301,503,572,2437,377,201,654,3539,490,594,4159,1588,634,2768,336,770,1330,1208,834
2731360,6339,536,751,541,823,933,1049,536,507,224,205,235,510,202,143,365,2348,164,896,1745,378,334,1837,152,208,835,554,422
3384194,5714,735,1080,492,750,1239,2262,519,715,306,196,316,601,245,164,293,1970,228,1745,1769,391,264,1958,175,301,670,593,431
1783275,5290,788,1096,904,951,909,850,849,809,300,276,395,752,252,108,466,3216,261,181,2491,572,704,2411,244,672,943,925,650
2732005,3104,507,656,238,386,476,335,543,453,145,172,218,354,186,127,103,809,163,155,962,277,322,1586,124,179,355,347,212
2732397,1350,98,156,0,0,0,0,0,0,0,48,0,26,0,0,46,262,0,0,291,110,0,28,0,0,0,0,0
2732396,1076,145,150,119,181,122,97,32,46,27,45,22,120,20,17,40,372,57,34,430,97,36,345,43,50,187,172,135
1935183,662,69,86,68,110,105,79,49,42,13,24,14,38,17,14,10,55,25,187,157,28,20,114,0,31,39,28,28
2732092,168,40,34,17,35,32,16,10,0,13,23,11,95,0,0,0,35,10,0,88,0,12,48,17,20,41,23,23
1783276,164,61,86,22,36,22,28,0,0,11,14,18,24,0,0,0,23,10,18,37,12,0,34,0,0,0,10,0
2732093,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2840023,38,25,44,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
2732091,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3412606,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
