"","072023_Carolina_2023_Baya_053_MCAV_S3","072023_Carolina_2023_Baya_055_MCAV_S4","122021_Coralina_2021_Baya_003_MCAV_S27","122021_Coralina_2021_Baya_005_MCAV_S28","122021_Coralina_2021_Baya_007_MCAV_S29","122021_Coralina_2021_Baya_017_MCAV_S30","122021_Coralina_2021_Baya_023_MCAV_S31","072023_Carolina_2023_Baya_052_DCYL_S9","072023_Carolina_2023_Baya_065_DCYL_S1","072023_Carolina_2023_Baya_066_DCYL_S2","122021_Coralina_2021_Baya_001_DCYL_S24","122021_Coralina_2021_Baya_009_DCYL_S25","122021_Coralina_2021_Baya_010_DCYL_S26","122021_Coralina_2021_Baya_025_MMEA_S22","122021_Coralina_2021_Baya_029_MMEA_S23","122021_Coralina_2021_Baya_031_MMEA_S45","072023_Carolina_2023_Baya_057_SSID_S7","072023_Carolina_2023_Baya_059_SSID_S8","072023_Carolina_2023_Baya_061_SSID_S5","072023_Carolina_2023_Baya_063_SSID_S6","122021_Coralina_2021_Baya_019_SSID1_S46","122021_Coralina_2021_Baya_021_SSID2_S36","122021_Coralina_2021_Baya_027_PSTR4_S34","122021_Coralina_2021_Baya_033_PSTR7_S35","122021_Coralina_2021_Baya_035_PSTR_S32","122021_Coralina_2021_Baya_037_PSTR_S33","122021_Coralina_2021_Baya_013_DLAB_S43","122021_Coralina_2021_Baya_015_DLAB_S44"
"2057741",319.217748506817,148.571718467465,11577.2399096721,7348.37286029522,6405.41596146335,11993.3299127758,6941.29872898292,1127.66562805771,307.395046548393,0,17705.0391265206,12906.0267592848,23864.2036944583,24385.226741468,38675.8439855785,66764.1247248952,329.514107911163,305.306222140807,313.063173426109,532.311825282324,116692.274811982,2016.34849136702,1471.7938612816,4442.65256596137,22942.8059312368,9828.68635596365,82659.0219016353,42496.8219004463
"5722",4830.2685629321,2648.92502926138,6710.98247511211,5334.53306767787,4556.69834656946,6509.74858902001,4822.93692877508,5276.60770421157,3952.22202705076,1978.22682399488,2839.26963828166,5486.04807198958,186669.995007489,4188.87330528284,5806.05890340404,2923.74174685537,2975.04165999793,3285.09495023509,2041.71634843115,740.012934679867,12168.6825860761,4805.0258393245,2761.13393810681,4698.51213782302,4464.72217695943,4082.31674468162,2789.72272313929,3323.16595978607
"562",6233.1465629489,6877.78345490848,6551.95445437486,16667.7378580457,9764.35359979169,14687.0189840944,10605.1320312292,5064.95354017612,4552.3742607881,4412.96753045011,20267.3068488724,10695.8203417926,7089.36595107339,13651.2388966807,14187.3858688018,17124.7730887243,8953.36904638617,11931.3671612627,7644.18600852621,7141.4357494652,2125.66860364367,4398.12775044966,8120.40976687272,5349.79104801631,4766.17239693661,5423.13632064742,22410.2587814614,6279.8483674303
"588596",9593.33338933645,5576.87499320556,13326.5481377819,10176.3181009919,11257.2147723821,14751.1544381734,11511.0980841483,16885.4916275164,10934.4809415071,5021.65270706392,6047.87516446989,14405.8096854403,10683.9740389416,9686.76951846657,16153.9542070516,10666.8380214943,6740.91717898265,6460.27966049948,3596.14306170339,1131.78448833391,1112.89533777721,9827.75511473489,9353.79734979796,11505.9274134148,9931.56265276194,10163.8912499551,5841.46360259552,6289.392209934
"573",5023.47930544938,7305.38010805875,10813.9054101333,14054.0308931594,3818.94718569631,10614.417650077,6501.63873271337,1382.69154701845,1829.73241993091,4324.20094219393,11934.1658779807,5604.45198721238,29355.9660509236,8209.44366526414,12220.817530552,3261.09656380022,9574.73850701865,6667.88789155523,3269.46844595441,4022.18795084822,1990.88889145612,2910.48760386268,2340.27387529405,2434.54259286539,2615.28434088317,5530.88075085896,5163.29896271636,3941.6069540254
"1747",226.812610781159,137.700617116187,15584.7460322509,1178.31051695696,1067.56932691056,1314.77680861981,1398.91816994857,30.3602284477075,7597.04900755314,1217.37035322762,13965.5132614667,7064.76694162687,2945.58162755866,1402.52454417952,3324.43695275554,12000.1927741811,1223.90954367003,1282.28613299139,1695.98571343014,44637.0827322024,33182.7651405752,212.520020940997,518.168747856168,232.599610783318,1490.95649340068,0,8107.15001310091,5142.22234099004
"28901",3368.58729345352,2960.56326799801,4802.64622626507,3727.7459991002,3619.32040098945,10838.8917393535,2597.99088704735,3342.22743454335,2590.90110662217,4476.37223634738,5009.11797973269,7419.97868729526,12531.2031952072,5161.29032258064,40595.5892681556,2473.93532426224,6081.88896316032,4329.24222995665,3892.87250434205,1871.79742301378,931.905438553929,2840.5114994065,3683.13372889314,5954.55003605294,5189.8321655532,7757.59897523075,6273.02291888226,1460.2079030651
"1396",3965.02045513731,3167.11419367229,7283.48334976623,5120.29479186752,3818.94718569631,8690.35402770652,4223.40057022569,3597.25335350409,9397.50570876515,7431.03153116024,4939.86750075021,17010.6958203418,7888.16774837743,11201.4960261805,16528.5386524325,3100.4514128741,4443.73311240197,4341.45447884228,3340.24794603335,1512.36256902642,1505.68192758094,4605.46435624576,4792.45273838803,4876.83850609023,4839.49812612025,4656.95370580982,4022.7493411014,2092.01027680961
"470",2805.7560000336,2214.08097521027,5025.28545529722,5248.83775735373,5146.89927526798,5483.58132375577,3370.72663806656,2938.00267863958,2298.14391943322,1394.90352973998,6948.13139124212,5722.85590243517,6889.66550174738,5142.58999532492,7913.09640867163,4835.41904287619,4104.80431569334,4402.51572327044,2752.23363768518,1297.19914432118,1008.92241694682,2721.29295107374,5558.7586331049,4520.18576955581,4269.18689913639,3663.3106271923,4331.00599559193,2431.7710699411
"1280",3444.19149704724,2373.52379502901,5375.14710091918,5870.12875720376,4192.1624788439,8016.93175987686,3797.06360414613,4449.94205533542,2503.07395046548,1807.03411807224,3000.85408924078,3354.77759797924,3295.05741387918,5292.19261337073,10488.3644706654,4321.35455991261,2796.16257284615,2845.45399035232,3002.68417642607,1833.24212725735,1844.55663250964,3687.99987559804,2525.16037687654,4799.30530249579,4081.79892455597,5279.47708036537,3082.56654490529,2468.03767145513
"492670",7115.19560487563,4011.43639862154,7283.48334976623,10733.3376180988,7160.52597318058,5355.31041559774,6088.62479682379,1832.02292804452,2459.16037238714,1363.20117679134,6163.29262944069,4144.13703279788,13130.3045431852,3927.06872370267,0,3662.70944111552,2174.79311221368,1911.21695060145,1241.36353984614,1016.11860106462,0,2182.2177760039,1435.30310439032,2411.28263178706,2159.03535929607,2705.58235864529,2527.70456682234,2071.01382330148
"1428",2394.13311380113,1478.46978377379,3466.81085207213,3770.59365426227,3957.8179924489,4136.73678809646,3104.26603426683,2804.41767346967,2415.2467943088,1540.7343533037,7917.63809699684,4617.75269368907,4992.51123315028,3347.35857877513,9036.84974481435,9702.9671159376,4095.38962689588,2717.22537705318,4472.7199472965,1395.45296253918,454.400172518032,2485.44756198069,4592.96993404904,2271.72286531707,2574.54782467003,2298.54784451282,4331.00599559193,2000.38938877415
"2004662",352.819616770692,206.55092567428,1145.00174930823,1349.70113760524,225.665060972964,0,226.491513229769,672.262201342096,11783.4767843551,3005.38305953068,5586.20530458669,8051.46623515018,9335.99600599101,2019.63534361851,1685.63000421408,1204.83863194589,11109.3327810049,7614.33718019173,2670.56498374794,2309.58658773195,19801.0651448112,479.465900903469,1381.78332761645,147.313086829435,325.892129705068,395.06291077564,2481.46606864876,1675.89874364857
"287",2217.72330541578,1583.55709683615,7728.76180783054,5655.89048139341,1041.53105064445,8016.93175987686,959.258173679022,1324.57339541855,3308.15621523508,2846.8712947875,10479.9058193486,3591.58542842483,3544.68297553669,3833.56708742403,0,3357.48365435589,3464.60547746594,1764.66996397387,3168.74377276514,6345.45544997761,6249.92779658276,2677.23392234207,929.297942164583,2279.47618567652,2403.45445657487,2573.89472172008,4531.37282101077,1305.59765450527
"3066369",92.4051377256575,4939.10371393059,0,0,112.832530486482,0,133.230301899864,24.288182758166,0,87961.348491285,0,0,0,0,0,0,0,0,201.44934637854,213.919705487289,69.315280553598,0,48.6543425217059,0,0,0,0,70.6244345273317
"1173583",352.819616770692,159.442819818742,0,257.085930972427,156.229657596667,416.880451513597,239.814543419755,191.70315676981,146.378593594473,120.468941204816,0,0,0,243.104254324451,0,0,263.61128632893,177.077608841668,133.392134764168,59.6985224615691,0,19575.1672947238,167.857481699885,147.313086829435,27114.2251914616,38500.6763955897,0,22.9052220088643
"1502",4267.43726951218,2482.23480854179,3435.00524792468,3856.28896458641,2725.33958251964,4713.95587480759,3597.21815129633,2585.82402864618,1917.55957608759,1211.02988263789,2123.68135546271,2644.35410664246,3794.30853719421,7779.33613838242,7959.91946434424,6200.9028257482,2485.47784252992,2668.37638151066,1099.80453968824,283.567981692453,5283.36471775203,2148.52557756203,1912.11566110304,2108.90313776875,1906.46895877465,2526.00830829273,2404.40190502612,1813.33007570176
"647221",361.220083836661,199.303524773428,1017.77933271842,407.052724039677,0,833.760903027193,279.783633989715,723.440872153945,16482.2296387376,4102.28447155348,4547.4481198495,12116.6673244662,11382.9256115826,7985.03973819542,5103.71306831484,10184.902568716,772.004481391868,885.388044208341,326.674615748983,93.2789413462017,69.315280553598,510.566391772883,773.604046095124,752.072074866061,814.730324262669,718.296201410255,493.210647184846,4979.97701842725
