taxonomy_id,072023_Carolina_2023_Baya_052_DCYL_S9_S_filt.bracken_num,072023_Carolina_2023_Baya_053_MCAV_S3_S_filt.bracken_num,072023_Carolina_2023_Baya_055_MCAV_S4_S_filt.bracken_num,072023_Carolina_2023_Baya_057_SSID_S7_S_filt.bracken_num,072023_Carolina_2023_Baya_059_SSID_S8_S_filt.bracken_num,072023_Carolina_2023_Baya_061_SSID_S5_S_filt.bracken_num,072023_Carolina_2023_Baya_063_SSID_S6_S_filt.bracken_num,072023_Carolina_2023_Baya_065_DCYL_S1_S_filt.bracken_num,072023_Carolina_2023_Baya_066_DCYL_S2_S_filt.bracken_num,122021_Coralina_2021_Baya_001_DCYL_S24_S_filt.bracken_num,122021_Coralina_2021_Baya_003_MCAV_S27_S_filt.bracken_num,122021_Coralina_2021_Baya_005_MCAV_S28_S_filt.bracken_num,122021_Coralina_2021_Baya_007_MCAV_S29_S_filt.bracken_num,122021_Coralina_2021_Baya_009_DCYL_S25_S_filt.bracken_num,122021_Coralina_2021_Baya_010_DCYL_S26_S_filt.bracken_num,122021_Coralina_2021_Baya_013_DLAB_S43_S_filt.bracken_num,122021_Coralina_2021_Baya_015_DLAB_S44_S_filt.bracken_num,122021_Coralina_2021_Baya_017_MCAV_S30_S_filt.bracken_num,122021_Coralina_2021_Baya_019_SSID1_S46_S_filt.bracken_num,122021_Coralina_2021_Baya_021_SSID2_S36_S_filt.bracken_num,122021_Coralina_2021_Baya_023_MCAV_S31_S_filt.bracken_num,122021_Coralina_2021_Baya_025_MMEA_S22_S_filt.bracken_num,122021_Coralina_2021_Baya_027_PSTR4_S34_S_filt.bracken_num,122021_Coralina_2021_Baya_029_MMEA_S23_S_filt.bracken_num,122021_Coralina_2021_Baya_031_MMEA_S45_S_filt.bracken_num,122021_Coralina_2021_Baya_033_PSTR7_S35_S_filt.bracken_num,122021_Coralina_2021_Baya_035_PSTR_S32_S_filt.bracken_num,122021_Coralina_2021_Baya_037_PSTR_S33_S_filt.bracken_num
588596,19466,1142,1539,716,1058,1321,910,747,792,262,419,475,1297,365,214,379,3295,460,289,3792,864,518,3845,345,664,1484,1219,849
311410,8042,0,23,0,10,53,201,0,17,15,0,11,13,0,0,0,0,0,19,16,0,0,28,0,0,25,10,16
5722,6083,575,731,316,538,750,595,270,312,123,211,249,525,139,3739,181,1741,203,3160,1854,362,224,1135,124,182,606,548,341
562,5839,742,1898,951,1954,2808,5742,311,696,878,206,778,1125,271,142,1454,3290,458,552,1697,796,730,3338,303,1066,690,585,453
106654,5750,0,0,0,14,36,65,0,45,0,0,0,12,19,22,18,194,0,0,108,24,33,129,0,33,48,47,24
28213,5740,0,0,0,0,19,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280,5130,410,655,297,466,1103,1474,171,285,130,169,274,483,85,66,200,1293,250,479,1423,285,283,1038,224,269,619,501,441
1396,4147,472,874,472,711,1227,1216,642,1172,214,229,239,440,431,158,261,1096,271,391,1777,317,599,1970,353,193,629,594,389
28901,3853,401,817,646,709,1430,1505,177,706,217,151,174,417,188,251,407,765,338,242,1096,195,276,1514,867,154,768,637,648
3035452,3635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029677,3633,47,107,24,38,26,53,0,32,26,25,19,65,0,0,0,16,15,0,112,62,13,56,0,0,39,0,41
470,3387,334,611,436,721,1011,1043,157,220,301,158,245,593,145,138,281,1274,171,262,1050,253,275,2285,169,301,583,524,306
1428,3233,285,408,435,445,1643,1122,165,243,343,109,176,456,117,100,281,1048,129,118,959,233,179,1888,193,604,293,316,192
1502,2981,508,685,264,437,404,228,131,191,92,108,180,314,67,76,156,950,147,1372,829,270,416,786,170,386,272,234,211
9,2866,348,473,245,492,614,551,140,215,74,106,134,333,89,100,182,1015,117,3128,874,189,180,818,104,159,404,344,274
432096,2729,58,75,11,22,67,59,23,15,0,11,22,82,0,0,19,266,17,0,260,39,20,153,0,22,98,60,59
367791,2725,0,49,42,78,19,27,12,0,12,27,0,81,0,0,245,2146,32,0,123,30,22,93,0,21,47,59,28
169679,2638,20,47,28,35,33,44,48,76,15,0,10,42,31,12,38,169,0,91,296,0,21,99,22,0,93,81,56
1491,2527,288,423,225,371,340,257,141,174,70,88,96,276,79,61,91,648,110,637,984,214,171,773,105,145,231,232,154
4896,2456,130,140,86,128,61,42,47,71,21,50,43,61,34,16,48,135,30,21,241,48,46,215,23,22,107,117,74
85471,2455,212,217,101,169,203,171,111,117,27,77,62,148,81,40,86,651,43,51,807,131,116,320,57,70,346,251,175
1509,2372,0,0,0,0,201,174,53,78,0,68,0,195,37,0,0,27,0,0,393,0,0,206,0,0,51,45,88
3067780,2314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2813371,2306,28,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,52,0,41,0,0,0,0,0
29430,2242,26,36,0,38,88,81,0,0,0,0,0,27,0,0,0,13,13,0,128,25,0,76,0,0,28,44,32
492670,2112,847,1107,231,313,456,817,168,215,267,229,501,825,105,263,164,1085,167,0,842,457,210,590,0,228,311,265,226
1404,2077,248,381,179,326,438,322,151,200,74,61,96,244,78,37,127,771,72,99,847,227,62,1202,78,66,389,290,222
1561,2055,48,90,20,49,44,50,23,32,10,19,22,48,13,36,22,413,21,86,201,22,19,116,0,29,39,62,30
158,2032,113,149,106,246,142,117,31,41,0,41,55,102,0,0,0,143,60,19,183,50,32,535,43,61,72,92,65
2969821,1943,32,53,0,11,21,16,0,0,0,0,10,18,0,0,0,16,0,0,22,18,0,29,0,0,21,0,0
1352,1893,106,316,148,212,229,317,48,0,0,73,87,133,0,0,104,378,73,54,639,98,176,627,0,0,287,327,236
44689,1880,304,395,129,192,269,176,106,112,36,108,109,252,55,24,105,638,103,207,620,187,90,539,57,124,221,192,141
210,1833,206,271,122,233,255,189,87,100,40,70,107,164,42,27,116,740,63,182,819,79,84,575,51,81,282,247,178
5858,1826,265,250,165,249,247,165,0,0,0,0,157,108,0,0,108,442,0,0,390,56,0,484,0,99,185,202,156
587,1821,246,543,203,190,376,559,101,171,0,98,222,291,0,0,124,758,142,45,497,96,173,418,86,0,187,164,128
5855,1767,117,116,55,102,117,81,27,21,0,62,38,200,0,19,46,215,47,61,266,85,46,186,48,46,114,103,57
1639,1763,53,119,115,186,59,71,77,89,35,22,35,102,48,35,29,199,35,32,261,114,44,204,28,52,141,110,162
1405,1736,378,432,215,330,199,161,114,157,65,104,183,235,64,37,156,522,67,27,672,160,121,564,115,124,301,243,178
208348,1735,320,364,122,193,212,159,110,124,41,115,130,188,55,30,48,528,92,160,529,203,73,623,27,64,215,157,140
40559,1649,157,204,229,313,278,222,97,115,46,108,63,239,41,33,93,664,67,89,564,128,97,708,62,61,219,206,189
1653831,1603,199,290,196,367,270,252,95,137,43,63,116,189,56,66,98,661,56,39,775,113,101,578,86,101,232,216,154
573,1594,598,2016,1017,1092,1201,3234,125,682,517,340,656,440,142,588,335,2065,331,517,1123,488,439,962,261,203,314,321,462
2963431,1589,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,64,61,0,0,0,0,0,0,0,0,0,0
197,1558,297,375,129,209,468,539,0,82,0,88,88,231,0,0,0,347,0,0,384,101,96,486,39,91,124,136,54
287,1527,264,437,368,289,1164,5102,226,449,454,243,264,120,91,71,294,684,250,1623,1033,72,205,382,0,209,294,295,215
2664091,1506,24,46,0,0,0,0,0,0,0,0,11,28,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
43948,1501,20,29,11,18,28,25,14,26,0,0,0,0,0,0,0,0,11,0,10,0,0,47,0,0,0,0,0
1117645,1490,152,217,54,101,123,120,156,115,71,52,70,117,54,56,61,245,47,0,321,93,62,176,55,68,68,150,83
27350,1478,294,363,90,144,212,164,166,204,67,104,103,216,114,65,71,867,105,272,714,179,89,668,56,72,215,221,112
1351,1472,341,544,217,272,858,981,176,360,137,131,157,168,115,0,185,953,131,442,691,274,219,698,149,213,230,253,117
395922,1465,0,11,11,11,14,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
4975,1459,92,100,60,97,145,98,23,27,10,53,40,74,15,0,25,156,40,45,288,30,43,249,19,27,114,102,91
1547283,1457,34,50,20,25,23,24,25,19,0,14,22,15,0,0,33,45,10,0,68,21,0,63,0,13,31,29,37
2683272,1440,16,31,14,24,28,43,0,17,15,10,0,28,0,0,13,178,12,18,132,27,0,62,0,0,50,32,21
84595,1430,0,47,0,0,45,106,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0
1550240,1425,29,63,0,0,17,13,22,29,0,0,0,37,16,0,18,96,12,0,108,16,25,84,25,33,21,35,26
1520,1421,129,215,135,228,159,165,80,75,51,28,56,161,25,21,97,646,77,529,377,97,90,360,56,92,204,134,121
27289,1418,150,202,108,123,110,84,40,52,20,58,54,154,39,32,50,524,52,27,602,123,27,261,23,26,169,136,96
5825,1413,154,176,93,158,197,121,168,143,60,93,65,137,65,37,45,489,38,30,365,104,353,380,56,433,187,170,92
1785996,1392,16,23,0,0,21,13,0,0,0,0,11,14,0,0,0,0,0,0,47,12,25,66,26,67,0,0,0
712357,1387,22,38,16,14,0,17,0,0,0,0,0,47,0,0,0,93,0,19,110,47,0,31,0,0,34,41,27
42374,1362,148,213,95,149,140,112,60,71,24,30,87,197,30,11,85,351,41,48,208,144,16,420,10,38,113,90,65
986,1354,131,222,128,204,111,116,53,101,52,42,77,158,0,0,95,236,38,0,152,49,35,247,104,106,80,50,48
5833,1349,103,137,0,44,107,67,22,45,30,43,52,133,0,15,43,389,40,47,532,95,20,133,18,18,90,144,83
2067992,1341,20,33,0,19,45,169,0,21,29,0,0,40,0,0,0,30,0,12,0,14,0,16,0,0,0,0,0
371601,1339,91,98,0,63,149,145,24,31,0,0,38,146,0,0,26,0,39,0,146,63,0,237,0,0,75,45,43
413402,1321,15,43,0,11,19,29,30,37,18,0,21,33,14,0,0,0,0,0,17,52,0,32,0,0,0,0,13
1071379,1312,192,237,100,156,166,119,82,85,36,62,70,170,46,24,77,371,55,39,298,120,46,277,40,57,174,146,72
2749052,1306,186,230,0,0,72,0,0,0,0,71,74,80,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0
446,1303,176,241,82,92,90,110,26,24,11,64,86,140,0,0,29,246,71,29,249,107,62,282,35,40,70,104,61
2057741,1300,38,41,35,50,115,428,21,0,767,364,343,738,327,478,5363,22264,374,30303,778,521,1304,605,826,4156,573,2816,821
5476,1299,102,143,77,124,151,107,41,65,29,40,64,130,31,14,73,634,60,56,540,75,54,292,42,58,113,143,70
113608,1293,99,151,42,64,102,74,16,22,0,37,43,101,0,0,56,495,39,30,258,48,19,206,22,19,76,62,53
571,1287,0,0,0,29,43,92,48,46,35,0,0,0,22,0,0,31,0,16,51,0,0,104,0,0,0,31,13
1406,1275,356,430,257,391,236,278,165,161,75,45,156,121,65,43,69,181,75,302,449,82,114,748,86,72,173,218,135
28198,1268,75,522,32,77,145,87,35,36,0,25,31,59,17,0,32,227,30,23,241,34,664,203,45,814,78,47,47
1397,1200,53,83,31,58,77,49,0,0,0,0,21,44,0,0,17,127,0,10,216,17,11,191,0,0,79,81,47
