,122021_Coralina_2021_Baya_027_PSTR4_S34,122021_Coralina_2021_Baya_033_PSTR7_S35,122021_Coralina_2021_Baya_035_PSTR_S32,122021_Coralina_2021_Baya_037_PSTR_S33
2057741,1471.793861,4442.652566,22942.80593,9828.686356
5722,2761.133938,4698.512138,4464.722177,4082.316745
562,8120.409767,5349.791048,4766.172397,5423.136321
588596,9353.79735,11505.92741,9931.562653,10163.89125
573,2340.273875,2434.542593,2615.284341,5530.880751
1747,518.1687479,232.5996108,1490.956493,0
28901,3683.133729,5954.550036,5189.832166,7757.598975
1396,4792.452738,4876.838506,4839.498126,4656.953706
470,5558.758633,4520.18577,4269.186899,3663.310627
1280,2525.160377,4799.305302,4081.798925,5279.47708
492670,1435.303104,2411.282632,2159.035359,2705.582359
1428,4592.969934,2271.722865,2574.547825,2298.547845
2004662,1381.783328,147.3130868,325.8921297,395.0629108
287,929.2979422,2279.476186,2403.454457,2573.894722
3066369,48.65434252,0,0,0
1173583,167.8574817,147.3130868,27114.22519,38500.6764
1502,1912.115661,2108.903138,1906.468959,2526.008308
647221,773.6040461,752.0720749,814.7303243,718.2962014
9,1989.962609,3132.341425,2802.672315,3280.21932
1325120,243.2717126,527.2257844,3886.263647,2549.951515
158836,1800.210673,2015.863293,1751.670197,2226.718224
1351,1698.036554,1783.263683,2061.26772,1400.677593
5811,943.8942449,2504.322476,1686.491771,2035.172571
1491,1880.490338,1791.017003,1890.174352,1843.626917
208375,204.3482386,511.7191437,2802.672315,2118.973794
1936156,355.1767004,620.2656288,1010.265602,622.5233746
1219,1131.213464,1566.170713,1385.041551,1436.592403
1405,1372.052459,2333.749428,1979.794688,2130.945398
1795815,608.1792815,1139.738093,920.6452664,1915.456537
1404,2924.125986,3016.04162,2362.71794,2657.695945
1929291,807.6620859,2450.049234,114.0622454,251.4036705
27350,1625.05504,1666.963877,1800.554017,1340.819576
192812,0,0,228.1244908,0
450367,676.2953611,984.6716856,1270.979306,1209.131939
1406,1819.67241,1341.324422,1776.112107,1616.166453
1282,1554.506244,845.1119192,928.7925697,1101.387509
44689,1311.234531,1713.483799,1564.282223,1687.996073
3344828,155.6938961,170.5730479,2533.811308,1472.507213
5825,924.4325079,1449.870907,1385.041551,1101.387509
1653831,1406.110499,1798.770323,1759.8175,1843.626917
587,1016.875759,1449.870907,1336.157732,1532.36523
1496,909.8362052,1178.504695,2501.222095,6237.205349
3021011,38.92347402,0,0,0
5827,1194.464109,767.5787156,798.4357178,1448.564006
546,1065.530101,1054.451569,928.7925697,1173.217129
40559,1722.363725,1697.977159,1678.344468,2262.633034
208348,1515.58277,1666.963877,1279.126609,1676.02447
5821,722.5169864,1403.350985,1482.80919,1197.160336
85471,778.4694803,2682.648844,2044.973114,2095.030587
587753,2697.883293,767.5787156,611.0477432,670.409788
210,1398.812347,2186.436341,2012.383901,2130.945398
303,622.7755843,1604.937314,1222.095486,1388.705989
28198,493.8415766,604.758988,382.9232524,562.6653578
3140245,124.0685734,0,1710.933681,1005.614682
3140244,124.0685734,232.5996108,1678.344468,1017.586285
3425945,0,0,0,0
3410088,143.5303104,317.8861347,1613.166042,1017.586285
1583098,70.54879666,178.3263683,154.7987616,0
1358,1041.20293,1465.377548,1499.103797,1592.223246
358,656.833624,1038.944928,708.8153821,1388.705989
29448,187.3192187,0,1792.406713,1185.188732
41,1347.725288,0,0,0
1267423,82.71238229,690.045512,2590.842431,1197.160336
1520,875.7781654,1581.677353,1091.738635,1448.564006
68213,0,0,0,0
2562892,703.0552494,1108.724811,985.8236924,1125.330716
5860,1989.962609,1736.743761,1311.715822,2083.058984
1404443,243.2717126,248.1062515,1784.25941,1137.302319
