,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36
2057741,329.5141079,305.3062221,313.0631734,532.3118253,116692.2748,2016.348491
5722,2975.04166,3285.09495,2041.716348,740.0129347,12168.68259,4805.025839
562,8953.369046,11931.36716,7644.186009,7141.435749,2125.668604,4398.12775
588596,6740.917179,6460.27966,3596.143062,1131.784488,1112.895338,9827.755115
573,9574.738507,6667.887892,3269.468446,4022.187951,1990.888891,2910.487604
1747,1223.909544,1282.286133,1695.985713,44637.08273,33182.76514,212.5200209
28901,6081.888963,4329.24223,3892.872504,1871.797423,931.9054386,2840.511499
1396,4443.733112,4341.454479,3340.247946,1512.362569,1505.681928,4605.464356
470,4104.804316,4402.515723,2752.233638,1297.199144,1008.922417,2721.292951
1280,2796.162573,2845.45399,3002.684176,1833.242127,1844.556633,3687.999876
492670,2174.793112,1911.216951,1241.36354,1016.118601,0,2182.217776
1428,4095.389627,2717.225377,4472.719947,1395.452963,454.4001725,2485.447562
2004662,11109.33278,7614.33718,2670.564984,2309.586588,19801.06514,479.4659009
287,3464.605477,1764.669964,3168.743773,6345.45545,6249.927797,2677.233922
3066369,0,0,201.4493464,213.9197055,69.31528055,0
1173583,263.6112863,177.0776088,133.3921348,59.69852246,0,19575.16729
1502,2485.477843,2668.376382,1099.80454,283.5679817,5283.364718,2148.525578
647221,772.0044814,885.3880442,326.6746157,93.27894135,69.31528055,510.5663918
9,2306.598755,3004.213226,1671.485117,685.2892891,12045.45542,2265.152418
1325120,0,134.3347377,193.282481,202.7262325,7278.104458,733.453243
158836,2852.650706,1978.384319,1301.253886,2292.174519,0,1498.006977
1351,2042.987469,1660.865848,2335.723503,1220.088553,1702.075222,1790.869933
5811,1440.447386,1312.816755,969.1346934,181.5830058,600.7324315,1127.392794
1491,2118.304979,2265.372168,925.578078,319.635839,2452.990762,2550.240251
208375,357.7581743,262.563351,225.9499426,309.6860853,5760.869984,681.6190916
1936156,1346.300498,873.1757953,4848.395755,4441.321327,689.3019566,642.743478
1219,1139.177344,1691.396471,944.6340972,355.7036963,612.2849782,1308.812324
1405,2024.158091,2015.021066,541.7354045,200.2387941,103.9729208,1741.627489
1795815,2363.086888,1080.784026,2014.493464,2771.006418,1621.207395,694.5776294
1404,1685.229295,1990.596568,1192.362347,400.4775882,381.234043,2195.176314
1929291,367.1728631,207.6082311,1276.75329,948.9577633,41335.0123,440.5902873
27350,847.3219918,879.2819198,577.1251545,203.9699517,1047.430906,1850.479207
192812,22011.54241,2192.098675,1848.433867,1417.839908,73.16612947,0
450367,809.6632366,897.6002931,386.564962,148.0025869,42.35933812,1155.901577
1406,2419.575021,2387.494657,642.4600776,345.7539426,1162.956374,1163.6767
1282,1035.615768,1013.616658,639.7377892,2355.604199,12153.27919,559.8088356
44689,1214.494855,1172.375893,732.295597,218.8945824,797.1257264,1606.858695
3344828,0,128.2286133,81.66865394,140.5402716,4474.686445,406.8980889
5825,875.5660582,964.767662,536.2908275,150.4900254,115.5254676,945.9732639
1653831,1845.279004,2240.947671,735.0178854,313.4172429,150.1831079,2008.573369
587,1911.181826,1160.163644,1023.580463,695.2390428,173.2882014,1288.078664
1496,1110.933278,848.7512976,555.3468468,180.3392866,111.6746187,1663.876262
3021011,0,0,59.89034622,31.09298045,0,62.20098174
5827,1176.8361,1056.359529,343.0083465,114.4221681,581.4781869,673.8439688
546,2862.065394,2076.082311,1058.970213,930.301975,0,1054.824982
40559,2155.963735,1911.216951,756.7961932,276.1056664,342.7255538,1461.723071
208348,1148.592033,1178.482017,577.1251545,197.7513557,616.1358271,1371.013306
5821,583.7107054,738.8410576,340.2860581,104.4724143,96.27122299,1132.576209
85471,950.8835685,1031.935031,552.6245583,212.6759863,196.3932949,2091.508011
587753,6524.379337,3779.69103,1693.263425,1188.995572,184.8407481,406.8980889
210,1148.592033,1422.726995,694.1835585,235.0629322,700.8545034,2122.608502
303,1383.959253,635.0369421,1478.202636,2386.697179,1016.624115,4916.469265
28198,301.2700415,470.1715821,394.7318274,108.203572,88.56952515,624.601525
3140245,0,0,185.1156156,140.5402716,3615.947136,323.9634466
3140244,0,0,166.0595963,151.7337446,3126.889323,391.3478434
3425945,4829.735353,7589.912682,3029.907061,5063.180936,42.35933812,0
3410088,0,207.6082311,130.6698463,148.0025869,3650.604776,264.3541724
1583098,0,0,40.83432697,22.38694592,0,178.8278225
1358,348.3434855,427.428711,285.8402888,361.9222924,1732.882014,927.8313109
358,1835.864316,1074.677902,2553.50658,1917.815034,566.0747912,806.021055
29448,800.2485478,0,302.1740196,496.243968,4921.384919,344.6971071
41,10469.13394,7821.945411,1012.691309,1524.799761,7782.565667,189.1946528
1267423,112.9762656,183.1837333,125.2252694,297.2488931,350.4272517,1788.278225
1520,1270.982988,1392.196373,432.8438659,205.213671,2037.099078,977.0737548
68213,0,0,604.3480391,363.1660116,0,0
2562892,2221.866556,2393.600782,1086.193097,587.0354709,107.8237698,940.7898488
5860,527.2225727,482.383831,225.9499426,83.3291876,238.752633,1373.605013
1404443,0,134.3347377,103.4469617,125.615641,3542.781006,266.94588
1352,1393.373942,1294.498382,623.4040584,394.2589921,207.9458417,1656.101139
5861,1205.080166,1178.482017,637.0155007,164.1709368,215.6475395,2765.35198
2761107,9668.885395,7247.969714,1056.247924,1446.44545,7435.989264,129.5853786
1492,517.8078839,757.1594309,427.3992889,135.5653948,1752.136258,837.1215459
1117645,508.3931951,616.7185687,334.8414811,149.2463062,0,831.9381308
2058762,950.8835685,806.0084265,740.4624624,3904.034625,177.1390503,749.0034884
288000,0,116.0163644,138.8367117,194.020198,388.9357409,287.6795405
911045,0,2753.862124,62.61263469,198.9950749,0,106.2600105
1071379,941.4688797,952.5554131,451.8998851,148.0025869,150.1831079,772.3288566
1442551,2042.987469,1111.314649,511.7902313,595.7415054,3057.574042,69.97610446
40324,649.613527,482.383831,1012.691309,1777.274762,516.0137552,430.223457
28031,423.6609959,311.4123466,326.6746157,103.2286951,231.0509352,329.1468617
1325100,0,0,127.9475578,167.9020944,3858.550617,212.5200209
145971,743.760415,659.4614398,329.3969042,135.5653948,346.5764028,971.8903397
238834,903.8101246,903.7064175,345.730635,126.8593602,211.7966906,1119.617671
1296,498.9785063,573.9756976,351.1752119,115.6658873,84.71867623,686.8025067
197,1214.494855,1276.180009,1274.031001,670.3646585,0,995.2157078
48296,781.4191702,665.5675643,451.8998851,208.9448286,127.0780143,914.8727731
585,809.6632366,677.7798132,304.896308,171.6332521,0,396.5312586
94643,611.9547718,757.1594309,315.7854619,159.1960599,323.4713093,375.797598
