,072023_Carolina_2023_Baya_052_DCYL_S9,072023_Carolina_2023_Baya_053_MCAV_S3,072023_Carolina_2023_Baya_055_MCAV_S4,072023_Carolina_2023_Baya_057_SSID_S7,072023_Carolina_2023_Baya_059_SSID_S8,072023_Carolina_2023_Baya_061_SSID_S5,072023_Carolina_2023_Baya_063_SSID_S6,072023_Carolina_2023_Baya_065_DCYL_S1,072023_Carolina_2023_Baya_066_DCYL_S2,122021_Coralina_2021_Baya_001_DCYL_S24,122021_Coralina_2021_Baya_003_MCAV_S27,122021_Coralina_2021_Baya_005_MCAV_S28,122021_Coralina_2021_Baya_007_MCAV_S29,122021_Coralina_2021_Baya_009_DCYL_S25,122021_Coralina_2021_Baya_010_DCYL_S26,122021_Coralina_2021_Baya_013_DLAB_S43,122021_Coralina_2021_Baya_015_DLAB_S44,122021_Coralina_2021_Baya_017_MCAV_S30,122021_Coralina_2021_Baya_019_SSID1_S46,122021_Coralina_2021_Baya_021_SSID2_S36,122021_Coralina_2021_Baya_023_MCAV_S31,122021_Coralina_2021_Baya_025_MMEA_S22,122021_Coralina_2021_Baya_027_PSTR4_S34,122021_Coralina_2021_Baya_029_MMEA_S23,122021_Coralina_2021_Baya_031_MMEA_S45,122021_Coralina_2021_Baya_033_PSTR7_S35,122021_Coralina_2021_Baya_035_PSTR_S32,122021_Coralina_2021_Baya_037_PSTR_S33,Sum
588596,16885.49162751643,9593.333389336447,5576.874993205562,6740.917178982649,6460.279660499481,3596.1430617033902,1131.7844883339137,10934.480941507114,5021.652707063919,6047.875164469888,13326.548137781876,10176.318100991923,11257.214772382067,14405.809685440265,10683.97403894159,5841.4636025955215,6289.392209933995,14751.154438173422,1112.895337777213,9827.755114734893,11511.098084148258,9686.769518466574,9353.797349797964,16153.95420705155,10666.83802149432,11505.927413414795,9931.562652761937,10163.891249955106,258635.19714846206
311410,6975.913062184687,0.0,83.34511035979722,0.0,61.061244428161444,144.2812886224676,249.9875628078205,0.0,107.78800002536188,346.25239491239813,0.0,235.66210339139192,112.83253048648179,0.0,0.0,0.0,0.0,0.0,73.16612947324238,41.46732115921896,0.0,0.0,68.11607953038828,0.0,0.0,193.8330089860983,81.47303242626691,191.5456537094013,8966.724522503182
5722,5276.607704211571,4830.268562932099,2648.925029261381,2975.0416599979285,3285.0949502350854,2041.7163484311454,740.0129346798667,3952.2220270507646,1978.2268239948767,2839.269638281665,6710.982475112114,5334.533067677871,4556.698346569457,5486.04807198958,186669.99500748876,2789.7227231392853,3323.1659597860653,6509.74858902001,12168.6825860761,4805.025839324497,4822.936928775081,4188.873305282843,2761.133938106811,5806.058903404036,2923.7417468553713,4698.512137823023,4464.722176959426,4082.316744681615,302670.28422714846
562,5064.953540176124,6233.1465629489,6877.783454908484,8953.369046386171,11931.367161262746,7644.186008526207,7141.4357494652,4552.374260788102,4412.967530450111,20267.30684887237,6551.954454374861,16667.73785804572,9764.353599791693,10695.820341792636,7089.36595107339,22410.258781461445,6279.848367430302,14687.018984094408,2125.668603643673,4398.127750449661,10605.132031229183,13651.23889668069,8120.409766872718,14187.385868801799,17124.773088724316,5349.791048016313,4766.172396936614,5423.136320647424,262977.0842738513
106654,4987.751816409096,0.0,0.0,0.0,85.48574219942603,98.00238472469498,80.84174916670813,0.0,285.32117653772264,0.0,0.0,0.0,104.15310506444473,749.8914630777124,1098.3524712930605,277.4309890414759,370.3010891433065,0.0,0.0,279.904417824728,319.7527245596738,617.1107994389902,313.8205092650032,0.0,530.1289980561937,372.1593772533087,382.92325240345446,287.31848056410195,11240.6505460231
28213,4979.077465424037,0.0,0.0,0.0,0.0,51.72348082692235,57.21108402567037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5088.012030276629
1280,4449.942055335419,3444.1914970472358,2373.5237950290075,2796.1625728461545,2845.4539903523237,3002.6841764260707,1833.2421272573504,2503.073950465484,1807.0341180722432,3000.854089240784,5375.147100919182,5870.128757203762,4192.1624788439,3354.7775979792395,3295.0574138791812,3082.566544905288,2468.0376714551303,8016.931759876859,1844.5566325096368,3687.9998755980364,3797.063604146127,5292.192613370734,2525.160376876537,10488.364470665356,4321.354559912609,4799.3053024957935,4081.798924555972,5279.477080365374,109828.24513763079
1396,3597.253353504091,3965.020455137306,3167.1141936722943,4443.73311240197,4341.454478842279,3340.2479460333534,1512.3625690264166,9397.50570876515,7431.031531160243,4939.867500750213,7283.4833497662285,5120.294791867515,3818.947185696307,17010.695820341793,7888.167748377435,4022.7493411014016,2092.010276809608,8690.354027706517,1505.6819275809353,4605.464356245756,4223.400570225692,11201.496026180459,4792.452738388033,16528.538652432457,3100.451412874102,4876.838506090233,4839.498126120254,4656.9537058098185,162393.06941290785
28901,3342.2274345433475,3368.587293453516,2960.5632679980145,6081.888963160323,4329.242229956646,3892.8725043420504,1871.7974230137804,2590.901106622168,4476.372236347382,5009.117979732693,4802.646226265068,3727.7459991001992,3619.3204009894544,7419.97868729526,12531.203195207188,6273.022918882261,1460.2079030651005,10838.891739353514,931.9054385539292,2840.511499406499,2597.99088704735,5161.290322580645,3683.133728893138,40595.589268155636,2473.9353242622374,5954.5500360529395,5189.832165553202,7757.598975230753,165782.92515506432
3035452,3153.126583069055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3153.126583069055
2029677,3151.391712872043,394.82195210053675,387.7359481955784,225.9525311390832,232.0327288270135,70.77950007894636,65.91711855131585,0.0,202.89505887126944,600.1708178481567,795.1401036862695,407.05272403967695,564.162652432409,0.0,0.0,0.0,30.5402960118191,481.0159055926116,0.0,290.27124811453274,826.0278717791574,243.10425432445066,136.23215906077655,0.0,0.0,302.3794940183133,0.0,490.8357376303408,9898.459815174303
470,2938.0026786395842,2805.756000033602,2214.080975210265,4104.8043156933445,4402.5157232704405,2752.2336376851836,1297.199144321178,2298.143919433222,1394.9035297399773,6948.131391242123,5025.285455297224,5248.837757353728,5146.899275267978,5722.855902435174,6889.665501747379,4331.00599559193,2431.7710699410954,5483.581323755772,1008.9224169468158,2721.2929510737445,3370.726638066562,5142.589995324918,5558.7586331049015,7913.096408671629,4835.419042876191,4520.185769555813,4269.186899136385,3663.3106271922998,114439.16297860847
1428,2804.417673469671,2394.1331138011274,1478.4697837737942,4095.389626895883,2717.2253770531843,4472.719947296496,1395.4529625391772,2415.2467943088004,1540.7343533037022,7917.638096996837,3466.810852072135,3770.593654262271,3957.8179924488995,4617.752693689072,4992.511233150275,4331.00599559193,2000.3893887741508,4136.73678809646,454.4001725180316,2485.4475619806863,3104.2660342668337,3347.3585787751285,4592.969934049039,9036.849744814346,9702.967115937605,2271.7228653170723,2574.547824670034,2298.5478445128156,102374.12400436544
1502,2585.8240286461764,4267.437269512185,2482.2348085417866,2485.477842529915,2668.3763815106554,1099.8045396882435,283.5679816924531,1917.5595760875929,1211.0298826378894,2123.6813554627083,3435.005247924684,3856.2889645864134,2725.3395825196376,2644.35410664246,3794.3085371942084,2404.401905026125,1813.330075701759,4713.955874807593,5283.364717752029,2148.5255775620326,3597.218151296331,7779.336138382421,1912.1156611030426,7959.919464344243,6200.902825748204,2108.9031377687497,1906.4689587746454,2526.0083082927295,87934.7409017369
9,2486.068992317995,2923.3625389571657,1714.010313051482,2306.598755378141,3004.2132258655433,1671.4851172489641,685.289289090095,2049.3003103226183,1363.2011767913414,1708.1784815678309,3371.3940396297826,2870.792895858774,2890.2486655383414,3512.6494849429687,4992.511233150275,2805.1355558638124,1937.4000282497739,3751.924063622371,12045.455420647482,2265.152418322336,2518.0527059074316,3366.0589060308557,1989.962609137772,4869.597789951772,2554.2578997252967,3132.3414252153484,2802.6723154635815,3280.2193197734973,84867.53497762266
432096,2367.2303838226826,487.22708982619434,271.77753378194745,103.5615767720798,134.33473774195517,182.39332712651563,73.379433859012,336.6707652672873,95.10705884590755,0.0,349.8616456219586,471.32420678278385,711.712884607039,0.0,0.0,292.84382176600235,507.7324211964924,545.1513596716264,0.0,673.8439688373081,519.59817740947,374.0065451145395,372.2057202910503,0.0,353.4193320374625,759.8253952255053,488.83819455760147,706.3245980534173,11178.37017821584
367791,2363.7606434286586,0.0,177.5613220708723,395.4169294933956,476.2777065396593,51.72348082692235,33.58041888463261,175.6543123133673,0.0,277.00191592991854,858.751311981171,0.0,703.0334591850019,0.0,0.0,3776.1440175089783,4096.217202585236,1026.167265264238,0.0,318.78003141149577,399.69090569959235,411.4071996259934,226.24269272593253,0.0,337.35481694485054,364.4060568938648,480.69089131497475,335.2048939914523,17285.06747462021
169679,2288.293789858643,168.00934131937734,170.3139211700204,263.6112863289304,213.71435549856506,89.83551933097038,54.72364558977166,702.6172492534693,481.8757648192649,346.25239491239813,0.0,214.23827581035627,364.5358677255566,1223.5071239688991,599.101347978033,585.6876435320047,322.5818766248392,0.0,350.42725168763457,767.1454414455508,0.0,392.70687237026647,240.83899548244432,1030.1072247974903,0.0,721.0587934282856,659.931562652762,670.4097879829046,12921.525333568437
1491,2192.008493924485,2419.3345149990337,1532.8252905301838,2118.304979428905,2265.3721682847895,925.5780779554525,319.63583901298443,2063.9381696820656,1103.2418826125277,1615.8445095911914,2798.8931649756687,2056.68744777942,2395.5214164822287,3117.9697675336465,3045.431852221667,1402.5677779319062,1236.8819884786733,3527.449974345818,2452.9907618134416,2550.240251291966,2851.128460657092,3197.7559607293124,1880.4903384639338,4916.420845624385,2329.35468842873,1791.0170030315483,1890.1743522893921,1843.6269169529876,61840.686895053426
4896,2130.4206019305634,1092.0607185759527,507.31806305963516,809.6632365817148,781.5839286804664,166.05959633906647,52.23620715387294,687.9793898940219,450.173411870629,484.75335287735743,1590.280207372539,921.2245859845319,529.4449507442608,1341.911039191696,798.8017973040439,739.8159707772692,257.6837475997236,962.0318111852232,80.86782731253105,624.6015249607356,639.5054491193476,860.2150537634409,523.0341821083387,1076.9302804701035,353.4193320374625,829.6052784605007,953.2344793873227,885.898648405981,21130.754673148334
85471,2129.5531668320573,1780.8990179854,786.3429977424347,950.8835685436418,1031.9350308359285,552.6245583086966,212.67598626933983,1624.8023888986475,741.8350589980788,623.2543108423167,2449.0315193537103,1328.2773100242089,1284.554962461485,3196.9057110155113,1997.00449326011,1325.5036143092739,1242.6082939808894,1378.9122626988199,196.3932949018611,2091.508010968106,1745.3169548882197,2169.237961664329,778.4694803472946,2668.9141733389524,1124.516056482835,2682.6488443676003,2044.973113899299,2095.0305874465766,42234.61273066563
1509,2057.5560536560656,0.0,0.0,0.0,0.0,547.1799813795469,216.4071439231879,775.8065460507055,494.55670599871917,0.0,2162.781082026653,0.0,1692.4879572972268,1460.3149544144926,0.0,0.0,51.53674951994472,0.0,0.0,1018.5410759733157,0.0,0.0,501.1397279735709,0.0,0.0,395.4193383316405,366.6286459182011,1053.5010954017073,12793.857057864976
3067780,2007.2448179427215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.2448179427215
