host,user_genome,classification,closest_genome_reference,closest_genome_reference_radius,closest_genome_taxonomy,closest_genome_ani,closest_genome_af,closest_placement_reference,closest_placement_radius,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",msa_percent,translation_table,red_value,warnings
dcyl,concoct.200,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__CAKZMO01;f__CAKZMO01;g__JAAHGY01;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__CAKZMO01;f__CAKZMO01;g__JAAHGY01;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,N/A,63.15,11,0.98632,N/A
dcyl,concoct.71,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Gloeomargaritales;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Gloeomargaritales;f__;g__;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,N/A,28.38,11,0.72668,N/A
dlab,concoct.79,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales_A;f__Amoebophilaceae;g__JBCBRR01;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales_A;f__Amoebophilaceae;g__JBCBRR01;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,N/A,79.61,11,0.94574,N/A
mcav,concoct.13_sub,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__JAKSBE01;g__JAKSBE01;s__,N/A,N/A,N/A,N/A,N/A,GCA_022361275.1,95,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__JAKSBE01;g__JAKSBE01;s__JAKSBE01 sp022361275,93.81,0.29,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__JAKSBE01;g__JAKSBE01;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_028282935.1, s__JAKSBE01 sp028282935, 95.0, 91.77, 0.165",57.01,11,0.97379,N/A
mcav,concoct.58,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,N/A,51.51,11,0.75777,N/A
mcav,metabat2.19,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales_A;f__Amoebophilaceae;g__JBCBRR01;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales_A;f__Amoebophilaceae;g__JBCBRR01;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,N/A,74.44,11,0.94553,N/A
mcav,metabat2.24,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__JASJDA01;g__JASJDA01;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__JASJDA01;g__JASJDA01;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,N/A,89.99,11,0.96392,N/A
mcav,metabat2.3,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__Aridibacter;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__Aridibacter;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,N/A,92.22,11,0.92237,N/A
mcav,metabat2.4,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__Aridibacter;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__Aridibacter;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,N/A,92.55,11,0.9224,N/A
mcav,metabat2.9,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__JAKSCL01;g__JAKSCL01;s__JAKSCL01 sp022360615,GCA_022360615.1,95,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__JAKSCL01;g__JAKSCL01;s__JAKSCL01 sp022360615,99.02,0.901,N/A,N/A,N/A,N/A,N/A,N/A,ani_screen,classification based on ANI only,N/A,N/A,N/A,N/A,N/A
mmea,concoct.122,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__JAQWUY01;f__JAQWUY01;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__JAQWUY01;f__JAQWUY01;g__;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,N/A,81.04,11,0.80003,N/A
ssid,concoct.211,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmidales;f__Phormidesmidaceae;g__JBCBZT01;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmidales;f__Phormidesmidaceae;g__JBCBZT01;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,N/A,87.01,11,0.94502,N/A
ssid,concoct.38,d__Bacteria;p__Spirochaetota;c__Leptospiria;o__Leptospirales;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Spirochaetota;c__Leptospiria;o__Leptospirales;f__;g__;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,N/A,68.39,11,0.639,Genome has more than 13.3% of markers with multiple hits
